gambusia_affinis ENSGAFG00000003965
xiphophorus_couchianus ENSXCOG00000010392
fundulus_heteroclitus ENSFHEG00000016147
astatotilapia_calliptera ENSACLG00000015340
stegastes_partitus ENSSPAG00000000416
mola_mola ENSMMOG00000012837
mola_mola ENSMMOG00000016910
takifugu_rubripes ENSTRUG00000011120
monopterus_albus ENSMALG00000004487
seriola_dumerili ENSSDUG00000003722
seriola_lalandi_dorsalis ENSSLDG00000015776
paramormyrops_kingsleyae ENSPKIG00000011807
manacus_vitellinus ENSMVIG00005017504
cyanistes_caeruleus ENSCCEG00000006056
lepidothrix_coronata ENSLCOG00000014881
manacus_vitellinus ENSMVIG00005017507
