maylandia_zebra ENSMZEG00005017388
pundamilia_nyererei ENSPNYG00000017666
danio_rerio ENSDARG00000078072
oryzias_latipes_asm223467v1 ENSORLG00000028758
oryzias_latipes_asm223467v1 ENSORLG00000022794
ciona_savignyi ENSCSAVG00000000939
caenorhabditis_elegans_strain_n2 WBGene00008964
caenorhabditis_elegans_strain_n2 WBGene00008965
caenorhabditis_elegans_strain_n2 WBGene00008277
caenorhabditis_elegans_strain_n2 WBGene00009311
caenorhabditis_elegans_strain_n2 WBGene00012310
caenorhabditis_elegans_strain_n2 WBGene00012200
caenorhabditis_elegans_strain_n2 WBGene00044074
caenorhabditis_elegans_strain_n2 WBGene00012199
caenorhabditis_elegans_strain_n2 WBGene00021450
caenorhabditis_elegans_strain_n2 WBGene00021451
caenorhabditis_elegans_strain_n2 WBGene00021449
caenorhabditis_elegans_strain_n2 WBGene00015646
caenorhabditis_elegans_strain_n2 WBGene00013126
caenorhabditis_elegans_strain_n2 WBGene00017794
