serinus_canaria ENSSCAG00000006121
lonchura_striata_domestica ENSLSDG00000015943
parus_major ENSPMJG00000013289
lepidothrix_coronata ENSLCOG00000000577
gallus_gallus ENSGALG00000045738
coturnix_japonica ENSCJPG00005002310
pogona_vitticeps ENSPVIG00000017374
anolis_carolinensis ENSACAG00000029122
notechis_scutatus ENSNSUG00000008712
salvator_merianae ENSSMRG00000002362
sphenodon_punctatus ENSSPUG00000017972
chelonoidis_abingdonii ENSCABG00000002615
gopherus_agassizii ENSGAGG00000022976
chrysemys_picta_bellii ENSCPBG00000027483
crocodylus_porosus ENSCPRG00005002278
xenopus_tropicalis ENSXETG00000032281
latimeria_chalumnae ENSLACG00000000027
anabas_testudineus ENSATEG00000000927
labrus_bergylta ENSLBEG00000016710
mastacembelus_armatus ENSMAMG00000005098
seriola_lalandi_dorsalis ENSSLDG00000005874
seriola_dumerili ENSSDUG00000004372
scophthalmus_maximus ENSSMAG00000010874
gambusia_affinis ENSGAFG00000007437
xiphophorus_couchianus ENSXCOG00000011429
xiphophorus_maculatus ENSXMAG00000018154
poecilia_formosa ENSPFOG00000017229
poecilia_mexicana ENSPMEG00000023665
poecilia_latipinna ENSPLAG00000004592
poecilia_reticulata ENSPREG00000003793
cyprinodon_variegatus ENSCVAG00000007905
oryzias_melastigma ENSOMEG00000019451
astatotilapia_calliptera ENSACLG00000009316
maylandia_zebra ENSMZEG00005012482
haplochromis_burtoni ENSHBUG00000001378
pundamilia_nyererei ENSPNYG00000024091
amphilophus_citrinellus ENSACIG00000024142
amphiprion_percula ENSAPEG00000013077
amphiprion_ocellaris ENSAOCG00000019713
acanthochromis_polyacanthus ENSAPOG00000001464
hippocampus_comes ENSHCOG00000002396
mola_mola ENSMMOG00000006374
periophthalmus_magnuspinnatus ENSPMGG00000013541
gasterosteus_aculeatus ENSGACG00000018126
gadus_morhua ENSGMOG00000012977
seriola_lalandi_dorsalis ENSSLDG00000005669
seriola_dumerili ENSSDUG00000004391
scophthalmus_maximus ENSSMAG00000010868
labrus_bergylta ENSLBEG00000016724
xiphophorus_maculatus ENSXMAG00000018157
xiphophorus_couchianus ENSXCOG00000011428
poecilia_latipinna ENSPLAG00000004599
poecilia_formosa ENSPFOG00000022447
poecilia_mexicana ENSPMEG00000003318
poecilia_formosa ENSPFOG00000017231
poecilia_mexicana ENSPMEG00000023660
cyprinodon_variegatus ENSCVAG00000007915
kryptolebias_marmoratus ENSKMAG00000015295
oryzias_latipes_asm223471v1 ENSORLG00020012202
oryzias_latipes_asm223467v1 ENSORLG00000027866
oryzias_latipes_asm223469v1 ENSORLG00015011161
oryzias_melastigma ENSOMEG00000000515
haplochromis_burtoni ENSHBUG00000001376
pundamilia_nyererei ENSPNYG00000006048
astatotilapia_calliptera ENSACLG00000009310
maylandia_zebra ENSMZEG00005012487
amphilophus_citrinellus ENSACIG00000024141
amphiprion_ocellaris ENSAOCG00000019723
amphiprion_percula ENSAPEG00000013073
acanthochromis_polyacanthus ENSAPOG00000001460
stegastes_partitus ENSSPAG00000002223
monopterus_albus ENSMALG00000005516
mastacembelus_armatus ENSMAMG00000005080
anabas_testudineus ENSATEG00000000931
esox_lucius ENSELUG00000009315
paramormyrops_kingsleyae ENSPKIG00000007519
lepisosteus_oculatus ENSLOCG00000013685
petromyzon_marinus ENSPMAG00000002381
