meriones_unguiculatus ENSMUGG00000003680
mus_spicilegus ENSMSIG00000014226
castor_canadensis ENSCCNG00000019002
mandrillus_leucophaeus ENSMLEG00000006609
pan_paniscus ENSPPAG00000033459
carlito_syrichta ENSTSYG00000034288
canis_lupus_dingo ENSCAFG00020023659
vulpes_vulpes ENSVVUG00000029909
ursus_americanus ENSUAMG00000017824
bos_mutus ENSBMUG00000012283
cyanistes_caeruleus ENSCCEG00000009164
parus_major ENSPMJG00000016644
lonchura_striata_domestica ENSLSDG00000002275
manacus_vitellinus ENSMVIG00005002198
zonotrichia_albicollis ENSZALG00000002644
dromaius_novaehollandiae ENSDNVG00000011531
notechis_scutatus ENSNSUG00000003841
neolamprologus_brichardi ENSNBRG00000010326
