rhinopithecus_roxellana ENSRROG00000027925
rhinopithecus_bieti ENSRBIG00000035853
colobus_angolensis_palliatus ENSCANG00000022430
macaca_nemestrina ENSMNEG00000034366
macaca_fascicularis ENSMFAG00000000601
mandrillus_leucophaeus ENSMLEG00000044231
cercocebus_atys ENSCATG00000038241
papio_anubis ENSPANG00000035171
gorilla_gorilla ENSGGOG00000041945
macaca_mulatta ENSMMUG00000042887
theropithecus_gelada ENSTGEG00000007502
cebus_capucinus_imitator ENSCCAG00000027939
microcebus_murinus ENSMICG00000049180
urocitellus_parryii ENSUPAG00010022737
spermophilus_dauricus ENSSDAG00000008275
marmota_marmota_marmota ENSMMMG00000004587
fukomys_damarensis ENSFDAG00000011759
bos_taurus ENSBTAG00000054926
bos_mutus ENSBMUG00000011719
bison_bison_bison ENSBBBG00000006929
sus_scrofa ENSSSCG00000038722
equus_asinus_asinus ENSEASG00005016905
ursus_maritimus ENSUMAG00000007898
vulpes_vulpes ENSVVUG00000001157
panthera_tigris_altaica ENSPTIG00000000036
felis_catus ENSFCAG00000033846
