mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026569
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027967
mus_spicilegus ENSMSIG00000028179
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025616
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027063
rattus_norvegicus ENSRNOG00000010972
meriones_unguiculatus ENSMUGG00000009207
peromyscus_maniculatus_bairdii ENSPEMG00000027945
microtus_ochrogaster ENSMOCG00000001166
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004256
cricetulus_griseus_crigri-picr ENSCGRG00015004316
mesocricetus_auratus ENSMAUG00000004901
nannospalax_galili ENSNGAG00000012374
jaculus_jaculus ENSJJAG00000000627
dipodomys_ordii ENSDORG00000026770
chinchilla_lanigera ENSCLAG00000006433
octodon_degus ENSODEG00000019918
microcebus_murinus ENSMICG00000029773
prolemur_simus ENSPSMG00000025476
pan_troglodytes ENSPTRG00000047838
homo_sapiens ENSG00000178403
gorilla_gorilla ENSGGOG00000038276
pongo_abelii ENSPPYG00000015008
nomascus_leucogenys ENSNLEG00000031074
macaca_mulatta ENSMMUG00000014078
macaca_fascicularis ENSMFAG00000026432
macaca_nemestrina ENSMNEG00000006870
papio_anubis ENSPANG00000004407
cercocebus_atys ENSCATG00000012534
theropithecus_gelada ENSTGEG00000003727
mandrillus_leucophaeus ENSMLEG00000000201
chlorocebus_sabaeus ENSCSAG00000000399
rhinopithecus_roxellana ENSRROG00000022032
rhinopithecus_bieti ENSRBIG00000022653
colobus_angolensis_palliatus ENSCANG00000007396
piliocolobus_tephrosceles ENSPTEG00000031505
cebus_capucinus_imitator ENSCCAG00000020190
saimiri_boliviensis_boliviensis ENSSBOG00000019499
callithrix_jacchus ENSCJAG00000003772
aotus_nancymaae ENSANAG00000011779
carlito_syrichta ENSTSYG00000001849
otolemur_garnettii ENSOGAG00000029479
oryctolagus_cuniculus ENSOCUG00000007063
capra_hircus ENSCHIG00000006855
ovis_aries ENSOARG00000000293
bos_mutus ENSBMUG00000021302
bos_taurus ENSBTAG00000015259
bison_bison_bison ENSBBBG00000008258
sus_scrofa ENSSSCG00000033479
ursus_americanus ENSUAMG00000003864
ailuropoda_melanoleuca ENSAMEG00000015618
mustela_putorius_furo ENSMPUG00000019178
neovison_vison ENSNVIG00000014139
felis_catus ENSFCAG00000010711
panthera_pardus ENSPPRG00000021914
canis_lupus_dingo ENSCAFG00020017205
canis_lupus_familiaris ENSCAFG00000025325
vulpes_vulpes ENSVVUG00000002181
equus_asinus_asinus ENSEASG00005005584
equus_caballus ENSECAG00000035491
urocitellus_parryii ENSUPAG00010014395
ictidomys_tridecemlineatus ENSSTOG00000011758
marmota_marmota_marmota ENSMMMG00000011232
castor_canadensis ENSCCNG00000015800
dasypus_novemcinctus ENSDNOG00000010840
choloepus_hoffmanni ENSCHOG00000000513
phascolarctos_cinereus ENSPCIG00000020272
monodelphis_domestica ENSMODG00000005712
sarcophilus_harrisii ENSSHAG00000006703
chelonoidis_abingdonii ENSCABG00000004120
gopherus_agassizii ENSGAGG00000024504
chrysemys_picta_bellii ENSCPBG00000004822
sphenodon_punctatus ENSSPUG00000017284
anolis_carolinensis ENSACAG00000023148
notechis_scutatus ENSNSUG00000003935
salvator_merianae ENSSMRG00000014699
lonchura_striata_domestica ENSLSDG00000012117
junco_hyemalis ENSJHYG00000001802
parus_major ENSPMJG00000005715
lepidothrix_coronata ENSLCOG00000002069
calidris_pygmaea ENSCPGG00000002102
melopsittacus_undulatus ENSMUNG00000004982
numida_meleagris ENSNMEG00000005939
coturnix_japonica ENSCJPG00005006790
anas_platyrhynchos_platyrhynchos ENSAPLG00000029891
latimeria_chalumnae ENSLACG00000002633
poecilia_reticulata ENSPREG00000002262
