otolemur_garnettii ENSOGAG00000028545
prolemur_simus ENSPSMG00000001311
theropithecus_gelada ENSTGEG00000026088
piliocolobus_tephrosceles ENSPTEG00000004620
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018200
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020617
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017354
mus_spicilegus ENSMSIG00000018338
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018484
rattus_norvegicus ENSRNOG00000024233
meriones_unguiculatus ENSMUGG00000009530
peromyscus_maniculatus_bairdii ENSPEMG00000011350
microtus_ochrogaster ENSMOCG00000015491
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018355
cricetulus_griseus_crigri-picr ENSCGRG00015011801
cricetulus_griseus_crigri_1.0 ENSCGRG00000016498
mesocricetus_auratus ENSMAUG00000011122
jaculus_jaculus ENSJJAG00000019045
spermophilus_dauricus ENSSDAG00000017200
marmota_marmota_marmota ENSMMMG00000012496
ursus_maritimus ENSUMAG00000001128
ursus_americanus ENSUAMG00000016024
ailuropoda_melanoleuca ENSAMEG00000010638
canis_lupus_familiaris ENSCAFG00000010970
canis_lupus_dingo ENSCAFG00020024926
vulpes_vulpes ENSVVUG00000007608
mustela_putorius_furo ENSMPUG00000014530
neovison_vison ENSNVIG00000008733
bos_taurus ENSBTAG00000024899
bos_mutus ENSBMUG00000025514
bison_bison_bison ENSBBBG00000000295
capra_hircus ENSCHIG00000022613
ovis_aries ENSOARG00000014912
equus_caballus ENSECAG00000022227
equus_asinus_asinus ENSEASG00005016584
myotis_lucifugus ENSMLUG00000028060
myotis_lucifugus ENSMLUG00000029767
dasypus_novemcinctus ENSDNOG00000044303
