marmota_marmota_marmota ENSMMMG00000009274
ictidomys_tridecemlineatus ENSSTOG00000033194
urocitellus_parryii ENSUPAG00010013649
spermophilus_dauricus ENSSDAG00000003291
dipodomys_ordii ENSDORG00000013600
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110206
mus_spicilegus ENSMSIG00000020203
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030797
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029699
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012924
rattus_norvegicus ENSRNOG00000056212
meriones_unguiculatus ENSMUGG00000005642
cricetulus_griseus_crigri-picr ENSCGRG00015018325
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017445
cricetulus_griseus_crigri_1.0 ENSCGRG00000002133
mesocricetus_auratus ENSMAUG00000012216
peromyscus_maniculatus_bairdii ENSPEMG00000012798
microtus_ochrogaster ENSMOCG00000010342
nannospalax_galili ENSNGAG00000003724
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007187
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007895
fukomys_damarensis ENSFDAG00000005651
octodon_degus ENSODEG00000017084
cavia_porcellus ENSCPOG00000022577
chinchilla_lanigera ENSCLAG00000003815
ochotona_princeps ENSOPRG00000001178
castor_canadensis ENSCCNG00000029547
nomascus_leucogenys ENSNLEG00000005205
equus_asinus_asinus ENSEASG00005005002
equus_caballus ENSECAG00000038488
sus_scrofa ENSSSCG00000003167
sorex_araneus ENSSARG00000003214
procavia_capensis ENSPCAG00000004039
prolemur_simus ENSPSMG00000022197
propithecus_coquereli ENSPCOG00000020522
microcebus_murinus ENSMICG00000030023
rhinopithecus_roxellana ENSRROG00000041379
rhinopithecus_bieti ENSRBIG00000037282
colobus_angolensis_palliatus ENSCANG00000042320
mandrillus_leucophaeus ENSMLEG00000013825
cercocebus_atys ENSCATG00000044584
theropithecus_gelada ENSTGEG00000026324
macaca_nemestrina ENSMNEG00000029282
macaca_fascicularis ENSMFAG00000030996
macaca_mulatta ENSMMUG00000006825
papio_anubis ENSPANG00000008127
chlorocebus_sabaeus ENSCSAG00000002539
pan_paniscus ENSPPAG00000020354
pan_troglodytes ENSPTRG00000011297
gorilla_gorilla ENSGGOG00000010144
homo_sapiens ENSG00000090554
pongo_abelii ENSPPYG00000010250
saimiri_boliviensis_boliviensis ENSSBOG00000021267
cebus_capucinus_imitator ENSCCAG00000001876
callithrix_jacchus ENSCJAG00000000081
aotus_nancymaae ENSANAG00000029260
panthera_tigris_altaica ENSPTIG00000021950
jaculus_jaculus ENSJJAG00000011073
carlito_syrichta ENSTSYG00000037558
erinaceus_europaeus ENSEEUG00000006149
loxodonta_africana ENSLAFG00000016211
echinops_telfairi ENSETEG00000016551
capra_hircus ENSCHIG00000013222
ovis_aries ENSOARG00000013140
bos_taurus ENSBTAG00000038045
bos_mutus ENSBMUG00000003574
bison_bison_bison ENSBBBG00000000042
tursiops_truncatus ENSTTRG00000005474
ursus_americanus ENSUAMG00000008435
ursus_maritimus ENSUMAG00000002372
ailuropoda_melanoleuca ENSAMEG00000014041
neovison_vison ENSNVIG00000013636
mustela_putorius_furo ENSMPUG00000002613
canis_lupus_familiaris ENSCAFG00000003636
vulpes_vulpes ENSVVUG00000022614
panthera_pardus ENSPPRG00000010392
felis_catus ENSFCAG00000030375
pteropus_vampyrus ENSPVAG00000010957
sarcophilus_harrisii ENSSHAG00000005273
phascolarctos_cinereus ENSPCIG00000032295
ornithorhynchus_anatinus ENSOANG00000000827
pogona_vitticeps ENSPVIG00000015448
anolis_carolinensis ENSACAG00000017350
parus_major ENSPMJG00000013411
