coturnix_japonica ENSCJPG00005005150
cyanistes_caeruleus ENSCCEG00000005894
nothoprocta_perdicaria ENSNPEG00000013066
crocodylus_porosus ENSCPRG00005007104
gopherus_agassizii ENSGAGG00000018437
meriones_unguiculatus ENSMUGG00000003100
mus_spicilegus ENSMSIG00000002754
mus_spicilegus ENSMSIG00000004027
meriones_unguiculatus ENSMUGG00000016838
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000559
capra_hircus ENSCHIG00000022477
capra_hircus ENSCHIG00000023949
vulpes_vulpes ENSVVUG00000025837
canis_lupus_dingo ENSCAFG00020012609
aotus_nancymaae ENSANAG00000010341
theropithecus_gelada ENSTGEG00000020860
castor_canadensis ENSCCNG00000023913
castor_canadensis ENSCCNG00000023915
theropithecus_gelada ENSTGEG00000026447
macaca_nemestrina ENSMNEG00000030934
mandrillus_leucophaeus ENSMLEG00000030187
labrus_bergylta ENSLBEG00000020314
cynoglossus_semilaevis ENSCSEG00000009317
