marmota_marmota_marmota ENSMMMG00000017539
ictidomys_tridecemlineatus ENSSTOG00000020072
nannospalax_galili ENSNGAG00000004117
nannospalax_galili ENSNGAG00000012866
cricetulus_griseus_crigri-picr ENSCGRG00015022533
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018595
cricetulus_griseus_crigri_1.0 ENSCGRG00000017157
mesocricetus_auratus ENSMAUG00000014680
peromyscus_maniculatus_bairdii ENSPEMG00000028550
microtus_ochrogaster ENSMOCG00000014218
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000476
fukomys_damarensis ENSFDAG00000002098
octodon_degus ENSODEG00000009489
rhinopithecus_bieti ENSRBIG00000039307
piliocolobus_tephrosceles ENSPTEG00000038501
mandrillus_leucophaeus ENSMLEG00000000091
propithecus_coquereli ENSPCOG00000015322
tupaia_belangeri ENSTBEG00000008151
canis_lupus_dingo ENSCAFG00020013494
vulpes_vulpes ENSVVUG00000005971
panthera_tigris_altaica ENSPTIG00000012147
bos_taurus ENSBTAG00000054545
equus_caballus ENSECAG00000036831
monodelphis_domestica ENSMODG00000001185
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004912
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004283
octodon_degus ENSODEG00000007561
rattus_norvegicus ENSRNOG00000057589
peromyscus_maniculatus_bairdii ENSPEMG00000003682
ictidomys_tridecemlineatus ENSSTOG00000032457
ochotona_princeps ENSOPRG00000007020
spermophilus_dauricus ENSSDAG00000023085
sus_scrofa ENSSSCG00000025029
choloepus_hoffmanni ENSCHOG00000000508
echinops_telfairi ENSETEG00000007132
fukomys_damarensis ENSFDAG00000011650
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004755
octodon_degus ENSODEG00000006412
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005013
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012614
octodon_degus ENSODEG00000006874
dipodomys_ordii ENSDORG00000027640
ictidomys_tridecemlineatus ENSSTOG00000031195
pan_paniscus ENSPPAG00000039746
cercocebus_atys ENSCATG00000015957
rhinopithecus_roxellana ENSRROG00000035338
piliocolobus_tephrosceles ENSPTEG00000027695
chlorocebus_sabaeus ENSCSAG00000001264
