pelodiscus_sinensis ENSPSIG00000015862
gopherus_agassizii ENSGAGG00000020026
lonchura_striata_domestica ENSLSDG00000017205
zonotrichia_albicollis ENSZALG00000005519
anas_platyrhynchos_platyrhynchos ENSAPLG00000010771
calidris_pygmaea ENSCPGG00000003796
crocodylus_porosus ENSCPRG00005016939
chelonoidis_abingdonii ENSCABG00000008448
serinus_canaria ENSSCAG00000009261
taeniopygia_guttata ENSTGUG00000002528
manacus_vitellinus ENSMVIG00005008687
calidris_pugnax ENSCPUG00000015125
dromaius_novaehollandiae ENSDNVG00000016860
apteryx_rowi ENSARWG00000013271
apteryx_owenii ENSAOWG00000010151
nothoprocta_perdicaria ENSNPEG00000000660
sphenodon_punctatus ENSSPUG00000007100
notechis_scutatus ENSNSUG00000002914
gallus_gallus ENSGALG00000014711
meleagris_gallopavo ENSMGAG00000004007
coturnix_japonica ENSCJPG00005001309
numida_meleagris ENSNMEG00000006669
anser_brachyrhynchus ENSABRG00000021044
parus_major ENSPMJG00000015903
cyanistes_caeruleus ENSCCEG00000016307
ficedula_albicollis ENSFALG00000010886
lepidothrix_coronata ENSLCOG00000007568
melopsittacus_undulatus ENSMUNG00000013485
apteryx_haastii ENSAHAG00000002964
chrysemys_picta_bellii ENSCPBG00000026550
pogona_vitticeps ENSPVIG00000010329
anolis_carolinensis ENSACAG00000015109
salvator_merianae ENSSMRG00000018937
cebus_capucinus_imitator ENSCCAG00000036760
callithrix_jacchus ENSCJAG00000001879
saimiri_boliviensis_boliviensis ENSSBOG00000021185
aotus_nancymaae ENSANAG00000038436
pan_troglodytes ENSPTRG00000016880
homo_sapiens ENSG00000067113
gorilla_gorilla ENSGGOG00000001872
nomascus_leucogenys ENSNLEG00000001513
papio_anubis ENSPANG00000021430
cercocebus_atys ENSCATG00000029450
macaca_fascicularis ENSMFAG00000030691
theropithecus_gelada ENSTGEG00000012728
rhinopithecus_bieti ENSRBIG00000036266
rhinopithecus_roxellana ENSRROG00000040017
piliocolobus_tephrosceles ENSPTEG00000020181
mandrillus_leucophaeus ENSMLEG00000029478
pan_paniscus ENSPPAG00000041332
carlito_syrichta ENSTSYG00000007409
prolemur_simus ENSPSMG00000016648
propithecus_coquereli ENSPCOG00000015324
microcebus_murinus ENSMICG00000044869
otolemur_garnettii ENSOGAG00000002887
ictidomys_tridecemlineatus ENSSTOG00000023013
spermophilus_dauricus ENSSDAG00000006751
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021759
mus_spicilegus ENSMSIG00000017203
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019774
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018895
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015966
rattus_norvegicus ENSRNOG00000009980
meriones_unguiculatus ENSMUGG00000017303
cricetulus_griseus_crigri-picr ENSCGRG00015000737
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024401
castor_canadensis ENSCCNG00000022712
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001230
fukomys_damarensis ENSFDAG00000018963
bison_bison_bison ENSBBBG00000016367
bos_mutus ENSBMUG00000023336
bos_taurus ENSBTAG00000010526
capra_hircus ENSCHIG00000020725
tursiops_truncatus ENSTTRG00000008679
vicugna_pacos ENSVPAG00000011176
equus_asinus_asinus ENSEASG00005013261
equus_caballus ENSECAG00000023296
pteropus_vampyrus ENSPVAG00000002446
ursus_americanus ENSUAMG00000023058
ursus_maritimus ENSUMAG00000009322
ailuropoda_melanoleuca ENSAMEG00000013923
vulpes_vulpes ENSVVUG00000021353
neovison_vison ENSNVIG00000009623
panthera_pardus ENSPPRG00000016093
panthera_tigris_altaica ENSPTIG00000009167
felis_catus ENSFCAG00000026781
