saimiri_boliviensis_boliviensis ENSSBOG00000025273
cebus_capucinus_imitator ENSCCAG00000033417
callithrix_jacchus ENSCJAG00000013071
aotus_nancymaae ENSANAG00000036597
theropithecus_gelada ENSTGEG00000018976
papio_anubis ENSPANG00000005704
cercocebus_atys ENSCATG00000030939
mandrillus_leucophaeus ENSMLEG00000023325
chlorocebus_sabaeus ENSCSAG00000013781
macaca_fascicularis ENSMFAG00000031033
macaca_mulatta ENSMMUG00000003131
macaca_nemestrina ENSMNEG00000020765
colobus_angolensis_palliatus ENSCANG00000034729
piliocolobus_tephrosceles ENSPTEG00000001336
rhinopithecus_roxellana ENSRROG00000038522
rhinopithecus_bieti ENSRBIG00000028591
pan_troglodytes ENSPTRG00000017219
pan_troglodytes ENSPTRG00000052345
pan_paniscus ENSPPAG00000030757
homo_sapiens ENSG00000169194
gorilla_gorilla ENSGGOG00000004704
pongo_abelii ENSPPYG00000015765
nomascus_leucogenys ENSNLEG00000036144
carlito_syrichta ENSTSYG00000001534
prolemur_simus ENSPSMG00000023129
microcebus_murinus ENSMICG00000030495
propithecus_coquereli ENSPCOG00000016239
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004067
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013692
fukomys_damarensis ENSFDAG00000011450
octodon_degus ENSODEG00000010260
cavia_porcellus ENSCPOG00000027078
cavia_aperea ENSCAPG00000005978
chinchilla_lanigera ENSCLAG00000016355
ictidomys_tridecemlineatus ENSSTOG00000007967
urocitellus_parryii ENSUPAG00010016041
marmota_marmota_marmota ENSMMMG00000015896
spermophilus_dauricus ENSSDAG00000020451
castor_canadensis ENSCCNG00000018403
dipodomys_ordii ENSDORG00000001196
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019822
cricetulus_griseus_crigri_1.0 ENSCGRG00000009190
cricetulus_griseus_crigri-picr ENSCGRG00015024060
mesocricetus_auratus ENSMAUG00000008859
microtus_ochrogaster ENSMOCG00000011299
peromyscus_maniculatus_bairdii ENSPEMG00000003732
mus_spicilegus ENSMSIG00000017705
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020383
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017187
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016343
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017477
rattus_norvegicus ENSRNOG00000007652
meriones_unguiculatus ENSMUGG00000018497
nannospalax_galili ENSNGAG00000010419
jaculus_jaculus ENSJJAG00000000582
otolemur_garnettii ENSOGAG00000015504
tupaia_belangeri ENSTBEG00000017274
oryctolagus_cuniculus ENSOCUG00000000154
ochotona_princeps ENSOPRG00000011765
bos_mutus ENSBMUG00000014514
bos_taurus ENSBTAG00000015953
bison_bison_bison ENSBBBG00000025394
ovis_aries ENSOARG00000014937
capra_hircus ENSCHIG00000020082
tursiops_truncatus ENSTTRG00000002601
sus_scrofa ENSSSCG00000014281
pteropus_vampyrus ENSPVAG00000015174
myotis_lucifugus ENSMLUG00000016573
ursus_maritimus ENSUMAG00000018269
ursus_americanus ENSUAMG00000004947
ailuropoda_melanoleuca ENSAMEG00000017722
mustela_putorius_furo ENSMPUG00000010507
neovison_vison ENSNVIG00000017686
canis_lupus_dingo ENSCAFG00020014310
canis_lupus_familiaris ENSCAFG00000000878
vulpes_vulpes ENSVVUG00000024578
panthera_pardus ENSPPRG00000008703
panthera_tigris_altaica ENSPTIG00000016535
felis_catus ENSFCAG00000032683
equus_caballus ENSECAG00000009732
equus_asinus_asinus ENSEASG00005017869
sorex_araneus ENSSARG00000009774
loxodonta_africana ENSLAFG00000008861
procavia_capensis ENSPCAG00000002187
echinops_telfairi ENSETEG00000010319
ornithorhynchus_anatinus ENSOANG00000019951
