maylandia_zebra ENSMZEG00005018098
astatotilapia_calliptera ENSACLG00000016569
pundamilia_nyererei ENSPNYG00000006257
haplochromis_burtoni ENSHBUG00000000209
neolamprologus_brichardi ENSNBRG00000019404
oreochromis_niloticus ENSONIG00000003036
amphilophus_citrinellus ENSACIG00000015301
amphiprion_ocellaris ENSAOCG00000019752
amphiprion_percula ENSAPEG00000006439
acanthochromis_polyacanthus ENSAPOG00000009704
stegastes_partitus ENSSPAG00000009344
cynoglossus_semilaevis ENSCSEG00000000630
scophthalmus_maximus ENSSMAG00000015320
seriola_lalandi_dorsalis ENSSLDG00000000731
mastacembelus_armatus ENSMAMG00000011013
anabas_testudineus ENSATEG00000009420
labrus_bergylta ENSLBEG00000010293
esox_lucius ENSELUG00000015705
pygocentrus_nattereri ENSPNAG00000013347
astyanax_mexicanus ENSAMXG00000036165
ictalurus_punctatus ENSIPUG00000010034
danio_rerio ENSDARG00000089552
paramormyrops_kingsleyae ENSPKIG00000021652
lepisosteus_oculatus ENSLOCG00000016315
latimeria_chalumnae ENSLACG00000022120
ciona_savignyi ENSCSAVG00000008708
ciona_intestinalis ENSCING00000005475
ciona_intestinalis ENSCING00000013570
