cricetulus_griseus_crigri-picr ENSCGRG00015025822
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012150
cricetulus_griseus_crigri_1.0 ENSCGRG00000007555
mesocricetus_auratus ENSMAUG00000007190
peromyscus_maniculatus_bairdii ENSPEMG00000027655
microtus_ochrogaster ENSMOCG00000001096
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029165
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043421
mus_spicilegus ENSMSIG00000024578
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028165
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021923
rattus_norvegicus ENSRNOG00000054999
meriones_unguiculatus ENSMUGG00000024833
nannospalax_galili ENSNGAG00000016167
urocitellus_parryii ENSUPAG00010001958
ictidomys_tridecemlineatus ENSSTOG00000029766
spermophilus_dauricus ENSSDAG00000002932
marmota_marmota_marmota ENSMMMG00000015877
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013002
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012931
fukomys_damarensis ENSFDAG00000012425
cavia_porcellus ENSCPOG00000037851
oryctolagus_cuniculus ENSOCUG00000011823
homo_sapiens ENSG00000135245
gorilla_gorilla ENSGGOG00000038597
pan_troglodytes ENSPTRG00000043255
pan_paniscus ENSPPAG00000022117
pongo_abelii ENSPPYG00000017978
nomascus_leucogenys ENSNLEG00000028127
macaca_fascicularis ENSMFAG00000023828
macaca_mulatta ENSMMUG00000014514
theropithecus_gelada ENSTGEG00000020903
cercocebus_atys ENSCATG00000014956
mandrillus_leucophaeus ENSMLEG00000027323
chlorocebus_sabaeus ENSCSAG00000010075
piliocolobus_tephrosceles ENSPTEG00000029402
piliocolobus_tephrosceles ENSPTEG00000018113
rhinopithecus_roxellana ENSRROG00000022886
rhinopithecus_bieti ENSRBIG00000027583
callithrix_jacchus ENSCJAG00000047466
bison_bison_bison ENSBBBG00000002928
bos_mutus ENSBMUG00000002466
sus_scrofa ENSSSCG00000031109
equus_asinus_asinus ENSEASG00005008537
equus_caballus ENSECAG00000003049
capra_hircus ENSCHIG00000009991
sorex_araneus ENSSARG00000005000
dasypus_novemcinctus ENSDNOG00000014094
choloepus_hoffmanni ENSCHOG00000002164
