mastacembelus_armatus ENSMAMG00000018308
monopterus_albus ENSMALG00000006957
neolamprologus_brichardi ENSNBRG00000013105
pundamilia_nyererei ENSPNYG00000020023
amphilophus_citrinellus ENSACIG00000000040
fundulus_heteroclitus ENSFHEG00000001202
cyprinodon_variegatus ENSCVAG00000021403
poecilia_formosa ENSPFOG00000000282
poecilia_latipinna ENSPLAG00000017426
poecilia_mexicana ENSPMEG00000017822
poecilia_reticulata ENSPREG00000010952
xiphophorus_couchianus ENSXCOG00000008740
oryzias_latipes_asm223467v1 ENSORLG00000028588
oryzias_latipes_asm223471v1 ENSORLG00020012605
oryzias_melastigma ENSOMEG00000019002
mola_mola ENSMMOG00000008726
takifugu_rubripes ENSTRUG00000020066
labrus_bergylta ENSLBEG00000002798
esox_lucius ENSELUG00000002874
pygocentrus_nattereri ENSPNAG00000020347
astyanax_mexicanus ENSAMXG00000037628
ictalurus_punctatus ENSIPUG00000006618
scleropages_formosus ENSSFOG00015017926
paramormyrops_kingsleyae ENSPKIG00000024876
