microcebus_murinus ENSMICG00000033903
propithecus_coquereli ENSPCOG00000019007
prolemur_simus ENSPSMG00000011215
otolemur_garnettii ENSOGAG00000010833
callithrix_jacchus ENSCJAG00000048628
cebus_capucinus_imitator ENSCCAG00000020281
aotus_nancymaae ENSANAG00000037321
pan_troglodytes ENSPTRG00000049637
pan_troglodytes ENSPTRG00000019395
gorilla_gorilla ENSGGOG00000023375
homo_sapiens ENSG00000157259
pongo_abelii ENSPPYG00000017821
nomascus_leucogenys ENSNLEG00000015297
rhinopithecus_bieti ENSRBIG00000042405
rhinopithecus_roxellana ENSRROG00000038537
colobus_angolensis_palliatus ENSCANG00000018362
piliocolobus_tephrosceles ENSPTEG00000028394
mandrillus_leucophaeus ENSMLEG00000015921
cercocebus_atys ENSCATG00000021259
chlorocebus_sabaeus ENSCSAG00000012585
macaca_mulatta ENSMMUG00000010104
macaca_nemestrina ENSMNEG00000034063
macaca_fascicularis ENSMFAG00000033362
theropithecus_gelada ENSTGEG00000002983
papio_anubis ENSPANG00000006522
tupaia_belangeri ENSTBEG00000008527
castor_canadensis ENSCCNG00000031172
dipodomys_ordii ENSDORG00000023294
meriones_unguiculatus ENSMUGG00000010233
meriones_unguiculatus ENSMUGG00000010735
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000007415
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027929
mus_spicilegus ENSMSIG00000007708
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026934
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021707
rattus_norvegicus ENSRNOG00000008613
microtus_ochrogaster ENSMOCG00000001091
peromyscus_maniculatus_bairdii ENSPEMG00000026596
cricetulus_griseus_crigri_1.0 ENSCGRG00000007163
cricetulus_griseus_crigri-picr ENSCGRG00015024642
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009429
mesocricetus_auratus ENSMAUG00000016455
nannospalax_galili ENSNGAG00000018462
jaculus_jaculus ENSJJAG00000021746
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013060
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003522
fukomys_damarensis ENSFDAG00000004710
cavia_porcellus ENSCPOG00000035569
cavia_porcellus ENSCPOG00000027317
octodon_degus ENSODEG00000000896
spermophilus_dauricus ENSSDAG00000017380
urocitellus_parryii ENSUPAG00010016577
marmota_marmota_marmota ENSMMMG00000020506
ictidomys_tridecemlineatus ENSSTOG00000033661
tursiops_truncatus ENSTTRG00000011333
vicugna_pacos ENSVPAG00000002253
sus_scrofa ENSSSCG00000031835
erinaceus_europaeus ENSEEUG00000001797
equus_caballus ENSECAG00000021181
equus_asinus_asinus ENSEASG00005020044
pteropus_vampyrus ENSPVAG00000010830
capra_hircus ENSCHIG00000006633
ovis_aries ENSOARG00000018184
bos_mutus ENSBMUG00000023417
bos_taurus ENSBTAG00000021996
bison_bison_bison ENSBBBG00000017906
myotis_lucifugus ENSMLUG00000011820
canis_lupus_dingo ENSCAFG00020012131
canis_lupus_familiaris ENSCAFG00000030614
