ciona_intestinalis ENSCING00000019408
caenorhabditis_elegans_strain_n2 WBGene00001208
procavia_capensis ENSPCAG00000013738
loxodonta_africana ENSLAFG00000006998
echinops_telfairi ENSETEG00000017739
pteropus_vampyrus ENSPVAG00000013230
myotis_lucifugus ENSMLUG00000005310
equus_caballus ENSECAG00000011303
equus_asinus_asinus ENSEASG00005017113
ursus_maritimus ENSUMAG00000014691
ursus_americanus ENSUAMG00000020912
ailuropoda_melanoleuca ENSAMEG00000004909
neovison_vison ENSNVIG00000004763
mustela_putorius_furo ENSMPUG00000009377
panthera_pardus ENSPPRG00000002893
panthera_tigris_altaica ENSPTIG00000020859
felis_catus ENSFCAG00000000150
canis_lupus_dingo ENSCAFG00020014762
canis_lupus_familiaris ENSCAFG00000015522
vulpes_vulpes ENSVVUG00000018176
prolemur_simus ENSPSMG00000014109
propithecus_coquereli ENSPCOG00000028429
microcebus_murinus ENSMICG00000000108
otolemur_garnettii ENSOGAG00000005199
pan_troglodytes ENSPTRG00000004538
pan_paniscus ENSPPAG00000038056
homo_sapiens ENSG00000197905
gorilla_gorilla ENSGGOG00000006216
pongo_abelii ENSPPYG00000004156
nomascus_leucogenys ENSNLEG00000002771
macaca_fascicularis ENSMFAG00000001395
macaca_nemestrina ENSMNEG00000041421
macaca_mulatta ENSMMUG00000011299
mandrillus_leucophaeus ENSMLEG00000031287
cercocebus_atys ENSCATG00000041028
papio_anubis ENSPANG00000006242
theropithecus_gelada ENSTGEG00000012354
chlorocebus_sabaeus ENSCSAG00000011241
colobus_angolensis_palliatus ENSCANG00000029046
piliocolobus_tephrosceles ENSPTEG00000038744
rhinopithecus_bieti ENSRBIG00000040472
rhinopithecus_roxellana ENSRROG00000029913
callithrix_jacchus ENSCJAG00000018829
saimiri_boliviensis_boliviensis ENSSBOG00000025602
cebus_capucinus_imitator ENSCCAG00000028720
aotus_nancymaae ENSANAG00000036426
octodon_degus ENSODEG00000000244
chinchilla_lanigera ENSCLAG00000012070
cavia_aperea ENSCAPG00000012362
cavia_porcellus ENSCPOG00000020720
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005726
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003391
fukomys_damarensis ENSFDAG00000013048
urocitellus_parryii ENSUPAG00010012654
marmota_marmota_marmota ENSMMMG00000018634
ictidomys_tridecemlineatus ENSSTOG00000010621
spermophilus_dauricus ENSSDAG00000004097
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029946
mus_spicilegus ENSMSIG00000024608
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028902
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022666
rattus_norvegicus ENSRNOG00000005608
meriones_unguiculatus ENSMUGG00000013241
microtus_ochrogaster ENSMOCG00000016979
peromyscus_maniculatus_bairdii ENSPEMG00000015684
cricetulus_griseus_crigri_1.0 ENSCGRG00000014950
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014080
cricetulus_griseus_crigri-picr ENSCGRG00015004939
nannospalax_galili ENSNGAG00000020843
jaculus_jaculus ENSJJAG00000016391
dipodomys_ordii ENSDORG00000023847
castor_canadensis ENSCCNG00000019374
ochotona_princeps ENSOPRG00000015460
oryctolagus_cuniculus ENSOCUG00000015389
carlito_syrichta ENSTSYG00000037379
capra_hircus ENSCHIG00000014553
ovis_aries ENSOARG00000010808
bos_mutus ENSBMUG00000018187
bos_taurus ENSBTAG00000019788
bison_bison_bison ENSBBBG00000012060
tursiops_truncatus ENSTTRG00000007774
sus_scrofa ENSSSCG00000000736
sorex_araneus ENSSARG00000011170
dasypus_novemcinctus ENSDNOG00000030589
notamacropus_eugenii ENSMEUG00000003932
notamacropus_eugenii ENSMEUG00000006301
phascolarctos_cinereus ENSPCIG00000023136
sarcophilus_harrisii ENSSHAG00000012780
monodelphis_domestica ENSMODG00000018340
ornithorhynchus_anatinus ENSOANG00000001389
apteryx_haastii ENSAHAG00000017500
apteryx_rowi ENSARWG00000002032
apteryx_owenii ENSAOWG00000014636
dromaius_novaehollandiae ENSDNVG00000011530
gallus_gallus ENSGALG00000014342
meleagris_gallopavo ENSMGAG00000013910
coturnix_japonica ENSCJPG00005016618
numida_meleagris ENSNMEG00000016529
anser_brachyrhynchus ENSABRG00000012843
calidris_pugnax ENSCPUG00000007322
calidris_pygmaea ENSCPGG00000004723
melopsittacus_undulatus ENSMUNG00000014388
manacus_vitellinus ENSMVIG00005014171
lepidothrix_coronata ENSLCOG00000004631
