tetraodon_nigroviridis ENSTNIG00000013479
takifugu_rubripes ENSTRUG00000018324
mola_mola ENSMMOG00000008527
labrus_bergylta ENSLBEG00000027056
seriola_dumerili ENSSDUG00000023518
seriola_lalandi_dorsalis ENSSLDG00000014147
scophthalmus_maximus ENSSMAG00000010435
mastacembelus_armatus ENSMAMG00000004204
monopterus_albus ENSMALG00000000168
anabas_testudineus ENSATEG00000008314
periophthalmus_magnuspinnatus ENSPMGG00000017121
periophthalmus_magnuspinnatus ENSPMGG00000017122
cynoglossus_semilaevis ENSCSEG00000013472
amphiprion_ocellaris ENSAOCG00000022435
amphiprion_percula ENSAPEG00000003990
acanthochromis_polyacanthus ENSAPOG00000017665
stegastes_partitus ENSSPAG00000018991
haplochromis_burtoni ENSHBUG00000006197
astatotilapia_calliptera ENSACLG00000026032
pundamilia_nyererei ENSPNYG00000005997
maylandia_zebra ENSMZEG00005006348
neolamprologus_brichardi ENSNBRG00000020198
oreochromis_niloticus ENSONIG00000015454
amphilophus_citrinellus ENSACIG00000016694
gasterosteus_aculeatus ENSGACG00000015761
labrus_bergylta ENSLBEG00000016779
hippocampus_comes ENSHCOG00000020905
fundulus_heteroclitus ENSFHEG00000005895
cyprinodon_variegatus ENSCVAG00000013188
poecilia_latipinna ENSPLAG00000012008
poecilia_formosa ENSPFOG00000022318
poecilia_mexicana ENSPMEG00000013062
poecilia_mexicana ENSPMEG00000011561
poecilia_formosa ENSPFOG00000008456
poecilia_reticulata ENSPREG00000018782
xiphophorus_maculatus ENSXMAG00000018842
xiphophorus_couchianus ENSXCOG00000017669
gambusia_affinis ENSGAFG00000002874
oryzias_latipes_asm223471v1 ENSORLG00020013761
oryzias_latipes_asm223469v1 ENSORLG00015021590
oryzias_latipes_asm223467v1 ENSORLG00000002273
oryzias_melastigma ENSOMEG00000017299
gadus_morhua ENSGMOG00000008392
esox_lucius ENSELUG00000006875
astyanax_mexicanus ENSAMXG00000019516
pygocentrus_nattereri ENSPNAG00000009908
danio_rerio ENSDARG00000063706
paramormyrops_kingsleyae ENSPKIG00000018112
scleropages_formosus ENSSFOG00015016473
lepisosteus_oculatus ENSLOCG00000005705
notamacropus_eugenii ENSMEUG00000004528
phascolarctos_cinereus ENSPCIG00000002178
sarcophilus_harrisii ENSSHAG00000018263
monodelphis_domestica ENSMODG00000019740
pteropus_vampyrus ENSPVAG00000009637
sorex_araneus ENSSARG00000010195
capra_hircus ENSCHIG00000023152
ovis_aries ENSOARG00000017022
bos_mutus ENSBMUG00000011054
bos_taurus ENSBTAG00000020205
bison_bison_bison ENSBBBG00000021396
sus_scrofa ENSSSCG00000014097
tursiops_truncatus ENSTTRG00000009475
vicugna_pacos ENSVPAG00000010603
panthera_tigris_altaica ENSPTIG00000014747
panthera_pardus ENSPPRG00000012726
felis_catus ENSFCAG00000005432
equus_caballus ENSECAG00000012189
equus_asinus_asinus ENSEASG00005001845
canis_lupus_familiaris ENSCAFG00000009253
canis_lupus_dingo ENSCAFG00020026022
vulpes_vulpes ENSVVUG00000025106
neovison_vison ENSNVIG00000002723
mustela_putorius_furo ENSMPUG00000005262
ailuropoda_melanoleuca ENSAMEG00000001874
ailuropoda_melanoleuca ENSAMEG00000005971
ursus_americanus ENSUAMG00000019292
ursus_maritimus ENSUMAG00000004797
jaculus_jaculus ENSJJAG00000023506
castor_canadensis ENSCCNG00000028039
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015606
cricetulus_griseus_crigri_1.0 ENSCGRG00000012756
cricetulus_griseus_crigri-picr ENSCGRG00015010802
mesocricetus_auratus ENSMAUG00000015472
peromyscus_maniculatus_bairdii ENSPEMG00000020359
microtus_ochrogaster ENSMOCG00000012277
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021684
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019676
mus_spicilegus ENSMSIG00000011209
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018793
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015870
rattus_norvegicus ENSRNOG00000010280
nannospalax_galili ENSNGAG00000003750
urocitellus_parryii ENSUPAG00010013724
ictidomys_tridecemlineatus ENSSTOG00000001468
spermophilus_dauricus ENSSDAG00000023709
marmota_marmota_marmota ENSMMMG00000003165
octodon_degus ENSODEG00000000608
chinchilla_lanigera ENSCLAG00000011619
cavia_porcellus ENSCPOG00000001181
cavia_aperea ENSCAPG00000009621
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002178
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002151
fukomys_damarensis ENSFDAG00000017704
tupaia_belangeri ENSTBEG00000016756
macaca_fascicularis ENSMFAG00000041903
macaca_nemestrina ENSMNEG00000045435
macaca_mulatta ENSMMUG00000021358
theropithecus_gelada ENSTGEG00000023659
cercocebus_atys ENSCATG00000037786
mandrillus_leucophaeus ENSMLEG00000040085
papio_anubis ENSPANG00000025090
chlorocebus_sabaeus ENSCSAG00000015317
colobus_angolensis_palliatus ENSCANG00000031400
piliocolobus_tephrosceles ENSPTEG00000034730
rhinopithecus_roxellana ENSRROG00000030744
rhinopithecus_bieti ENSRBIG00000021650
pan_troglodytes ENSPTRG00000017010
pan_paniscus ENSPPAG00000037153
homo_sapiens ENSG00000284762
homo_sapiens ENSG00000113231
gorilla_gorilla ENSGGOG00000005317
pongo_abelii ENSPPYG00000015576
nomascus_leucogenys ENSNLEG00000012655
saimiri_boliviensis_boliviensis ENSSBOG00000020456
cebus_capucinus_imitator ENSCCAG00000035315
callithrix_jacchus ENSCJAG00000019876
aotus_nancymaae ENSANAG00000031594
carlito_syrichta ENSTSYG00000000519
propithecus_coquereli ENSPCOG00000017117
prolemur_simus ENSPSMG00000022043
microcebus_murinus ENSMICG00000016635
otolemur_garnettii ENSOGAG00000006930
loxodonta_africana ENSLAFG00000015612
procavia_capensis ENSPCAG00000008742
myotis_lucifugus ENSMLUG00000016798
erinaceus_europaeus ENSEEUG00000010756
echinops_telfairi ENSETEG00000009534
choloepus_hoffmanni ENSCHOG00000003900
dasypus_novemcinctus ENSDNOG00000004221
dipodomys_ordii ENSDORG00000006070
meriones_unguiculatus ENSMUGG00000000432
ochotona_princeps ENSOPRG00000006845
oryctolagus_cuniculus ENSOCUG00000022889
ornithorhynchus_anatinus ENSOANG00000003104
lonchura_striata_domestica ENSLSDG00000014384
taeniopygia_guttata ENSTGUG00000003995
serinus_canaria ENSSCAG00000005086
zonotrichia_albicollis ENSZALG00000016567
ficedula_albicollis ENSFALG00000010015
parus_major ENSPMJG00000016145
cyanistes_caeruleus ENSCCEG00000018289
manacus_vitellinus ENSMVIG00005014444
lepidothrix_coronata ENSLCOG00000000674
melopsittacus_undulatus ENSMUNG00000016538
calidris_pygmaea ENSCPGG00000001379
calidris_pugnax ENSCPUG00000014589
coturnix_japonica ENSCJPG00005007937
meleagris_gallopavo ENSMGAG00000004773
gallus_gallus ENSGALG00000004339
numida_meleagris ENSNMEG00000008391
