bos_taurus ENSBTAG00000046980
bos_mutus ENSBMUG00000013930
bison_bison_bison ENSBBBG00000023444
capra_hircus ENSCHIG00000007053
ovis_aries ENSOARG00000021038
myotis_lucifugus ENSMLUG00000022417
mustela_putorius_furo ENSMPUG00000006191
neovison_vison ENSNVIG00000010492
ursus_maritimus ENSUMAG00000016310
panthera_pardus ENSPPRG00000013226
panthera_tigris_altaica ENSPTIG00000008857
felis_catus ENSFCAG00000023412
pan_paniscus ENSPPAG00000039440
pan_troglodytes ENSPTRG00000042023
homo_sapiens ENSG00000256797
gorilla_gorilla ENSGGOG00000038281
pongo_abelii ENSPPYG00000004260
nomascus_leucogenys ENSNLEG00000003058
colobus_angolensis_palliatus ENSCANG00000024805
piliocolobus_tephrosceles ENSPTEG00000008521
rhinopithecus_bieti ENSRBIG00000022572
rhinopithecus_roxellana ENSRROG00000015611
mandrillus_leucophaeus ENSMLEG00000033253
cercocebus_atys ENSCATG00000019698
papio_anubis ENSPANG00000015337
theropithecus_gelada ENSTGEG00000004076
chlorocebus_sabaeus ENSCSAG00000009265
macaca_fascicularis ENSMFAG00000001959
macaca_nemestrina ENSMNEG00000026694
macaca_mulatta ENSMMUG00000041703
cebus_capucinus_imitator ENSCCAG00000024423
cebus_capucinus_imitator ENSCCAG00000024004
saimiri_boliviensis_boliviensis ENSSBOG00000031218
aotus_nancymaae ENSANAG00000028187
