serinus_canaria ENSSCAG00000014570
nothoprocta_perdicaria ENSNPEG00000013658
gopherus_agassizii ENSGAGG00000019586
canis_lupus_familiaris ENSCAFG00000031642
canis_lupus_dingo ENSCAFG00020017651
vulpes_vulpes ENSVVUG00000008667
sus_scrofa ENSSSCG00000040909
mesocricetus_auratus ENSMAUG00000018517
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018851
rattus_norvegicus ENSRNOG00000045872
mus_spicilegus ENSMSIG00000016382
oryzias_latipes_asm223471v1 ENSORLG00020009796
oryzias_latipes_asm223469v1 ENSORLG00015005760
oryzias_latipes_asm223467v1 ENSORLG00000025985
poecilia_reticulata ENSPREG00000021099
gambusia_affinis ENSGAFG00000008939
stegastes_partitus ENSSPAG00000005189
seriola_dumerili ENSSDUG00000013802
takifugu_rubripes ENSTRUG00000020153
astyanax_mexicanus ENSAMXG00000039886
paramormyrops_kingsleyae ENSPKIG00000011889
