felis_catus ENSFCAG00000005989
panthera_pardus ENSPPRG00000020250
ailuropoda_melanoleuca ENSAMEG00000019423
bos_mutus ENSBMUG00000024737
bison_bison_bison ENSBBBG00000007964
ovis_aries ENSOARG00000016605
myotis_lucifugus ENSMLUG00000024913
myotis_lucifugus ENSMLUG00000015626
pteropus_vampyrus ENSPVAG00000008303
ochotona_princeps ENSOPRG00000002994
oryctolagus_cuniculus ENSOCUG00000015658
cebus_capucinus_imitator ENSCCAG00000034152
saimiri_boliviensis_boliviensis ENSSBOG00000028061
aotus_nancymaae ENSANAG00000031759
pan_paniscus ENSPPAG00000011690
pan_troglodytes ENSPTRG00000050960
homo_sapiens ENSG00000175701
gorilla_gorilla ENSGGOG00000038744
pongo_abelii ENSPPYG00000012152
nomascus_leucogenys ENSNLEG00000030349
macaca_mulatta ENSMMUG00000022800
macaca_nemestrina ENSMNEG00000016021
macaca_fascicularis ENSMFAG00000044894
cercocebus_atys ENSCATG00000031652
theropithecus_gelada ENSTGEG00000001238
papio_anubis ENSPANG00000030191
rhinopithecus_roxellana ENSRROG00000027597
rhinopithecus_bieti ENSRBIG00000031628
piliocolobus_tephrosceles ENSPTEG00000025878
colobus_angolensis_palliatus ENSCANG00000029794
carlito_syrichta ENSTSYG00000004671
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020372
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020737
fukomys_damarensis ENSFDAG00000003393
chinchilla_lanigera ENSCLAG00000003874
cavia_porcellus ENSCPOG00000008030
castor_canadensis ENSCCNG00000021722
marmota_marmota_marmota ENSMMMG00000001689
urocitellus_parryii ENSUPAG00010008905
ictidomys_tridecemlineatus ENSSTOG00000022549
peromyscus_maniculatus_bairdii ENSPEMG00000027381
microtus_ochrogaster ENSMOCG00000004934
cricetulus_griseus_crigri-picr ENSCGRG00015014990
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011781
mesocricetus_auratus ENSMAUG00000010130
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051319
mus_spicilegus ENSMSIG00000018631
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024266
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025186
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025711
nannospalax_galili ENSNGAG00000016463
jaculus_jaculus ENSJJAG00000005993
dipodomys_ordii ENSDORG00000028459
sus_scrofa ENSSSCG00000036582
prolemur_simus ENSPSMG00000017200
otolemur_garnettii ENSOGAG00000031118
dasypus_novemcinctus ENSDNOG00000011621
pogona_vitticeps ENSPVIG00000013318
anolis_carolinensis ENSACAG00000013106
sphenodon_punctatus ENSSPUG00000011169
gopherus_agassizii ENSGAGG00000007430
chelonoidis_abingdonii ENSCABG00000020482
chrysemys_picta_bellii ENSCPBG00000023558
scleropages_formosus ENSSFOG00015006835
paramormyrops_kingsleyae ENSPKIG00000022046
amphiprion_ocellaris ENSAOCG00000002534
amphiprion_percula ENSAPEG00000008017
acanthochromis_polyacanthus ENSAPOG00000000648
stegastes_partitus ENSSPAG00000023545
ictalurus_punctatus ENSIPUG00000018471
pygocentrus_nattereri ENSPNAG00000011607
astyanax_mexicanus ENSAMXG00000026096
seriola_dumerili ENSSDUG00000012621
mola_mola ENSMMOG00000015413
astatotilapia_calliptera ENSACLG00000009786
maylandia_zebra ENSMZEG00005015349
pundamilia_nyererei ENSPNYG00000013665
haplochromis_burtoni ENSHBUG00000013695
neolamprologus_brichardi ENSNBRG00000020560
oreochromis_niloticus ENSONIG00000020743
gasterosteus_aculeatus ENSGACG00000011129
scophthalmus_maximus ENSSMAG00000010354
gadus_morhua ENSGMOG00000019937
seriola_lalandi_dorsalis ENSSLDG00000005385
cynoglossus_semilaevis ENSCSEG00000002691
anabas_testudineus ENSATEG00000004228
hippocampus_comes ENSHCOG00000011608
periophthalmus_magnuspinnatus ENSPMGG00000017557
labrus_bergylta ENSLBEG00000009194
takifugu_rubripes ENSTRUG00000020809
amphilophus_citrinellus ENSACIG00000017329
xiphophorus_maculatus ENSXMAG00000019548
xiphophorus_couchianus ENSXCOG00000007050
poecilia_latipinna ENSPLAG00000020732
poecilia_formosa ENSPFOG00000020509
poecilia_reticulata ENSPREG00000011523
cyprinodon_variegatus ENSCVAG00000020492
cyprinodon_variegatus ENSCVAG00000020488
fundulus_heteroclitus ENSFHEG00000008142
oryzias_melastigma ENSOMEG00000000654
oryzias_latipes_asm223471v1 ENSORLG00020003409
mastacembelus_armatus ENSMAMG00000016173
esox_lucius ENSELUG00000015188
