bos_taurus ENSBTAG00000049062
bos_mutus ENSBMUG00000004592
capra_hircus ENSCHIG00000017938
sus_scrofa ENSSSCG00000039739
equus_asinus_asinus ENSEASG00005010525
marmota_marmota_marmota ENSMMMG00000004537
spermophilus_dauricus ENSSDAG00000011988
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010886
cricetulus_griseus_crigri-picr ENSCGRG00015006798
peromyscus_maniculatus_bairdii ENSPEMG00000019211
meriones_unguiculatus ENSMUGG00000009123
mus_spicilegus ENSMSIG00000020450
lonchura_striata_domestica ENSLSDG00000013224
serinus_canaria ENSSCAG00000004768
parus_major ENSPMJG00000014210
cyanistes_caeruleus ENSCCEG00000016491
junco_hyemalis ENSJHYG00000014797
zonotrichia_albicollis ENSZALG00000012723
