melopsittacus_undulatus ENSMUNG00000008975
calidris_pugnax ENSCPUG00000015866
labrus_bergylta ENSLBEG00000015688
poecilia_mexicana ENSPMEG00000022216
zonotrichia_albicollis ENSZALG00000010086
eptatretus_burgeri ENSEBUG00000013377
erinaceus_europaeus ENSEEUG00000012023
sorex_araneus ENSSARG00000010383
ursus_americanus ENSUAMG00000013812
pan_troglodytes ENSPTRG00000014221
pan_paniscus ENSPPAG00000033387
homo_sapiens ENSG00000100280
gorilla_gorilla ENSGGOG00000006479
pongo_abelii ENSPPYG00000011687
nomascus_leucogenys ENSNLEG00000002870
papio_anubis ENSPANG00000011720
cercocebus_atys ENSCATG00000042139
mandrillus_leucophaeus ENSMLEG00000027196
theropithecus_gelada ENSTGEG00000025369
macaca_mulatta ENSMMUG00000021380
macaca_fascicularis ENSMFAG00000039960
macaca_nemestrina ENSMNEG00000032370
chlorocebus_sabaeus ENSCSAG00000009758
rhinopithecus_roxellana ENSRROG00000029903
rhinopithecus_bieti ENSRBIG00000037339
colobus_angolensis_palliatus ENSCANG00000039339
piliocolobus_tephrosceles ENSPTEG00000024349
saimiri_boliviensis_boliviensis ENSSBOG00000022678
callithrix_jacchus ENSCJAG00000019957
aotus_nancymaae ENSANAG00000013731
cebus_capucinus_imitator ENSCCAG00000037926
carlito_syrichta ENSTSYG00000002060
propithecus_coquereli ENSPCOG00000012724
prolemur_simus ENSPSMG00000015668
microcebus_murinus ENSMICG00000004275
otolemur_garnettii ENSOGAG00000012490
dipodomys_ordii ENSDORG00000007787
castor_canadensis ENSCCNG00000015412
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016886
mus_spicilegus ENSMSIG00000017256
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000009090
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016044
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016847
rattus_norvegicus ENSRNOG00000008786
meriones_unguiculatus ENSMUGG00000023631
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020517
cricetulus_griseus_crigri_1.0 ENSCGRG00000009376
cricetulus_griseus_crigri-picr ENSCGRG00015002595
mesocricetus_auratus ENSMAUG00000013837
peromyscus_maniculatus_bairdii ENSPEMG00000015271
microtus_ochrogaster ENSMOCG00000020166
nannospalax_galili ENSNGAG00000018340
jaculus_jaculus ENSJJAG00000003623
chinchilla_lanigera ENSCLAG00000012410
octodon_degus ENSODEG00000017338
cavia_porcellus ENSCPOG00000005293
cavia_aperea ENSCAPG00000017892
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017960
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016206
fukomys_damarensis ENSFDAG00000006486
spermophilus_dauricus ENSSDAG00000024914
marmota_marmota_marmota ENSMMMG00000017348
urocitellus_parryii ENSUPAG00010002634
ictidomys_tridecemlineatus ENSSTOG00000001533
tupaia_belangeri ENSTBEG00000004471
ochotona_princeps ENSOPRG00000008590
oryctolagus_cuniculus ENSOCUG00000009490
ursus_maritimus ENSUMAG00000016050
ailuropoda_melanoleuca ENSAMEG00000008223
neovison_vison ENSNVIG00000003482
mustela_putorius_furo ENSMPUG00000013404
canis_lupus_familiaris ENSCAFG00000012067
canis_lupus_dingo ENSCAFG00020000520
vulpes_vulpes ENSVVUG00000025768
panthera_pardus ENSPPRG00000004301
panthera_tigris_altaica ENSPTIG00000003702
felis_catus ENSFCAG00000004245
ursus_americanus ENSUAMG00000012238
equus_asinus_asinus ENSEASG00005010070
equus_caballus ENSECAG00000019246
myotis_lucifugus ENSMLUG00000012099
pteropus_vampyrus ENSPVAG00000009825
capra_hircus ENSCHIG00000021166
ovis_aries ENSOARG00000004068
bos_mutus ENSBMUG00000025187
bos_taurus ENSBTAG00000001189
bison_bison_bison ENSBBBG00000000065
tursiops_truncatus ENSTTRG00000011891
sus_scrofa ENSSSCG00000009978
loxodonta_africana ENSLAFG00000010306
procavia_capensis ENSPCAG00000011181
echinops_telfairi ENSETEG00000003861
dasypus_novemcinctus ENSDNOG00000018712
phascolarctos_cinereus ENSPCIG00000003266
notamacropus_eugenii ENSMEUG00000008438
monodelphis_domestica ENSMODG00000008861
sarcophilus_harrisii ENSSHAG00000002061
ornithorhynchus_anatinus ENSOANG00000005903
pogona_vitticeps ENSPVIG00000021021
pogona_vitticeps ENSPVIG00000021023
notechis_scutatus ENSNSUG00000010965
salvator_merianae ENSSMRG00000018100
anolis_carolinensis ENSACAG00000009127
calidris_pygmaea ENSCPGG00000004340
calidris_pugnax ENSCPUG00000001627
meleagris_gallopavo ENSMGAG00000009893
gallus_gallus ENSGALG00000042213
