lonchura_striata_domestica ENSLSDG00000006461
ficedula_albicollis ENSFALG00000013728
parus_major ENSPMJG00000019946
gallus_gallus ENSGALG00000054624
nothoprocta_perdicaria ENSNPEG00000000653
chelonoidis_abingdonii ENSCABG00000013727
notechis_scutatus ENSNSUG00000007862
microtus_ochrogaster ENSMOCG00000021535
meriones_unguiculatus ENSMUGG00000003819
castor_canadensis ENSCCNG00000021480
carlito_syrichta ENSTSYG00000002816
xenopus_tropicalis ENSXETG00000000479
scleropages_formosus ENSSFOG00015014001
seriola_lalandi_dorsalis ENSSLDG00000004638
