poecilia_reticulata ENSPREG00000009476
poecilia_latipinna ENSPLAG00000007948
poecilia_mexicana ENSPMEG00000015645
xiphophorus_couchianus ENSXCOG00000015663
xiphophorus_maculatus ENSXMAG00000027264
gambusia_affinis ENSGAFG00000011298
cyprinodon_variegatus ENSCVAG00000003816
fundulus_heteroclitus ENSFHEG00000003394
kryptolebias_marmoratus ENSKMAG00000003165
maylandia_zebra ENSMZEG00005010372
haplochromis_burtoni ENSHBUG00000010977
astatotilapia_calliptera ENSACLG00000011380
pundamilia_nyererei ENSPNYG00000017986
amphilophus_citrinellus ENSACIG00000002271
seriola_lalandi_dorsalis ENSSLDG00000011663
anabas_testudineus ENSATEG00000022326
amphiprion_ocellaris ENSAOCG00000017922
amphiprion_percula ENSAPEG00000011755
acanthochromis_polyacanthus ENSAPOG00000010689
stegastes_partitus ENSSPAG00000020608
labrus_bergylta ENSLBEG00000022209
gasterosteus_aculeatus ENSGACG00000011581
hippocampus_comes ENSHCOG00000017292
gadus_morhua ENSGMOG00000016568
