seriola_lalandi_dorsalis ENSSLDG00000011800
seriola_dumerili ENSSDUG00000006022
scophthalmus_maximus ENSSMAG00000012860
anabas_testudineus ENSATEG00000005841
amphiprion_percula ENSAPEG00000022792
amphiprion_ocellaris ENSAOCG00000023946
acanthochromis_polyacanthus ENSAPOG00000009490
stegastes_partitus ENSSPAG00000012272
mastacembelus_armatus ENSMAMG00000010449
cynoglossus_semilaevis ENSCSEG00000011831
mola_mola ENSMMOG00000017165
gasterosteus_aculeatus ENSGACG00000013179
labrus_bergylta ENSLBEG00000015997
fundulus_heteroclitus ENSFHEG00000013439
cyprinodon_variegatus ENSCVAG00000011677
poecilia_formosa ENSPFOG00000011054
oryzias_latipes_asm223471v1 ENSORLG00020012723
oryzias_latipes_asm223469v1 ENSORLG00015018644
oryzias_latipes_asm223467v1 ENSORLG00000030365
astatotilapia_calliptera ENSACLG00000009694
maylandia_zebra ENSMZEG00005016395
pundamilia_nyererei ENSPNYG00000013644
haplochromis_burtoni ENSHBUG00000008944
takifugu_rubripes ENSTRUG00000023003
gadus_morhua ENSGMOG00000007385
esox_lucius ENSELUG00000012326
astyanax_mexicanus ENSAMXG00000024623
pygocentrus_nattereri ENSPNAG00000028689
ictalurus_punctatus ENSIPUG00000006411
danio_rerio ENSDARG00000104269
scleropages_formosus ENSSFOG00015024168
paramormyrops_kingsleyae ENSPKIG00000009661
