acanthochromis_polyacanthus ENSAPOG00000008391
stegastes_partitus ENSSPAG00000013051
astatotilapia_calliptera ENSACLG00000022387
neolamprologus_brichardi ENSNBRG00000005413
periophthalmus_magnuspinnatus ENSPMGG00000008822
esox_lucius ENSELUG00000022444
scleropages_formosus ENSSFOG00015019755
paramormyrops_kingsleyae ENSPKIG00000012884
scleropages_formosus ENSSFOG00015008982
paramormyrops_kingsleyae ENSPKIG00000002990
papio_anubis ENSPANG00000030100
spermophilus_dauricus ENSSDAG00000007025
gopherus_agassizii ENSGAGG00000016556
pygocentrus_nattereri ENSPNAG00000025960
astyanax_mexicanus ENSAMXG00000021466
ictalurus_punctatus ENSIPUG00000001251
danio_rerio ENSDARG00000006878
ursus_americanus ENSUAMG00000026618
ornithorhynchus_anatinus ENSOANG00000030225
scophthalmus_maximus ENSSMAG00000019347
cynoglossus_semilaevis ENSCSEG00000021714
tetraodon_nigroviridis ENSTNIG00000013755
takifugu_rubripes ENSTRUG00000013593
gasterosteus_aculeatus ENSGACG00000007895
poecilia_latipinna ENSPLAG00000006500
poecilia_formosa ENSPFOG00000012323
poecilia_mexicana ENSPMEG00000003522
poecilia_reticulata ENSPREG00000020836
xiphophorus_maculatus ENSXMAG00000006871
xiphophorus_couchianus ENSXCOG00000015970
gambusia_affinis ENSGAFG00000002784
fundulus_heteroclitus ENSFHEG00000019123
cyprinodon_variegatus ENSCVAG00000016538
kryptolebias_marmoratus ENSKMAG00000021281
oryzias_latipes_asm223467v1 ENSORLG00000014276
oryzias_latipes_asm223469v1 ENSORLG00015005504
oryzias_latipes_asm223471v1 ENSORLG00020015116
oryzias_melastigma ENSOMEG00000016967
anabas_testudineus ENSATEG00000013406
mastacembelus_armatus ENSMAMG00000015525
labrus_bergylta ENSLBEG00000004736
astatotilapia_calliptera ENSACLG00000022400
pundamilia_nyererei ENSPNYG00000001089
maylandia_zebra ENSMZEG00005002519
haplochromis_burtoni ENSHBUG00000006727
oreochromis_niloticus ENSONIG00000018218
amphilophus_citrinellus ENSACIG00000018865
stegastes_partitus ENSSPAG00000003110
amphiprion_percula ENSAPEG00000001925
monopterus_albus ENSMALG00000013489
mola_mola ENSMMOG00000018334
seriola_lalandi_dorsalis ENSSLDG00000012481
seriola_dumerili ENSSDUG00000001173
gadus_morhua ENSGMOG00000009524
esox_lucius ENSELUG00000024504
pygocentrus_nattereri ENSPNAG00000005288
astyanax_mexicanus ENSAMXG00000017642
ictalurus_punctatus ENSIPUG00000009766
danio_rerio ENSDARG00000021378
lepisosteus_oculatus ENSLOCG00000005618
microcebus_murinus ENSMICG00000014259
prolemur_simus ENSPSMG00000012023
otolemur_garnettii ENSOGAG00000012563
pan_paniscus ENSPPAG00000040226
pan_troglodytes ENSPTRG00000003542
homo_sapiens ENSG00000135365
gorilla_gorilla ENSGGOG00000002304
pongo_abelii ENSPPYG00000003325
nomascus_leucogenys ENSNLEG00000013978
theropithecus_gelada ENSTGEG00000027360
papio_anubis ENSPANG00000016889
mandrillus_leucophaeus ENSMLEG00000024105
cercocebus_atys ENSCATG00000034627
macaca_fascicularis ENSMFAG00000043688
macaca_mulatta ENSMMUG00000002617
macaca_nemestrina ENSMNEG00000041377
chlorocebus_sabaeus ENSCSAG00000005653
rhinopithecus_bieti ENSRBIG00000033320
rhinopithecus_roxellana ENSRROG00000034376
colobus_angolensis_palliatus ENSCANG00000041838
piliocolobus_tephrosceles ENSPTEG00000030517
cebus_capucinus_imitator ENSCCAG00000031643
saimiri_boliviensis_boliviensis ENSSBOG00000026213
callithrix_jacchus ENSCJAG00000011670
aotus_nancymaae ENSANAG00000033662
sorex_araneus ENSSARG00000006984
dipodomys_ordii ENSDORG00000015508
carlito_syrichta ENSTSYG00000013029
propithecus_coquereli ENSPCOG00000005609
octodon_degus ENSODEG00000017531
ovis_aries ENSOARG00000003032
capra_hircus ENSCHIG00000023760
bos_taurus ENSBTAG00000009611
bos_mutus ENSBMUG00000014198
bison_bison_bison ENSBBBG00000003187
tursiops_truncatus ENSTTRG00000001045
vicugna_pacos ENSVPAG00000007041
ailuropoda_melanoleuca ENSAMEG00000000598
ursus_americanus ENSUAMG00000013681
panthera_tigris_altaica ENSPTIG00000012098
pteropus_vampyrus ENSPVAG00000003534
erinaceus_europaeus ENSEEUG00000009926
mustela_putorius_furo ENSMPUG00000005646
neovison_vison ENSNVIG00000012951
ursus_maritimus ENSUMAG00000015340
canis_lupus_familiaris ENSCAFG00000009313
canis_lupus_dingo ENSCAFG00020018990
vulpes_vulpes ENSVVUG00000026999
felis_catus ENSFCAG00000027311
panthera_pardus ENSPPRG00000007738
sus_scrofa ENSSSCG00000023974
sorex_araneus ENSSARG00000013204
myotis_lucifugus ENSMLUG00000014773
loxodonta_africana ENSLAFG00000003576
choloepus_hoffmanni ENSCHOG00000009221
cavia_aperea ENSCAPG00000006999
cavia_porcellus ENSCPOG00000001299
chinchilla_lanigera ENSCLAG00000016632
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018589
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009435
fukomys_damarensis ENSFDAG00000006030
castor_canadensis ENSCCNG00000006353
urocitellus_parryii ENSUPAG00010009105
ictidomys_tridecemlineatus ENSSTOG00000011552
marmota_marmota_marmota ENSMMMG00000012404
peromyscus_maniculatus_bairdii ENSPEMG00000004446
microtus_ochrogaster ENSMOCG00000018126
cricetulus_griseus_crigri-picr ENSCGRG00015013321
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007974
cricetulus_griseus_crigri_1.0 ENSCGRG00000007919
mesocricetus_auratus ENSMAUG00000011351
mus_spicilegus ENSMSIG00000018990
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024885
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058318
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023975
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025412
rattus_norvegicus ENSRNOG00000006063
meriones_unguiculatus ENSMUGG00000000106
nannospalax_galili ENSNGAG00000014772
jaculus_jaculus ENSJJAG00000016994
procavia_capensis ENSPCAG00000016138
dasypus_novemcinctus ENSDNOG00000001209
equus_asinus_asinus ENSEASG00005014943
equus_caballus ENSECAG00000017082
echinops_telfairi ENSETEG00000014616
oryctolagus_cuniculus ENSOCUG00000001675
ochotona_princeps ENSOPRG00000009898
tupaia_belangeri ENSTBEG00000015434
phascolarctos_cinereus ENSPCIG00000020119
notamacropus_eugenii ENSMEUG00000014686
monodelphis_domestica ENSMODG00000019887
sarcophilus_harrisii ENSSHAG00000014057
ornithorhynchus_anatinus ENSOANG00000005355
calidris_pygmaea ENSCPGG00000016576
calidris_pugnax ENSCPUG00000013680
melopsittacus_undulatus ENSMUNG00000015381
lepidothrix_coronata ENSLCOG00000012047
manacus_vitellinus ENSMVIG00005009580
junco_hyemalis ENSJHYG00000008107
zonotrichia_albicollis ENSZALG00000008361
serinus_canaria ENSSCAG00000002624
taeniopygia_guttata ENSTGUG00000010680
lonchura_striata_domestica ENSLSDG00000016924
ficedula_albicollis ENSFALG00000006238
parus_major ENSPMJG00000014377
cyanistes_caeruleus ENSCCEG00000002824
gallus_gallus ENSGALG00000008403
coturnix_japonica ENSCJPG00005013893
meleagris_gallopavo ENSMGAG00000011052
numida_meleagris ENSNMEG00000019313
anser_brachyrhynchus ENSABRG00000015666
anas_platyrhynchos_platyrhynchos ENSAPLG00000002448
apteryx_haastii ENSAHAG00000006596
apteryx_owenii ENSAOWG00000012726
apteryx_rowi ENSARWG00000010264
dromaius_novaehollandiae ENSDNVG00000010778
nothoprocta_perdicaria ENSNPEG00000015315
crocodylus_porosus ENSCPRG00005011871
chelonoidis_abingdonii ENSCABG00000013619
gopherus_agassizii ENSGAGG00000014207
chrysemys_picta_bellii ENSCPBG00000012630
pelodiscus_sinensis ENSPSIG00000013428
pogona_vitticeps ENSPVIG00000013661
