esox_lucius ENSELUG00000003405
danio_rerio ENSDARG00000095464
lepisosteus_oculatus ENSLOCG00000003799
poecilia_mexicana ENSPMEG00000017309
poecilia_formosa ENSPFOG00000011623
poecilia_latipinna ENSPLAG00000018203
poecilia_reticulata ENSPREG00000016195
xiphophorus_maculatus ENSXMAG00000008063
cyprinodon_variegatus ENSCVAG00000001469
fundulus_heteroclitus ENSFHEG00000007988
kryptolebias_marmoratus ENSKMAG00000005824
oryzias_latipes_asm223471v1 ENSORLG00020015223
oryzias_latipes_asm223467v1 ENSORLG00000020134
oryzias_latipes_asm223469v1 ENSORLG00015006217
oryzias_melastigma ENSOMEG00000003566
amphiprion_percula ENSAPEG00000023735
amphiprion_ocellaris ENSAOCG00000005447
stegastes_partitus ENSSPAG00000022824
periophthalmus_magnuspinnatus ENSPMGG00000015275
takifugu_rubripes ENSTRUG00000013937
tetraodon_nigroviridis ENSTNIG00000004422
seriola_lalandi_dorsalis ENSSLDG00000005657
seriola_dumerili ENSSDUG00000019019
scophthalmus_maximus ENSSMAG00000017023
anabas_testudineus ENSATEG00000015825
mastacembelus_armatus ENSMAMG00000019473
labrus_bergylta ENSLBEG00000008885
mola_mola ENSMMOG00000021010
maylandia_zebra ENSMZEG00005020908
astatotilapia_calliptera ENSACLG00000009199
pundamilia_nyererei ENSPNYG00000014056
haplochromis_burtoni ENSHBUG00000019731
oreochromis_niloticus ENSONIG00000000745
neolamprologus_brichardi ENSNBRG00000024327
amphilophus_citrinellus ENSACIG00000002349
monopterus_albus ENSMALG00000002255
acanthochromis_polyacanthus ENSAPOG00000012381
haplochromis_burtoni ENSHBUG00000015494
gambusia_affinis ENSGAFG00000010113
xiphophorus_couchianus ENSXCOG00000011694
gadus_morhua ENSGMOG00000016457
ictalurus_punctatus ENSIPUG00000015625
pygocentrus_nattereri ENSPNAG00000013488
paramormyrops_kingsleyae ENSPKIG00000012330
scleropages_formosus ENSSFOG00015017871
astyanax_mexicanus ENSAMXG00000003784
latimeria_chalumnae ENSLACG00000011301
