xiphophorus_couchianus ENSXCOG00000004589
xiphophorus_maculatus ENSXMAG00000007484
poecilia_formosa ENSPFOG00000001832
poecilia_mexicana ENSPMEG00000014158
poecilia_latipinna ENSPLAG00000015808
poecilia_reticulata ENSPREG00000001478
gambusia_affinis ENSGAFG00000010612
fundulus_heteroclitus ENSFHEG00000001092
cyprinodon_variegatus ENSCVAG00000021137
kryptolebias_marmoratus ENSKMAG00000011416
oryzias_latipes_asm223471v1 ENSORLG00020012120
oryzias_latipes_asm223469v1 ENSORLG00015006936
oryzias_latipes_asm223467v1 ENSORLG00000027184
oryzias_melastigma ENSOMEG00000007972
gasterosteus_aculeatus ENSGACG00000011356
labrus_bergylta ENSLBEG00000021067
scophthalmus_maximus ENSSMAG00000014014
maylandia_zebra ENSMZEG00005017010
astatotilapia_calliptera ENSACLG00000015868
haplochromis_burtoni ENSHBUG00000010152
pundamilia_nyererei ENSPNYG00000009881
neolamprologus_brichardi ENSNBRG00000017317
oreochromis_niloticus ENSONIG00000013472
amphilophus_citrinellus ENSACIG00000005815
amphiprion_percula ENSAPEG00000005015
amphiprion_ocellaris ENSAOCG00000019559
acanthochromis_polyacanthus ENSAPOG00000006164
stegastes_partitus ENSSPAG00000007493
anabas_testudineus ENSATEG00000010691
monopterus_albus ENSMALG00000003905
cynoglossus_semilaevis ENSCSEG00000020695
mola_mola ENSMMOG00000015981
mastacembelus_armatus ENSMAMG00000020703
seriola_dumerili ENSSDUG00000016817
seriola_lalandi_dorsalis ENSSLDG00000006122
hippocampus_comes ENSHCOG00000011772
periophthalmus_magnuspinnatus ENSPMGG00000008946
gadus_morhua ENSGMOG00000013723
pygocentrus_nattereri ENSPNAG00000021771
astyanax_mexicanus ENSAMXG00000034618
ictalurus_punctatus ENSIPUG00000022989
danio_rerio ENSDARG00000042630
scleropages_formosus ENSSFOG00015019865
lepisosteus_oculatus ENSLOCG00000015783
pogona_vitticeps ENSPVIG00000012916
anolis_carolinensis ENSACAG00000016816
notechis_scutatus ENSNSUG00000009901
salvator_merianae ENSSMRG00000001199
sphenodon_punctatus ENSSPUG00000013606
gopherus_agassizii ENSGAGG00000014279
