neolamprologus_brichardi ENSNBRG00000002789
pundamilia_nyererei ENSPNYG00000007175
amphilophus_citrinellus ENSACIG00000015951
poecilia_formosa ENSPFOG00000010546
pygocentrus_nattereri ENSPNAG00000008964
scleropages_formosus ENSSFOG00015003296
anolis_carolinensis ENSACAG00000027417
notechis_scutatus ENSNSUG00000000772
salvator_merianae ENSSMRG00000000758
pogona_vitticeps ENSPVIG00000020440
chrysemys_picta_bellii ENSCPBG00000018360
chelonoidis_abingdonii ENSCABG00000019747
pelodiscus_sinensis ENSPSIG00000011445
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051777
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025056
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025998
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026499
rattus_norvegicus ENSRNOG00000060482
nannospalax_galili ENSNGAG00000023171
jaculus_jaculus ENSJJAG00000011023
dipodomys_ordii ENSDORG00000028467
octodon_degus ENSODEG00000003870
fukomys_damarensis ENSFDAG00000013288
cavia_aperea ENSCAPG00000004853
oryctolagus_cuniculus ENSOCUG00000022809
microcebus_murinus ENSMICG00000049562
prolemur_simus ENSPSMG00000018665
carlito_syrichta ENSTSYG00000009446
saimiri_boliviensis_boliviensis ENSSBOG00000013244
cebus_capucinus_imitator ENSCCAG00000030767
callithrix_jacchus ENSCJAG00000000412
piliocolobus_tephrosceles ENSPTEG00000019393
colobus_angolensis_palliatus ENSCANG00000033644
rhinopithecus_bieti ENSRBIG00000039280
rhinopithecus_roxellana ENSRROG00000029145
cercocebus_atys ENSCATG00000036638
mandrillus_leucophaeus ENSMLEG00000003966
papio_anubis ENSPANG00000033072
theropithecus_gelada ENSTGEG00000002036
macaca_nemestrina ENSMNEG00000033302
macaca_fascicularis ENSMFAG00000045301
pan_paniscus ENSPPAG00000044100
pan_troglodytes ENSPTRG00000033877
homo_sapiens ENSG00000214216
gorilla_gorilla ENSGGOG00000003898
pongo_abelii ENSPPYG00000014249
nomascus_leucogenys ENSNLEG00000030545
propithecus_coquereli ENSPCOG00000015167
ochotona_princeps ENSOPRG00000018953
macaca_mulatta ENSMMUG00000042400
myotis_lucifugus ENSMLUG00000029191
pteropus_vampyrus ENSPVAG00000006080
ursus_maritimus ENSUMAG00000011226
ursus_americanus ENSUAMG00000003005
ailuropoda_melanoleuca ENSAMEG00000013634
vulpes_vulpes ENSVVUG00000022591
canis_lupus_familiaris ENSCAFG00000014187
mustela_putorius_furo ENSMPUG00000002883
neovison_vison ENSNVIG00000024052
panthera_pardus ENSPPRG00000007765
panthera_tigris_altaica ENSPTIG00000000535
felis_catus ENSFCAG00000018101
vicugna_pacos ENSVPAG00000008756
sus_scrofa ENSSSCG00000011728
tursiops_truncatus ENSTTRG00000009272
capra_hircus ENSCHIG00000021729
ovis_aries ENSOARG00000002257
bos_mutus ENSBMUG00000004361
bos_taurus ENSBTAG00000003135
bison_bison_bison ENSBBBG00000006892
equus_asinus_asinus ENSEASG00005019582
equus_caballus ENSECAG00000032947
dasypus_novemcinctus ENSDNOG00000039562
loxodonta_africana ENSLAFG00000020769
notamacropus_eugenii ENSMEUG00000013905
phascolarctos_cinereus ENSPCIG00000033482
monodelphis_domestica ENSMODG00000028704
sarcophilus_harrisii ENSSHAG00000008580
ornithorhynchus_anatinus ENSOANG00000021066
meleagris_gallopavo ENSMGAG00000010607
gallus_gallus ENSGALG00000044085
coturnix_japonica ENSCJPG00005018096
serinus_canaria ENSSCAG00000009635
taeniopygia_guttata ENSTGUG00000011197
junco_hyemalis ENSJHYG00000003932
ficedula_albicollis ENSFALG00000007666
lepidothrix_coronata ENSLCOG00000004801
manacus_vitellinus ENSMVIG00005017025
calidris_pugnax ENSCPUG00000016500
calidris_pygmaea ENSCPGG00000002840
melopsittacus_undulatus ENSMUNG00000016491
dromaius_novaehollandiae ENSDNVG00000003245
nothoprocta_perdicaria ENSNPEG00000001810
latimeria_chalumnae ENSLACG00000013503
