ursus_maritimus ENSUMAG00000016280
ursus_americanus ENSUAMG00000018187
ailuropoda_melanoleuca ENSAMEG00000003880
mustela_putorius_furo ENSMPUG00000006421
neovison_vison ENSNVIG00000010271
canis_lupus_dingo ENSCAFG00020006225
canis_lupus_familiaris ENSCAFG00000013495
vulpes_vulpes ENSVVUG00000005163
panthera_tigris_altaica ENSPTIG00000013596
panthera_pardus ENSPPRG00000014627
felis_catus ENSFCAG00000001430
pteropus_vampyrus ENSPVAG00000006603
myotis_lucifugus ENSMLUG00000007212
equus_caballus ENSECAG00000011965
equus_asinus_asinus ENSEASG00005014803
erinaceus_europaeus ENSEEUG00000006427
bos_mutus ENSBMUG00000021235
bos_taurus ENSBTAG00000004547
bison_bison_bison ENSBBBG00000008409
ovis_aries ENSOARG00000021012
capra_hircus ENSCHIG00000011562
tursiops_truncatus ENSTTRG00000009058
sus_scrofa ENSSSCG00000000647
vicugna_pacos ENSVPAG00000002096
loxodonta_africana ENSLAFG00000003557
procavia_capensis ENSPCAG00000000742
echinops_telfairi ENSETEG00000019182
choloepus_hoffmanni ENSCHOG00000006974
dasypus_novemcinctus ENSDNOG00000047907
mus_spicilegus ENSMSIG00000030110
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029976
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030162
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028932
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022695
rattus_norvegicus ENSRNOG00000056219
meriones_unguiculatus ENSMUGG00000014247
peromyscus_maniculatus_bairdii ENSPEMG00000006007
microtus_ochrogaster ENSMOCG00000001827
cricetulus_griseus_crigri-picr ENSCGRG00015025488
cricetulus_griseus_crigri_1.0 ENSCGRG00000008979
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023176
mesocricetus_auratus ENSMAUG00000012697
nannospalax_galili ENSNGAG00000013776
jaculus_jaculus ENSJJAG00000008025
dipodomys_ordii ENSDORG00000029658
castor_canadensis ENSCCNG00000030057
cavia_aperea ENSCAPG00000007897
cavia_porcellus ENSCPOG00000037623
chinchilla_lanigera ENSCLAG00000017281
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006572
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006008
fukomys_damarensis ENSFDAG00000007120
urocitellus_parryii ENSUPAG00010003999
spermophilus_dauricus ENSSDAG00000020781
ictidomys_tridecemlineatus ENSSTOG00000026794
marmota_marmota_marmota ENSMMMG00000021662
oryctolagus_cuniculus ENSOCUG00000016813
ochotona_princeps ENSOPRG00000015391
pan_paniscus ENSPPAG00000026910
pan_troglodytes ENSPTRG00000004668
homo_sapiens ENSG00000173391
gorilla_gorilla ENSGGOG00000013210
pongo_abelii ENSPPYG00000004267
nomascus_leucogenys ENSNLEG00000003197
colobus_angolensis_palliatus ENSCANG00000027837
piliocolobus_tephrosceles ENSPTEG00000007324
rhinopithecus_bieti ENSRBIG00000033360
rhinopithecus_roxellana ENSRROG00000028682
macaca_nemestrina ENSMNEG00000026543
macaca_fascicularis ENSMFAG00000044863
macaca_mulatta ENSMMUG00000002191
chlorocebus_sabaeus ENSCSAG00000009099
mandrillus_leucophaeus ENSMLEG00000034704
papio_anubis ENSPANG00000018732
theropithecus_gelada ENSTGEG00000003571
cercocebus_atys ENSCATG00000035829
cebus_capucinus_imitator ENSCCAG00000018841
saimiri_boliviensis_boliviensis ENSSBOG00000034392
callithrix_jacchus ENSCJAG00000021672
aotus_nancymaae ENSANAG00000021735
carlito_syrichta ENSTSYG00000005338
microcebus_murinus ENSMICG00000046343
prolemur_simus ENSPSMG00000004074
propithecus_coquereli ENSPCOG00000018100
otolemur_garnettii ENSOGAG00000000855
tupaia_belangeri ENSTBEG00000011390
sorex_araneus ENSSARG00000013051
ornithorhynchus_anatinus ENSOANG00000015214
