calidris_pygmaea ENSCPGG00000006488
ficedula_albicollis ENSFALG00000009074
apteryx_owenii ENSAOWG00000018352
apteryx_rowi ENSARWG00000018067
chelonoidis_abingdonii ENSCABG00000009106
salvator_merianae ENSSMRG00000007737
homo_sapiens ENSG00000185261
pongo_abelii ENSPPYG00000015633
carlito_syrichta ENSTSYG00000013907
mus_spicilegus ENSMSIG00000023170
rattus_norvegicus ENSRNOG00000013821
cavia_aperea ENSCAPG00000016466
tupaia_belangeri ENSTBEG00000006523
tursiops_truncatus ENSTTRG00000006646
vicugna_pacos ENSVPAG00000005951
ursus_maritimus ENSUMAG00000005537
ursus_maritimus ENSUMAG00000005531
ursus_americanus ENSUAMG00000019978
canis_lupus_dingo ENSCAFG00020006393
pteropus_vampyrus ENSPVAG00000017849
equus_asinus_asinus ENSEASG00005019496
sorex_araneus ENSSARG00000012694
choloepus_hoffmanni ENSCHOG00000003630
echinops_telfairi ENSETEG00000003882
procavia_capensis ENSPCAG00000005866
notamacropus_eugenii ENSMEUG00000005621
oryzias_latipes_asm223467v1 ENSORLG00000010225
oryzias_latipes_asm223469v1 ENSORLG00015022804
oryzias_latipes_asm223471v1 ENSORLG00020008717
oryzias_melastigma ENSOMEG00000007141
poecilia_formosa ENSPFOG00000004695
poecilia_reticulata ENSPREG00000014200
amphiprion_percula ENSAPEG00000017443
amphiprion_ocellaris ENSAOCG00000003463
mastacembelus_armatus ENSMAMG00000011355
