manacus_vitellinus ENSMVIG00005013225
lepidothrix_coronata ENSLCOG00000013407
parus_major ENSPMJG00000003039
cyanistes_caeruleus ENSCCEG00000013052
zonotrichia_albicollis ENSZALG00000012371
taeniopygia_guttata ENSTGUG00000002180
serinus_canaria ENSSCAG00000000453
lonchura_striata_domestica ENSLSDG00000006551
junco_hyemalis ENSJHYG00000001196
ficedula_albicollis ENSFALG00000002326
melopsittacus_undulatus ENSMUNG00000006778
anser_brachyrhynchus ENSABRG00000016077
anas_platyrhynchos_platyrhynchos ENSAPLG00000002880
gallus_gallus ENSGALG00000008552
coturnix_japonica ENSCJPG00005004213
meleagris_gallopavo ENSMGAG00000007182
numida_meleagris ENSNMEG00000011013
calidris_pygmaea ENSCPGG00000001927
calidris_pugnax ENSCPUG00000002969
apteryx_owenii ENSAOWG00000002008
apteryx_haastii ENSAHAG00000006099
apteryx_rowi ENSARWG00000007700
dromaius_novaehollandiae ENSDNVG00000000835
nothoprocta_perdicaria ENSNPEG00000013988
crocodylus_porosus ENSCPRG00005011171
gopherus_agassizii ENSGAGG00000019025
chelonoidis_abingdonii ENSCABG00000003069
chrysemys_picta_bellii ENSCPBG00000018253
pelodiscus_sinensis ENSPSIG00000004777
anolis_carolinensis ENSACAG00000014565
pogona_vitticeps ENSPVIG00000013311
notechis_scutatus ENSNSUG00000016021
salvator_merianae ENSSMRG00000014951
sphenodon_punctatus ENSSPUG00000011027
notamacropus_eugenii ENSMEUG00000013249
phascolarctos_cinereus ENSPCIG00000036269
sarcophilus_harrisii ENSSHAG00000013289
monodelphis_domestica ENSMODG00000007227
loxodonta_africana ENSLAFG00000003054
echinops_telfairi ENSETEG00000009740
procavia_capensis ENSPCAG00000004886
ursus_americanus ENSUAMG00000020045
ursus_maritimus ENSUMAG00000012078
ailuropoda_melanoleuca ENSAMEG00000009729
neovison_vison ENSNVIG00000015816
mustela_putorius_furo ENSMPUG00000009269
canis_lupus_familiaris ENSCAFG00000007047
canis_lupus_dingo ENSCAFG00020019644
vulpes_vulpes ENSVVUG00000027425
panthera_tigris_altaica ENSPTIG00000011487
panthera_pardus ENSPPRG00000004748
felis_catus ENSFCAG00000009357
equus_caballus ENSECAG00000035803
equus_caballus ENSECAG00000036932
equus_asinus_asinus ENSEASG00005010389
equus_asinus_asinus ENSEASG00005005266
equus_caballus ENSECAG00000030941
equus_caballus ENSECAG00000040077
equus_asinus_asinus ENSEASG00005002446
equus_asinus_asinus ENSEASG00005005284
equus_caballus ENSECAG00000033844
equus_caballus ENSECAG00000034594
equus_asinus_asinus ENSEASG00005005282
equus_caballus ENSECAG00000036352
equus_asinus_asinus ENSEASG00005005288
equus_caballus ENSECAG00000015361
equus_asinus_asinus ENSEASG00005005281
bos_mutus ENSBMUG00000024808
bos_taurus ENSBTAG00000034586
bison_bison_bison ENSBBBG00000008268
capra_hircus ENSCHIG00000026684
ovis_aries ENSOARG00000014211
tursiops_truncatus ENSTTRG00000004956
sus_scrofa ENSSSCG00000008115
bos_mutus ENSBMUG00000024816
bos_taurus ENSBTAG00000034657
capra_hircus ENSCHIG00000020112
ovis_aries ENSOARG00000014205
sus_scrofa ENSSSCG00000040098
vicugna_pacos ENSVPAG00000003672
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014868
cricetulus_griseus_crigri-picr ENSCGRG00015015087
cricetulus_griseus_crigri_1.0 ENSCGRG00000006231
mesocricetus_auratus ENSMAUG00000010033
peromyscus_maniculatus_bairdii ENSPEMG00000009328
microtus_ochrogaster ENSMOCG00000015286
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025183
mus_spicilegus ENSMSIG00000018844
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027375
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024263
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025708
rattus_norvegicus ENSRNOG00000015445
meriones_unguiculatus ENSMUGG00000000417
meriones_unguiculatus ENSMUGG00000000743
nannospalax_galili ENSNGAG00000012666
jaculus_jaculus ENSJJAG00000024158
dipodomys_ordii ENSDORG00000005038
ictidomys_tridecemlineatus ENSSTOG00000009539
urocitellus_parryii ENSUPAG00010006749
marmota_marmota_marmota ENSMMMG00000001298
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013109
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016213
fukomys_damarensis ENSFDAG00000017070
octodon_degus ENSODEG00000006405
chinchilla_lanigera ENSCLAG00000005590
cavia_aperea ENSCAPG00000006392
cavia_porcellus ENSCPOG00000022128
ochotona_princeps ENSOPRG00000005075
