oryzias_melastigma ENSOMEG00000007592
periophthalmus_magnuspinnatus ENSPMGG00000002104
mola_mola ENSMMOG00000009973
mola_mola ENSMMOG00000009977
takifugu_rubripes ENSTRUG00000022903
takifugu_rubripes ENSTRUG00000003756
tetraodon_nigroviridis ENSTNIG00000003792
gasterosteus_aculeatus ENSGACG00000019485
gasterosteus_aculeatus ENSGACG00000019490
pundamilia_nyererei ENSPNYG00000010347
astatotilapia_calliptera ENSACLG00000022595
maylandia_zebra ENSMZEG00005022198
maylandia_zebra ENSMZEG00005000510
haplochromis_burtoni ENSHBUG00000015811
haplochromis_burtoni ENSHBUG00000015822
haplochromis_burtoni ENSHBUG00000000201
neolamprologus_brichardi ENSNBRG00000006036
neolamprologus_brichardi ENSNBRG00000006051
oreochromis_niloticus ENSONIG00000008027
maylandia_zebra ENSMZEG00005011646
maylandia_zebra ENSMZEG00005006986
astatotilapia_calliptera ENSACLG00000012342
haplochromis_burtoni ENSHBUG00000002702
neolamprologus_brichardi ENSNBRG00000009063
oreochromis_niloticus ENSONIG00000008074
fundulus_heteroclitus ENSFHEG00000015240
cyprinodon_variegatus ENSCVAG00000001810
fundulus_heteroclitus ENSFHEG00000010627
cyprinodon_variegatus ENSCVAG00000009556
xiphophorus_maculatus ENSXMAG00000029019
xiphophorus_couchianus ENSXCOG00000003028
xiphophorus_maculatus ENSXMAG00000028056
xiphophorus_couchianus ENSXCOG00000015190
gambusia_affinis ENSGAFG00000006142
poecilia_latipinna ENSPLAG00000013202
poecilia_mexicana ENSPMEG00000010037
poecilia_formosa ENSPFOG00000001698
poecilia_reticulata ENSPREG00000013659
periophthalmus_magnuspinnatus ENSPMGG00000005221
mastacembelus_armatus ENSMAMG00000006467
mastacembelus_armatus ENSMAMG00000023463
anabas_testudineus ENSATEG00000001968
labrus_bergylta ENSLBEG00000007138
labrus_bergylta ENSLBEG00000015302
labrus_bergylta ENSLBEG00000010188
labrus_bergylta ENSLBEG00000008832
labrus_bergylta ENSLBEG00000026801
labrus_bergylta ENSLBEG00000026895
labrus_bergylta ENSLBEG00000007487
pygocentrus_nattereri ENSPNAG00000003530
pygocentrus_nattereri ENSPNAG00000018515
astyanax_mexicanus ENSAMXG00000034518
ictalurus_punctatus ENSIPUG00000024591
danio_rerio ENSDARG00000057714
paramormyrops_kingsleyae ENSPKIG00000019589
scleropages_formosus ENSSFOG00015018402
lepisosteus_oculatus ENSLOCG00000005814
salvator_merianae ENSSMRG00000004850
salvator_merianae ENSSMRG00000004859
pogona_vitticeps ENSPVIG00000002436
pogona_vitticeps ENSPVIG00000002346
anolis_carolinensis ENSACAG00000001803
sphenodon_punctatus ENSSPUG00000008377
xenopus_tropicalis ENSXETG00000014817
phascolarctos_cinereus ENSPCIG00000006395
notamacropus_eugenii ENSMEUG00000001696
sarcophilus_harrisii ENSSHAG00000001939
monodelphis_domestica ENSMODG00000011766
pan_troglodytes ENSPTRG00000017784
pan_paniscus ENSPPAG00000035155
gorilla_gorilla ENSGGOG00000004562
pongo_abelii ENSPPYG00000016287
nomascus_leucogenys ENSNLEG00000002686
rhinopithecus_roxellana ENSRROG00000041462
rhinopithecus_bieti ENSRBIG00000041924
colobus_angolensis_palliatus ENSCANG00000038153
piliocolobus_tephrosceles ENSPTEG00000002708
macaca_nemestrina ENSMNEG00000042748
macaca_fascicularis ENSMFAG00000035592
macaca_mulatta ENSMMUG00000005964
theropithecus_gelada ENSTGEG00000020802
mandrillus_leucophaeus ENSMLEG00000043455
cercocebus_atys ENSCATG00000042872
papio_anubis ENSPANG00000011719
chlorocebus_sabaeus ENSCSAG00000007837
carlito_syrichta ENSTSYG00000011336
microcebus_murinus ENSMICG00000032782
propithecus_coquereli ENSPCOG00000028614
prolemur_simus ENSPSMG00000010923
otolemur_garnettii ENSOGAG00000001719
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016756
mus_spicilegus ENSMSIG00000028062
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019215
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018349
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019412
rattus_norvegicus ENSRNOG00000003094
meriones_unguiculatus ENSMUGG00000003281
peromyscus_maniculatus_bairdii ENSPEMG00000016934
microtus_ochrogaster ENSMOCG00000014889
cricetulus_griseus_crigri_1.0 ENSCGRG00000016460
cricetulus_griseus_crigri-picr ENSCGRG00015006407
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015567
mesocricetus_auratus ENSMAUG00000016798
