cynoglossus_semilaevis ENSCSEG00000007970
periophthalmus_magnuspinnatus ENSPMGG00000010920
fundulus_heteroclitus ENSFHEG00000008641
stegastes_partitus ENSSPAG00000003977
labrus_bergylta ENSLBEG00000015404
labrus_bergylta ENSLBEG00000015263
mola_mola ENSMMOG00000006555
poecilia_mexicana ENSPMEG00000016444
poecilia_mexicana ENSPMEG00000016434
poecilia_reticulata ENSPREG00000009986
amphilophus_citrinellus ENSACIG00000000238
labrus_bergylta ENSLBEG00000022413
pygocentrus_nattereri ENSPNAG00000011342
