rhinopithecus_roxellana ENSRROG00000029370
rhinopithecus_bieti ENSRBIG00000028078
piliocolobus_tephrosceles ENSPTEG00000021355
colobus_angolensis_palliatus ENSCANG00000028504
mandrillus_leucophaeus ENSMLEG00000038444
cercocebus_atys ENSCATG00000021759
pan_paniscus ENSPPAG00000041131
pan_troglodytes ENSPTRG00000043727
gorilla_gorilla ENSGGOG00000036175
nomascus_leucogenys ENSNLEG00000035629
chlorocebus_sabaeus ENSCSAG00000005289
cebus_capucinus_imitator ENSCCAG00000035759
saimiri_boliviensis_boliviensis ENSSBOG00000030191
aotus_nancymaae ENSANAG00000037324
