labrus_bergylta ENSLBEG00000018197
tetraodon_nigroviridis ENSTNIG00000001515
seriola_dumerili ENSSDUG00000007187
seriola_dumerili ENSSDUG00000009337
seriola_lalandi_dorsalis ENSSLDG00000001881
acanthochromis_polyacanthus ENSAPOG00000021160
acanthochromis_polyacanthus ENSAPOG00000020507
neolamprologus_brichardi ENSNBRG00000009269
maylandia_zebra ENSMZEG00005019912
astatotilapia_calliptera ENSACLG00000013875
haplochromis_burtoni ENSHBUG00000009800
oryzias_melastigma ENSOMEG00000013938
oryzias_melastigma ENSOMEG00000009420
fundulus_heteroclitus ENSFHEG00000022249
xiphophorus_couchianus ENSXCOG00000015591
xiphophorus_maculatus ENSXMAG00000028841
pan_troglodytes ENSPTRG00000015190
pan_paniscus ENSPPAG00000033534
gorilla_gorilla ENSGGOG00000007491
homo_sapiens ENSG00000114455
pongo_abelii ENSPPYG00000013575
nomascus_leucogenys ENSNLEG00000003742
cercocebus_atys ENSCATG00000031841
mandrillus_leucophaeus ENSMLEG00000026761
macaca_mulatta ENSMMUG00000019978
macaca_fascicularis ENSMFAG00000035665
macaca_nemestrina ENSMNEG00000034481
papio_anubis ENSPANG00000016518
theropithecus_gelada ENSTGEG00000000792
chlorocebus_sabaeus ENSCSAG00000006326
piliocolobus_tephrosceles ENSPTEG00000025652
piliocolobus_tephrosceles ENSPTEG00000026617
colobus_angolensis_palliatus ENSCANG00000041516
rhinopithecus_roxellana ENSRROG00000033900
rhinopithecus_bieti ENSRBIG00000039047
cebus_capucinus_imitator ENSCCAG00000036985
saimiri_boliviensis_boliviensis ENSSBOG00000029829
aotus_nancymaae ENSANAG00000036386
carlito_syrichta ENSTSYG00000010449
prolemur_simus ENSPSMG00000005283
microcebus_murinus ENSMICG00000048964
propithecus_coquereli ENSPCOG00000013306
otolemur_garnettii ENSOGAG00000002564
tupaia_belangeri ENSTBEG00000002869
peromyscus_maniculatus_bairdii ENSPEMG00000028363
meriones_unguiculatus ENSMUGG00000027040
castor_canadensis ENSCCNG00000014356
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014112
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001545
chinchilla_lanigera ENSCLAG00000016514
equus_caballus ENSECAG00000010811
erinaceus_europaeus ENSEEUG00000004071
ursus_americanus ENSUAMG00000026207
ursus_maritimus ENSUMAG00000005271
ailuropoda_melanoleuca ENSAMEG00000001422
neovison_vison ENSNVIG00000015794
mustela_putorius_furo ENSMPUG00000009979
capra_hircus ENSCHIG00000008374
ovis_aries ENSOARG00000018906
bos_taurus ENSBTAG00000018397
bos_mutus ENSBMUG00000020543
tursiops_truncatus ENSTTRG00000012150
sus_scrofa ENSSSCG00000027275
vicugna_pacos ENSVPAG00000003537
pteropus_vampyrus ENSPVAG00000010851
loxodonta_africana ENSLAFG00000016327
echinops_telfairi ENSETEG00000001549
dasypus_novemcinctus ENSDNOG00000047966
choloepus_hoffmanni ENSCHOG00000007270
sorex_araneus ENSSARG00000011957
phascolarctos_cinereus ENSPCIG00000011836
sarcophilus_harrisii ENSSHAG00000014283
monodelphis_domestica ENSMODG00000029273
ornithorhynchus_anatinus ENSOANG00000008831
gallus_gallus ENSGALG00000022871
coturnix_japonica ENSCJPG00005017643
meleagris_gallopavo ENSMGAG00000014387
numida_meleagris ENSNMEG00000002491
anser_brachyrhynchus ENSABRG00000007332
zonotrichia_albicollis ENSZALG00000016454
junco_hyemalis ENSJHYG00000011548
serinus_canaria ENSSCAG00000016849
lonchura_striata_domestica ENSLSDG00000014075
taeniopygia_guttata ENSTGUG00000013608
ficedula_albicollis ENSFALG00000006473
manacus_vitellinus ENSMVIG00005000629
lepidothrix_coronata ENSLCOG00000010713
calidris_pugnax ENSCPUG00000004550
calidris_pygmaea ENSCPGG00000012649
apteryx_rowi ENSARWG00000011505
apteryx_owenii ENSAOWG00000015039
apteryx_haastii ENSAHAG00000017745
dromaius_novaehollandiae ENSDNVG00000006695
nothoprocta_perdicaria ENSNPEG00000008943
crocodylus_porosus ENSCPRG00005010328
gopherus_agassizii ENSGAGG00000020263
chelonoidis_abingdonii ENSCABG00000003091
chrysemys_picta_bellii ENSCPBG00000004703
pelodiscus_sinensis ENSPSIG00000016326
sphenodon_punctatus ENSSPUG00000019242
xenopus_tropicalis ENSXETG00000016135
