acanthochromis_polyacanthus ENSAPOG00000002848
stegastes_partitus ENSSPAG00000001683
oryzias_latipes_asm223471v1 ENSORLG00020004498
oryzias_latipes_asm223467v1 ENSORLG00000003060
oryzias_latipes_asm223467v1 ENSORLG00000027888
oryzias_latipes_asm223469v1 ENSORLG00015014240
oryzias_latipes_asm223467v1 ENSORLG00000027894
oryzias_latipes_asm223467v1 ENSORLG00000027682
oryzias_latipes_asm223469v1 ENSORLG00015014246
oryzias_latipes_asm223471v1 ENSORLG00020004491
oryzias_melastigma ENSOMEG00000018671
pundamilia_nyererei ENSPNYG00000018187
haplochromis_burtoni ENSHBUG00000001868
astatotilapia_calliptera ENSACLG00000012012
maylandia_zebra ENSMZEG00005009319
neolamprologus_brichardi ENSNBRG00000017622
amphilophus_citrinellus ENSACIG00000005839
seriola_dumerili ENSSDUG00000003435
seriola_lalandi_dorsalis ENSSLDG00000005626
labrus_bergylta ENSLBEG00000028631
labrus_bergylta ENSLBEG00000014404
labrus_bergylta ENSLBEG00000026108
labrus_bergylta ENSLBEG00000014417
labrus_bergylta ENSLBEG00000026098
mola_mola ENSMMOG00000012967
cynoglossus_semilaevis ENSCSEG00000017992
periophthalmus_magnuspinnatus ENSPMGG00000003376
