pelodiscus_sinensis ENSPSIG00000007637
chelonoidis_abingdonii ENSCABG00000018842
numida_meleagris ENSNMEG00000012348
gallus_gallus ENSGALG00000035589
calidris_pygmaea ENSCPGG00000016740
dromaius_novaehollandiae ENSDNVG00000014591
prolemur_simus ENSPSMG00000015839
otolemur_garnettii ENSOGAG00000010069
pan_paniscus ENSPPAG00000034150
pan_troglodytes ENSPTRG00000008972
homo_sapiens ENSG00000185862
gorilla_gorilla ENSGGOG00000005182
pongo_abelii ENSPPYG00000008149
nomascus_leucogenys ENSNLEG00000010983
theropithecus_gelada ENSTGEG00000012793
macaca_mulatta ENSMMUG00000008603
chlorocebus_sabaeus ENSCSAG00000006622
piliocolobus_tephrosceles ENSPTEG00000001432
tupaia_belangeri ENSTBEG00000002329
oryctolagus_cuniculus ENSOCUG00000008595
chinchilla_lanigera ENSCLAG00000017819
octodon_degus ENSODEG00000013035
cavia_porcellus ENSCPOG00000006120
cavia_aperea ENSCAPG00000008909
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020394
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100021153
fukomys_damarensis ENSFDAG00000012112
urocitellus_parryii ENSUPAG00010022480
ictidomys_tridecemlineatus ENSSTOG00000026274
spermophilus_dauricus ENSSDAG00000024008
marmota_marmota_marmota ENSMMMG00000012769
castor_canadensis ENSCCNG00000021864
dipodomys_ordii ENSDORG00000011472
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016824
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016825
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017668
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017669
mus_spicilegus ENSMSIG00000009267
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000093938
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070354
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017961
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017962
rattus_norvegicus ENSRNOG00000014125
meriones_unguiculatus ENSMUGG00000018755
meriones_unguiculatus ENSMUGG00000018732
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002438
cricetulus_griseus_crigri_1.0 ENSCGRG00000008762
cricetulus_griseus_crigri-picr ENSCGRG00015014865
mesocricetus_auratus ENSMAUG00000021786
peromyscus_maniculatus_bairdii ENSPEMG00000011425
microtus_ochrogaster ENSMOCG00000017970
nannospalax_galili ENSNGAG00000017449
ursus_maritimus ENSUMAG00000015108
ursus_americanus ENSUAMG00000018875
ailuropoda_melanoleuca ENSAMEG00000019814
neovison_vison ENSNVIG00000018709
mustela_putorius_furo ENSMPUG00000019512
canis_lupus_familiaris ENSCAFG00000018623
canis_lupus_dingo ENSCAFG00020014658
vulpes_vulpes ENSVVUG00000015368
panthera_tigris_altaica ENSPTIG00000002057
panthera_pardus ENSPPRG00000018243
felis_catus ENSFCAG00000006064
equus_asinus_asinus ENSEASG00005010857
equus_caballus ENSECAG00000004162
pteropus_vampyrus ENSPVAG00000002615
myotis_lucifugus ENSMLUG00000006366
bos_mutus ENSBMUG00000011238
bos_taurus ENSBTAG00000009353
bison_bison_bison ENSBBBG00000016988
capra_hircus ENSCHIG00000012005
ovis_aries ENSOARG00000003991
tursiops_truncatus ENSTTRG00000015395
sus_scrofa ENSSSCG00000017750
vicugna_pacos ENSVPAG00000003150
sorex_araneus ENSSARG00000004592
loxodonta_africana ENSLAFG00000000266
choloepus_hoffmanni ENSCHOG00000002133
dasypus_novemcinctus ENSDNOG00000036159
notamacropus_eugenii ENSMEUG00000012391
phascolarctos_cinereus ENSPCIG00000027684
sarcophilus_harrisii ENSSHAG00000018936
ornithorhynchus_anatinus ENSOANG00000005671
