prolemur_simus ENSPSMG00000001335
microcebus_murinus ENSMICG00000043029
propithecus_coquereli ENSPCOG00000019976
otolemur_garnettii ENSOGAG00000016655
carlito_syrichta ENSTSYG00000012602
octodon_degus ENSODEG00000010115
chinchilla_lanigera ENSCLAG00000004526
cavia_porcellus ENSCPOG00000035442
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008666
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004251
fukomys_damarensis ENSFDAG00000004094
marmota_marmota_marmota ENSMMMG00000011039
urocitellus_parryii ENSUPAG00010023983
ictidomys_tridecemlineatus ENSSTOG00000015164
spermophilus_dauricus ENSSDAG00000005210
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018250
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000057219
mus_spicilegus ENSMSIG00000028366
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017405
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018535
rattus_norvegicus ENSRNOG00000042691
meriones_unguiculatus ENSMUGG00000022595
peromyscus_maniculatus_bairdii ENSPEMG00000015304
microtus_ochrogaster ENSMOCG00000013951
cricetulus_griseus_crigri_1.0 ENSCGRG00000009007
cricetulus_griseus_crigri-picr ENSCGRG00015009676
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010217
mesocricetus_auratus ENSMAUG00000016796
nannospalax_galili ENSNGAG00000022165
jaculus_jaculus ENSJJAG00000011046
castor_canadensis ENSCCNG00000025178
dipodomys_ordii ENSDORG00000024435
pteropus_vampyrus ENSPVAG00000008420
myotis_lucifugus ENSMLUG00000012851
equus_caballus ENSECAG00000021003
equus_asinus_asinus ENSEASG00005000330
ursus_maritimus ENSUMAG00000008632
ursus_americanus ENSUAMG00000010504
ailuropoda_melanoleuca ENSAMEG00000009171
neovison_vison ENSNVIG00000010421
mustela_putorius_furo ENSMPUG00000013987
canis_lupus_familiaris ENSCAFG00000004719
canis_lupus_dingo ENSCAFG00020021902
vulpes_vulpes ENSVVUG00000011185
panthera_tigris_altaica ENSPTIG00000015259
panthera_pardus ENSPPRG00000012248
felis_catus ENSFCAG00000029665
erinaceus_europaeus ENSEEUG00000014953
capra_hircus ENSCHIG00000025430
ovis_aries ENSOARG00000011268
bos_taurus ENSBTAG00000014799
bos_mutus ENSBMUG00000008486
sus_scrofa ENSSSCG00000017214
tursiops_truncatus ENSTTRG00000014373
pan_troglodytes ENSPTRG00000009631
pan_paniscus ENSPPAG00000043980
homo_sapiens ENSG00000125449
gorilla_gorilla ENSGGOG00000004736
pongo_abelii ENSPPYG00000008618
nomascus_leucogenys ENSNLEG00000000591
theropithecus_gelada ENSTGEG00000027783
papio_anubis ENSPANG00000020201
cercocebus_atys ENSCATG00000034881
chlorocebus_sabaeus ENSCSAG00000004696
macaca_mulatta ENSMMUG00000029833
macaca_nemestrina ENSMNEG00000029167
macaca_fascicularis ENSMFAG00000033876
rhinopithecus_roxellana ENSRROG00000014155
colobus_angolensis_palliatus ENSCANG00000036282
saimiri_boliviensis_boliviensis ENSSBOG00000000199
cebus_capucinus_imitator ENSCCAG00000029487
callithrix_jacchus ENSCJAG00000014590
sorex_araneus ENSSARG00000008406
procavia_capensis ENSPCAG00000005594
dasypus_novemcinctus ENSDNOG00000031804
