takifugu_rubripes ENSTRUG00000010244
tetraodon_nigroviridis ENSTNIG00000013950
mola_mola ENSMMOG00000020056
gasterosteus_aculeatus ENSGACG00000003820
labrus_bergylta ENSLBEG00000023449
scophthalmus_maximus ENSSMAG00000017851
cynoglossus_semilaevis ENSCSEG00000009673
seriola_lalandi_dorsalis ENSSLDG00000020682
seriola_dumerili ENSSDUG00000003926
monopterus_albus ENSMALG00000007554
mastacembelus_armatus ENSMAMG00000013933
anabas_testudineus ENSATEG00000012883
poecilia_formosa ENSPFOG00000002369
poecilia_mexicana ENSPMEG00000004658
poecilia_latipinna ENSPLAG00000007830
poecilia_reticulata ENSPREG00000001224
xiphophorus_maculatus ENSXMAG00000024721
xiphophorus_couchianus ENSXCOG00000019044
gambusia_affinis ENSGAFG00000021334
kryptolebias_marmoratus ENSKMAG00000018152
oryzias_latipes_asm223471v1 ENSORLG00020016964
oryzias_latipes_asm223469v1 ENSORLG00015011283
oryzias_latipes_asm223467v1 ENSORLG00000017867
oryzias_melastigma ENSOMEG00000007526
stegastes_partitus ENSSPAG00000007437
periophthalmus_magnuspinnatus ENSPMGG00000009734
gadus_morhua ENSGMOG00000011382
esox_lucius ENSELUG00000005307
danio_rerio ENSDARG00000026990
nomascus_leucogenys ENSNLEG00000006063
ochotona_princeps ENSOPRG00000005921
tupaia_belangeri ENSTBEG00000005020
erinaceus_europaeus ENSEEUG00000001752
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013945
cricetulus_griseus_crigri_1.0 ENSCGRG00000008406
mesocricetus_auratus ENSMAUG00000015324
dipodomys_ordii ENSDORG00000000027
bos_taurus ENSBTAG00000037951
bos_mutus ENSBMUG00000020807
capra_hircus ENSCHIG00000023082
ovis_aries ENSOARG00000020649
tursiops_truncatus ENSTTRG00000013693
equus_asinus_asinus ENSEASG00005015289
equus_caballus ENSECAG00000016531
pteropus_vampyrus ENSPVAG00000002119
dasypus_novemcinctus ENSDNOG00000046501
loxodonta_africana ENSLAFG00000008616
echinops_telfairi ENSETEG00000017858
notamacropus_eugenii ENSMEUG00000011793
anas_platyrhynchos_platyrhynchos ENSAPLG00000007168
lonchura_striata_domestica ENSLSDG00000016333
nothoprocta_perdicaria ENSNPEG00000002160
crocodylus_porosus ENSCPRG00005008991
chelonoidis_abingdonii ENSCABG00000019483
notechis_scutatus ENSNSUG00000010899
eptatretus_burgeri ENSEBUG00000000607
ciona_intestinalis ENSCING00000019685
ciona_intestinalis ENSCING00000020252
ciona_intestinalis ENSCING00000015301
ciona_savignyi ENSCSAVG00000002374
gopherus_agassizii ENSGAGG00000001527
chelonoidis_abingdonii ENSCABG00000010594
chrysemys_picta_bellii ENSCPBG00000021310
pelodiscus_sinensis ENSPSIG00000016617
ficedula_albicollis ENSFALG00000011904
notechis_scutatus ENSNSUG00000010087
latimeria_chalumnae ENSLACG00000015739
stegastes_partitus ENSSPAG00000015248
cynoglossus_semilaevis ENSCSEG00000014916
mola_mola ENSMMOG00000019643
periophthalmus_magnuspinnatus ENSPMGG00000006503
esox_lucius ENSELUG00000021433
pygocentrus_nattereri ENSPNAG00000017000
danio_rerio ENSDARG00000106298
caenorhabditis_elegans_strain_n2 WBGene00004972
