tetraodon_nigroviridis ENSTNIG00000004941
takifugu_rubripes ENSTRUG00000003120
periophthalmus_magnuspinnatus ENSPMGG00000023970
periophthalmus_magnuspinnatus ENSPMGG00000023967
gasterosteus_aculeatus ENSGACG00000017370
mola_mola ENSMMOG00000021301
labrus_bergylta ENSLBEG00000004817
seriola_dumerili ENSSDUG00000015893
seriola_lalandi_dorsalis ENSSLDG00000015951
scophthalmus_maximus ENSSMAG00000019967
mastacembelus_armatus ENSMAMG00000009032
monopterus_albus ENSMALG00000017930
anabas_testudineus ENSATEG00000019451
fundulus_heteroclitus ENSFHEG00000012247
cyprinodon_variegatus ENSCVAG00000012167
xiphophorus_maculatus ENSXMAG00000001714
xiphophorus_couchianus ENSXCOG00000004993
gambusia_affinis ENSGAFG00000007590
poecilia_mexicana ENSPMEG00000014256
poecilia_latipinna ENSPLAG00000021624
poecilia_latipinna ENSPLAG00000000118
poecilia_formosa ENSPFOG00000019697
poecilia_reticulata ENSPREG00000008819
kryptolebias_marmoratus ENSKMAG00000011024
oryzias_latipes_asm223469v1 ENSORLG00015001493
oryzias_latipes_asm223467v1 ENSORLG00000010095
oryzias_latipes_asm223471v1 ENSORLG00020013177
oryzias_melastigma ENSOMEG00000023491
maylandia_zebra ENSMZEG00005017064
astatotilapia_calliptera ENSACLG00000022769
pundamilia_nyererei ENSPNYG00000012166
haplochromis_burtoni ENSHBUG00000004280
neolamprologus_brichardi ENSNBRG00000009158
oreochromis_niloticus ENSONIG00000003929
amphilophus_citrinellus ENSACIG00000005233
amphiprion_percula ENSAPEG00000007575
amphiprion_ocellaris ENSAOCG00000019933
acanthochromis_polyacanthus ENSAPOG00000009185
stegastes_partitus ENSSPAG00000005088
cynoglossus_semilaevis ENSCSEG00000017356
hippocampus_comes ENSHCOG00000002980
gadus_morhua ENSGMOG00000016738
esox_lucius ENSELUG00000000201
astyanax_mexicanus ENSAMXG00000006727
pygocentrus_nattereri ENSPNAG00000017429
ictalurus_punctatus ENSIPUG00000021311
danio_rerio ENSDARG00000098967
paramormyrops_kingsleyae ENSPKIG00000021834
scleropages_formosus ENSSFOG00015000857
lepisosteus_oculatus ENSLOCG00000002828
nothoprocta_perdicaria ENSNPEG00000012977
nothoprocta_perdicaria ENSNPEG00000012976
pogona_vitticeps ENSPVIG00000025703
anolis_carolinensis ENSACAG00000011360
notechis_scutatus ENSNSUG00000002797
salvator_merianae ENSSMRG00000011478
anser_brachyrhynchus ENSABRG00000022338
anas_platyrhynchos_platyrhynchos ENSAPLG00000006937
meleagris_gallopavo ENSMGAG00000008049
coturnix_japonica ENSCJPG00005010864
gallus_gallus ENSGALG00000001225
numida_meleagris ENSNMEG00000012823
calidris_pygmaea ENSCPGG00000012634
calidris_pugnax ENSCPUG00000016093
cyanistes_caeruleus ENSCCEG00000010514
parus_major ENSPMJG00000000285
ficedula_albicollis ENSFALG00000002016
lonchura_striata_domestica ENSLSDG00000004190
taeniopygia_guttata ENSTGUG00000006934
serinus_canaria ENSSCAG00000016179
junco_hyemalis ENSJHYG00000003558
zonotrichia_albicollis ENSZALG00000011181
taeniopygia_guttata ENSTGUG00000015912
manacus_vitellinus ENSMVIG00005010269
lepidothrix_coronata ENSLCOG00000014262
melopsittacus_undulatus ENSMUNG00000009642
apteryx_owenii ENSAOWG00000002880
apteryx_haastii ENSAHAG00000013011
apteryx_rowi ENSARWG00000005522
dromaius_novaehollandiae ENSDNVG00000013547
crocodylus_porosus ENSCPRG00005010670
chelonoidis_abingdonii ENSCABG00000001622
gopherus_agassizii ENSGAGG00000018283
chrysemys_picta_bellii ENSCPBG00000009786
pelodiscus_sinensis ENSPSIG00000005734
sphenodon_punctatus ENSSPUG00000001298
phascolarctos_cinereus ENSPCIG00000025568
notamacropus_eugenii ENSMEUG00000010964
sarcophilus_harrisii ENSSHAG00000008396
monodelphis_domestica ENSMODG00000019729
ornithorhynchus_anatinus ENSOANG00000008854
ornithorhynchus_anatinus ENSOANG00000006266
ornithorhynchus_anatinus ENSOANG00000011874
ornithorhynchus_anatinus ENSOANG00000021686
choloepus_hoffmanni ENSCHOG00000012349
capra_hircus ENSCHIG00000025375
echinops_telfairi ENSETEG00000011984
ursus_maritimus ENSUMAG00000003106
ursus_americanus ENSUAMG00000015364
ailuropoda_melanoleuca ENSAMEG00000010958
mustela_putorius_furo ENSMPUG00000014129
neovison_vison ENSNVIG00000003705
canis_lupus_dingo ENSCAFG00020015350
canis_lupus_familiaris ENSCAFG00000020242
vulpes_vulpes ENSVVUG00000009567
panthera_tigris_altaica ENSPTIG00000015522
panthera_pardus ENSPPRG00000009610
felis_catus ENSFCAG00000004092
equus_asinus_asinus ENSEASG00005020868
equus_caballus ENSECAG00000017729
bos_taurus ENSBTAG00000039172
bos_mutus ENSBMUG00000020782
bison_bison_bison ENSBBBG00000001355
ovis_aries ENSOARG00000013938
sus_scrofa ENSSSCG00000020743
vicugna_pacos ENSVPAG00000005998
tursiops_truncatus ENSTTRG00000016958
myotis_lucifugus ENSMLUG00000003865
pteropus_vampyrus ENSPVAG00000017596
erinaceus_europaeus ENSEEUG00000007045
sorex_araneus ENSSARG00000004023
castor_canadensis ENSCCNG00000024703
meriones_unguiculatus ENSMUGG00000022782
cavia_aperea ENSCAPG00000008607
procavia_capensis ENSPCAG00000005984
propithecus_coquereli ENSPCOG00000000532
prolemur_simus ENSPSMG00000022917
microcebus_murinus ENSMICG00000000821
otolemur_garnettii ENSOGAG00000014722
pan_troglodytes ENSPTRG00000021342
pan_paniscus ENSPPAG00000013688
gorilla_gorilla ENSGGOG00000003890
homo_sapiens ENSG00000011454
pongo_abelii ENSPPYG00000019586
nomascus_leucogenys ENSNLEG00000017216
macaca_mulatta ENSMMUG00000000670
macaca_nemestrina ENSMNEG00000039246
macaca_fascicularis ENSMFAG00000043446
cercocebus_atys ENSCATG00000012197
mandrillus_leucophaeus ENSMLEG00000027024
papio_anubis ENSPANG00000025838
theropithecus_gelada ENSTGEG00000025032
chlorocebus_sabaeus ENSCSAG00000013436
piliocolobus_tephrosceles ENSPTEG00000017404
