gorilla_gorilla ENSGGOG00000043945
homo_sapiens ENSG00000125788
pongo_abelii ENSPPYG00000010877
nomascus_leucogenys ENSNLEG00000009561
pan_paniscus ENSPPAG00000037843
pan_troglodytes ENSPTRG00000013135
rhinopithecus_bieti ENSRBIG00000042043
rhinopithecus_roxellana ENSRROG00000028823
colobus_angolensis_palliatus ENSCANG00000011270
piliocolobus_tephrosceles ENSPTEG00000001618
mandrillus_leucophaeus ENSMLEG00000040474
cercocebus_atys ENSCATG00000035322
theropithecus_gelada ENSTGEG00000008892
papio_anubis ENSPANG00000023198
macaca_mulatta ENSMMUG00000012757
macaca_fascicularis ENSMFAG00000038448
macaca_nemestrina ENSMNEG00000033115
cebus_capucinus_imitator ENSCCAG00000022078
saimiri_boliviensis_boliviensis ENSSBOG00000030973
callithrix_jacchus ENSCJAG00000020819
aotus_nancymaae ENSANAG00000004670
prolemur_simus ENSPSMG00000003236
tupaia_belangeri ENSTBEG00000000712
marmota_marmota_marmota ENSMMMG00000023829
urocitellus_parryii ENSUPAG00010018874
bos_mutus ENSBMUG00000015439
bos_taurus ENSBTAG00000051033
bison_bison_bison ENSBBBG00000009890
capra_hircus ENSCHIG00000023268
vicugna_pacos ENSVPAG00000000440
myotis_lucifugus ENSMLUG00000014906
ailuropoda_melanoleuca ENSAMEG00000011293
neovison_vison ENSNVIG00000019360
vulpes_vulpes ENSVVUG00000008340
canis_lupus_familiaris ENSCAFG00000025122
equus_caballus ENSECAG00000011927
choloepus_hoffmanni ENSCHOG00000001057
