echinops_telfairi ENSETEG00000012363
loxodonta_africana ENSLAFG00000022594
pan_paniscus ENSPPAG00000035368
pan_troglodytes ENSPTRG00000006041
homo_sapiens ENSG00000153495
gorilla_gorilla ENSGGOG00000009741
pongo_abelii ENSPPYG00000005509
nomascus_leucogenys ENSNLEG00000008012
colobus_angolensis_palliatus ENSCANG00000036917
piliocolobus_tephrosceles ENSPTEG00000032768
rhinopithecus_bieti ENSRBIG00000039589
rhinopithecus_roxellana ENSRROG00000035371
macaca_fascicularis ENSMFAG00000031161
macaca_nemestrina ENSMNEG00000027188
cercocebus_atys ENSCATG00000036869
mandrillus_leucophaeus ENSMLEG00000028486
theropithecus_gelada ENSTGEG00000015095
papio_anubis ENSPANG00000000347
chlorocebus_sabaeus ENSCSAG00000017461
saimiri_boliviensis_boliviensis ENSSBOG00000029787
cebus_capucinus_imitator ENSCCAG00000022733
callithrix_jacchus ENSCJAG00000014083
carlito_syrichta ENSTSYG00000037007
ochotona_princeps ENSOPRG00000003247
oryctolagus_cuniculus ENSOCUG00000025849
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031512
mus_spicilegus ENSMSIG00000009088
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031931
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030822
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021284
rattus_norvegicus ENSRNOG00000033585
castor_canadensis ENSCCNG00000031620
neovison_vison ENSNVIG00000001041
ursus_americanus ENSUAMG00000005898
equus_asinus_asinus ENSEASG00005021932
equus_caballus ENSECAG00000019679
ovis_aries ENSOARG00000007196
ailuropoda_melanoleuca ENSAMEG00000017101
mustela_putorius_furo ENSMPUG00000010598
canis_lupus_familiaris ENSCAFG00000023644
canis_lupus_dingo ENSCAFG00020020147
vulpes_vulpes ENSVVUG00000019887
panthera_tigris_altaica ENSPTIG00000020108
panthera_pardus ENSPPRG00000010665
felis_catus ENSFCAG00000031278
bos_mutus ENSBMUG00000009357
bos_taurus ENSBTAG00000007298
bison_bison_bison ENSBBBG00000007320
capra_hircus ENSCHIG00000014416
sus_scrofa ENSSSCG00000024763
pteropus_vampyrus ENSPVAG00000017304
otolemur_garnettii ENSOGAG00000030706
microcebus_murinus ENSMICG00000040169
chinchilla_lanigera ENSCLAG00000001914
peromyscus_maniculatus_bairdii ENSPEMG00000027895
procavia_capensis ENSPCAG00000009616
dasypus_novemcinctus ENSDNOG00000044175
phascolarctos_cinereus ENSPCIG00000010364
