tursiops_truncatus ENSTTRG00000003349
vicugna_pacos ENSVPAG00000010583
panthera_tigris_altaica ENSPTIG00000010114
panthera_pardus ENSPPRG00000010227
pteropus_vampyrus ENSPVAG00000006304
mandrillus_leucophaeus ENSMLEG00000005933
cercocebus_atys ENSCATG00000013004
macaca_fascicularis ENSMFAG00000045844
macaca_mulatta ENSMMUG00000041447
macaca_nemestrina ENSMNEG00000032884
rhinopithecus_bieti ENSRBIG00000028250
rhinopithecus_roxellana ENSRROG00000041894
colobus_angolensis_palliatus ENSCANG00000000539
piliocolobus_tephrosceles ENSPTEG00000035944
pan_paniscus ENSPPAG00000011351
pan_troglodytes ENSPTRG00000046689
gorilla_gorilla ENSGGOG00000037446
pongo_abelii ENSPPYG00000002693
nomascus_leucogenys ENSNLEG00000016621
cebus_capucinus_imitator ENSCCAG00000033561
callithrix_jacchus ENSCJAG00000019560
saimiri_boliviensis_boliviensis ENSSBOG00000025186
aotus_nancymaae ENSANAG00000035863
prolemur_simus ENSPSMG00000006824
tupaia_belangeri ENSTBEG00000006185
procavia_capensis ENSPCAG00000011091
echinops_telfairi ENSETEG00000017753
