dromaius_novaehollandiae ENSDNVG00000016543
anser_brachyrhynchus ENSABRG00000010190
ficedula_albicollis ENSFALG00000001971
apteryx_rowi ENSARWG00000012204
nothoprocta_perdicaria ENSNPEG00000015367
lonchura_striata_domestica ENSLSDG00000000703
pogona_vitticeps ENSPVIG00000020822
notechis_scutatus ENSNSUG00000001540
phascolarctos_cinereus ENSPCIG00000012344
bos_taurus ENSBTAG00000020448
castor_canadensis ENSCCNG00000013023
dipodomys_ordii ENSDORG00000000581
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029334
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000052763
mus_spicilegus ENSMSIG00000001178
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028330
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022087
rattus_norvegicus ENSRNOG00000006711
meriones_unguiculatus ENSMUGG00000021346
microtus_ochrogaster ENSMOCG00000009006
peromyscus_maniculatus_bairdii ENSPEMG00000030229
cricetulus_griseus_crigri_1.0 ENSCGRG00000018062
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012994
mesocricetus_auratus ENSMAUG00000011631
nannospalax_galili ENSNGAG00000023597
ictidomys_tridecemlineatus ENSSTOG00000013393
urocitellus_parryii ENSUPAG00010020592
spermophilus_dauricus ENSSDAG00000015045
marmota_marmota_marmota ENSMMMG00000006983
chinchilla_lanigera ENSCLAG00000000945
octodon_degus ENSODEG00000012931
cavia_porcellus ENSCPOG00000037723
cavia_aperea ENSCAPG00000003638
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018520
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003415
fukomys_damarensis ENSFDAG00000009948
oryctolagus_cuniculus ENSOCUG00000008427
ochotona_princeps ENSOPRG00000010561
tupaia_belangeri ENSTBEG00000015249
pan_troglodytes ENSPTRG00000019842
gorilla_gorilla ENSGGOG00000006463
homo_sapiens ENSG00000170260
nomascus_leucogenys ENSNLEG00000035644
pongo_abelii ENSPPYG00000018152
mandrillus_leucophaeus ENSMLEG00000042732
macaca_mulatta ENSMMUG00000011788
rhinopithecus_bieti ENSRBIG00000041274
colobus_angolensis_palliatus ENSCANG00000034870
cebus_capucinus_imitator ENSCCAG00000027361
callithrix_jacchus ENSCJAG00000041244
saimiri_boliviensis_boliviensis ENSSBOG00000021829
aotus_nancymaae ENSANAG00000028374
carlito_syrichta ENSTSYG00000026088
propithecus_coquereli ENSPCOG00000013577
prolemur_simus ENSPSMG00000015112
microcebus_murinus ENSMICG00000045820
microcebus_murinus ENSMICG00000016621
otolemur_garnettii ENSOGAG00000031023
pteropus_vampyrus ENSPVAG00000010869
myotis_lucifugus ENSMLUG00000010634
equus_asinus_asinus ENSEASG00005009000
equus_caballus ENSECAG00000012758
bos_taurus ENSBTAG00000000389
bos_mutus ENSBMUG00000021045
capra_hircus ENSCHIG00000015040
ovis_aries ENSOARG00000000213
tursiops_truncatus ENSTTRG00000015689
vicugna_pacos ENSVPAG00000009124
ursus_americanus ENSUAMG00000026484
ursus_maritimus ENSUMAG00000011327
ailuropoda_melanoleuca ENSAMEG00000002698
neovison_vison ENSNVIG00000003818
canis_lupus_dingo ENSCAFG00020006726
vulpes_vulpes ENSVVUG00000009680
panthera_tigris_altaica ENSPTIG00000008850
panthera_pardus ENSPPRG00000021175
felis_catus ENSFCAG00000022357
loxodonta_africana ENSLAFG00000006685
procavia_capensis ENSPCAG00000005393
echinops_telfairi ENSETEG00000009544
sus_scrofa ENSSSCG00000016777
dasypus_novemcinctus ENSDNOG00000008381
phascolarctos_cinereus ENSPCIG00000009331
notamacropus_eugenii ENSMEUG00000006113
sarcophilus_harrisii ENSSHAG00000018312
monodelphis_domestica ENSMODG00000001991
ornithorhynchus_anatinus ENSOANG00000031976
phascolarctos_cinereus ENSPCIG00000033654
ursus_maritimus ENSUMAG00000011300
chelonoidis_abingdonii ENSCABG00000004211
gopherus_agassizii ENSGAGG00000016589
chrysemys_picta_bellii ENSCPBG00000015118
gopherus_agassizii ENSGAGG00000017863
pelodiscus_sinensis ENSPSIG00000002444
pogona_vitticeps ENSPVIG00000021115
chrysemys_picta_bellii ENSCPBG00000015201
gopherus_agassizii ENSGAGG00000005589
chelonoidis_abingdonii ENSCABG00000004213
gopherus_agassizii ENSGAGG00000018821
chrysemys_picta_bellii ENSCPBG00000015195
sphenodon_punctatus ENSSPUG00000000909
sphenodon_punctatus ENSSPUG00000000926
gopherus_agassizii ENSGAGG00000017856
notechis_scutatus ENSNSUG00000011790
salvator_merianae ENSSMRG00000017279
sphenodon_punctatus ENSSPUG00000018693
chelonoidis_abingdonii ENSCABG00000004219
