erinaceus_europaeus ENSEEUG00000001023
sorex_araneus ENSSARG00000005120
jaculus_jaculus ENSJJAG00000001042
jaculus_jaculus ENSJJAG00000002930
jaculus_jaculus ENSJJAG00000019023
jaculus_jaculus ENSJJAG00000014141
jaculus_jaculus ENSJJAG00000009703
jaculus_jaculus ENSJJAG00000014565
jaculus_jaculus ENSJJAG00000012761
octodon_degus ENSODEG00000005125
octodon_degus ENSODEG00000020183
prolemur_simus ENSPSMG00000019817
microcebus_murinus ENSMICG00000009860
otolemur_garnettii ENSOGAG00000009040
carlito_syrichta ENSTSYG00000010018
peromyscus_maniculatus_bairdii ENSPEMG00000025163
microtus_ochrogaster ENSMOCG00000013381
cricetulus_griseus_crigri-picr ENSCGRG00015014291
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013866
cricetulus_griseus_crigri_1.0 ENSCGRG00000001198
cricetulus_griseus_crigri_1.0 ENSCGRG00000006431
cricetulus_griseus_crigri-picr ENSCGRG00015022956
mesocricetus_auratus ENSMAUG00000000975
meriones_unguiculatus ENSMUGG00000021658
meriones_unguiculatus ENSMUGG00000024446
mus_spicilegus ENSMSIG00000030926
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019640
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018757
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000012422
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015836
rattus_norvegicus ENSRNOG00000016686
nannospalax_galili ENSNGAG00000018278
marmota_marmota_marmota ENSMMMG00000007986
marmota_marmota_marmota ENSMMMG00000016005
ictidomys_tridecemlineatus ENSSTOG00000031235
urocitellus_parryii ENSUPAG00010006916
spermophilus_dauricus ENSSDAG00000012130
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010260
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000710
fukomys_damarensis ENSFDAG00000015813
cavia_porcellus ENSCPOG00000026186
cavia_aperea ENSCAPG00000015620
chinchilla_lanigera ENSCLAG00000004734
dipodomys_ordii ENSDORG00000026989
castor_canadensis ENSCCNG00000017048
oryctolagus_cuniculus ENSOCUG00000009326
ochotona_princeps ENSOPRG00000004516
tupaia_belangeri ENSTBEG00000002432
bos_taurus ENSBTAG00000053830
bos_mutus ENSBMUG00000005491
panthera_pardus ENSPPRG00000015036
panthera_tigris_altaica ENSPTIG00000018299
spermophilus_dauricus ENSSDAG00000009505
castor_canadensis ENSCCNG00000017958
bos_mutus ENSBMUG00000021816
pan_troglodytes ENSPTRG00000017053
sus_scrofa ENSSSCG00000021631
procavia_capensis ENSPCAG00000012626
echinops_telfairi ENSETEG00000016490
myotis_lucifugus ENSMLUG00000008924
equus_caballus ENSECAG00000026834
canis_lupus_familiaris ENSCAFG00000029436
vulpes_vulpes ENSVVUG00000023272
ursus_americanus ENSUAMG00000003849
ursus_maritimus ENSUMAG00000000641
vulpes_vulpes ENSVVUG00000012825
felis_catus ENSFCAG00000035620
panthera_pardus ENSPPRG00000015657
panthera_pardus ENSPPRG00000008129
panthera_tigris_altaica ENSPTIG00000020380
felis_catus ENSFCAG00000045423
neovison_vison ENSNVIG00000023109
ovis_aries ENSOARG00000015577
capra_hircus ENSCHIG00000006606
bos_taurus ENSBTAG00000039591
bos_mutus ENSBMUG00000007780
bison_bison_bison ENSBBBG00000014913
tursiops_truncatus ENSTTRG00000009033
pan_troglodytes ENSPTRG00000044250
pan_paniscus ENSPPAG00000043917
gorilla_gorilla ENSGGOG00000042218
homo_sapiens ENSG00000174695
pongo_abelii ENSPPYG00000015611
nomascus_leucogenys ENSNLEG00000013231
piliocolobus_tephrosceles ENSPTEG00000000309
colobus_angolensis_palliatus ENSCANG00000038138
rhinopithecus_roxellana ENSRROG00000024243
rhinopithecus_bieti ENSRBIG00000027395
rhinopithecus_bieti ENSRBIG00000043077
rhinopithecus_roxellana ENSRROG00000041134
mandrillus_leucophaeus ENSMLEG00000028609
papio_anubis ENSPANG00000011935
macaca_fascicularis ENSMFAG00000040978
macaca_mulatta ENSMMUG00000046560
macaca_nemestrina ENSMNEG00000041326
chlorocebus_sabaeus ENSCSAG00000014909
cercocebus_atys ENSCATG00000038227
theropithecus_gelada ENSTGEG00000000262
callithrix_jacchus ENSCJAG00000048489
callithrix_jacchus ENSCJAG00000013378
saimiri_boliviensis_boliviensis ENSSBOG00000031099
cebus_capucinus_imitator ENSCCAG00000021704
aotus_nancymaae ENSANAG00000036200
bos_mutus ENSBMUG00000001096
bos_taurus ENSBTAG00000051263
bison_bison_bison ENSBBBG00000023867
capra_hircus ENSCHIG00000019275
capra_hircus ENSCHIG00000012625
equus_asinus_asinus ENSEASG00005004146
peromyscus_maniculatus_bairdii ENSPEMG00000007641
dipodomys_ordii ENSDORG00000028327
ictidomys_tridecemlineatus ENSSTOG00000031540
sus_scrofa ENSSSCG00000040801
sus_scrofa ENSSSCG00000039018
sus_scrofa ENSSSCG00000032476
vicugna_pacos ENSVPAG00000001365
loxodonta_africana ENSLAFG00000009206
choloepus_hoffmanni ENSCHOG00000012009
phascolarctos_cinereus ENSPCIG00000032700
phascolarctos_cinereus ENSPCIG00000009496
sarcophilus_harrisii ENSSHAG00000011984
notamacropus_eugenii ENSMEUG00000014571
monodelphis_domestica ENSMODG00000025616
monodelphis_domestica ENSMODG00000025012
ornithorhynchus_anatinus ENSOANG00000014766
chelonoidis_abingdonii ENSCABG00000014044
chrysemys_picta_bellii ENSCPBG00000010731
pelodiscus_sinensis ENSPSIG00000016032
anas_platyrhynchos_platyrhynchos ENSAPLG00000015984
anser_brachyrhynchus ENSABRG00000008918
gallus_gallus ENSGALG00000027332
coturnix_japonica ENSCJPG00005000681
numida_meleagris ENSNMEG00000007397
calidris_pugnax ENSCPUG00000013562
calidris_pygmaea ENSCPGG00000004330
taeniopygia_guttata ENSTGUG00000006923
lonchura_striata_domestica ENSLSDG00000009118
serinus_canaria ENSSCAG00000008549
zonotrichia_albicollis ENSZALG00000008792
ficedula_albicollis ENSFALG00000012910
cyanistes_caeruleus ENSCCEG00000018364
parus_major ENSPMJG00000014283
lepidothrix_coronata ENSLCOG00000008102
manacus_vitellinus ENSMVIG00005018869
apteryx_owenii ENSAOWG00000012591
apteryx_rowi ENSARWG00000013363
dromaius_novaehollandiae ENSDNVG00000013886
gopherus_agassizii ENSGAGG00000011242
crocodylus_porosus ENSCPRG00005002127
anolis_carolinensis ENSACAG00000011153
pogona_vitticeps ENSPVIG00000025373
notechis_scutatus ENSNSUG00000004709
sphenodon_punctatus ENSSPUG00000004713
sphenodon_punctatus ENSSPUG00000009583
xenopus_tropicalis ENSXETG00000027813
latimeria_chalumnae ENSLACG00000011416
apteryx_haastii ENSAHAG00000017913
nothoprocta_perdicaria ENSNPEG00000015885
melopsittacus_undulatus ENSMUNG00000016599
salvator_merianae ENSSMRG00000006663
esox_lucius ENSELUG00000005534
cynoglossus_semilaevis ENSCSEG00000012117
cynoglossus_semilaevis ENSCSEG00000011371
takifugu_rubripes ENSTRUG00000022199
oryzias_latipes_asm223467v1 ENSORLG00000009841
oryzias_latipes_asm223469v1 ENSORLG00015023162
oryzias_melastigma ENSOMEG00000000141
periophthalmus_magnuspinnatus ENSPMGG00000013573
acanthochromis_polyacanthus ENSAPOG00000001827
tetraodon_nigroviridis ENSTNIG00000015432
xiphophorus_couchianus ENSXCOG00000016715
xiphophorus_maculatus ENSXMAG00000027342
poecilia_formosa ENSPFOG00000018315
poecilia_formosa ENSPFOG00000001752
poecilia_mexicana ENSPMEG00000004603
poecilia_reticulata ENSPREG00000004173
gambusia_affinis ENSGAFG00000009306
fundulus_heteroclitus ENSFHEG00000007183
cyprinodon_variegatus ENSCVAG00000021817
kryptolebias_marmoratus ENSKMAG00000011448
maylandia_zebra ENSMZEG00005014638
astatotilapia_calliptera ENSACLG00000004895
haplochromis_burtoni ENSHBUG00000009520
pundamilia_nyererei ENSPNYG00000020201
neolamprologus_brichardi ENSNBRG00000002358
poecilia_latipinna ENSPLAG00000021261
poecilia_latipinna ENSPLAG00000004272
amphiprion_percula ENSAPEG00000018721
seriola_dumerili ENSSDUG00000016282
mastacembelus_armatus ENSMAMG00000011846
monopterus_albus ENSMALG00000009717
anabas_testudineus ENSATEG00000004151
mola_mola ENSMMOG00000018304
seriola_lalandi_dorsalis ENSSLDG00000005182
scophthalmus_maximus ENSSMAG00000009194
stegastes_partitus ENSSPAG00000005215
amphilophus_citrinellus ENSACIG00000022156
hippocampus_comes ENSHCOG00000017265
esox_lucius ENSELUG00000017116
astyanax_mexicanus ENSAMXG00000008525
scleropages_formosus ENSSFOG00015011502
paramormyrops_kingsleyae ENSPKIG00000006381
ictalurus_punctatus ENSIPUG00000008918
pygocentrus_nattereri ENSPNAG00000008703
danio_rerio ENSDARG00000035914
scleropages_formosus ENSSFOG00015009332
paramormyrops_kingsleyae ENSPKIG00000013964
lepisosteus_oculatus ENSLOCG00000002040
piliocolobus_tephrosceles ENSPTEG00000019126
piliocolobus_tephrosceles ENSPTEG00000006500
ciona_savignyi ENSCSAVG00000005523
ciona_intestinalis ENSCING00000019983
drosophila_melanogaster FBgn0040890
saccharomyces_cerevisiae_strain_s288c YNL024C-A
