xiphophorus_couchianus ENSXCOG00000013464
amphilophus_citrinellus ENSACIG00000011849
mastacembelus_armatus ENSMAMG00000004538
acanthochromis_polyacanthus ENSAPOG00000004615
capra_hircus ENSCHIG00000011191
sus_scrofa ENSSSCG00000036800
panthera_pardus ENSPPRG00000008376
felis_catus ENSFCAG00000037776
carlito_syrichta ENSTSYG00000028848
propithecus_coquereli ENSPCOG00000027600
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018531
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007445
marmota_marmota_marmota ENSMMMG00000023301
urocitellus_parryii ENSUPAG00010007339
ursus_maritimus ENSUMAG00000019866
ursus_americanus ENSUAMG00000026508
ursus_americanus ENSUAMG00000007539
ursus_maritimus ENSUMAG00000008281
neovison_vison ENSNVIG00000002791
vulpes_vulpes ENSVVUG00000013450
equus_asinus_asinus ENSEASG00005015837
bos_taurus ENSBTAG00000049498
prolemur_simus ENSPSMG00000017199
propithecus_coquereli ENSPCOG00000011665
felis_catus ENSFCAG00000035952
propithecus_coquereli ENSPCOG00000015980
octodon_degus ENSODEG00000012271
felis_catus ENSFCAG00000032521
sus_scrofa ENSSSCG00000035112
equus_asinus_asinus ENSEASG00005001583
oryctolagus_cuniculus ENSOCUG00000024687
cercocebus_atys ENSCATG00000035173
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002648
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001286
microtus_ochrogaster ENSMOCG00000016420
mandrillus_leucophaeus ENSMLEG00000042445
ursus_americanus ENSUAMG00000012600
phascolarctos_cinereus ENSPCIG00000005678
