pongo_abelii ENSPPYG00000019338
homo_sapiens ENSG00000187753
rhinopithecus_bieti ENSRBIG00000042264
rhinopithecus_roxellana ENSRROG00000042498
colobus_angolensis_palliatus ENSCANG00000038768
macaca_mulatta ENSMMUG00000044996
macaca_fascicularis ENSMFAG00000002021
cercocebus_atys ENSCATG00000042082
mandrillus_leucophaeus ENSMLEG00000013492
papio_anubis ENSPANG00000003226
theropithecus_gelada ENSTGEG00000028705
chlorocebus_sabaeus ENSCSAG00000007422
nomascus_leucogenys ENSNLEG00000005127
callithrix_jacchus ENSCJAG00000001954
cebus_capucinus_imitator ENSCCAG00000025345
aotus_nancymaae ENSANAG00000038441
carlito_syrichta ENSTSYG00000003131
propithecus_coquereli ENSPCOG00000020594
microcebus_murinus ENSMICG00000043141
otolemur_garnettii ENSOGAG00000001827
ochotona_princeps ENSOPRG00000010706
panthera_tigris_altaica ENSPTIG00000008399
panthera_pardus ENSPPRG00000010876
felis_catus ENSFCAG00000041024
neovison_vison ENSNVIG00000013424
pteropus_vampyrus ENSPVAG00000004587
choloepus_hoffmanni ENSCHOG00000007489
