anabas_testudineus ENSATEG00000000359
mastacembelus_armatus ENSMAMG00000006575
takifugu_rubripes ENSTRUG00000011410
tetraodon_nigroviridis ENSTNIG00000017943
seriola_dumerili ENSSDUG00000015398
seriola_lalandi_dorsalis ENSSLDG00000023979
stegastes_partitus ENSSPAG00000019476
gasterosteus_aculeatus ENSGACG00000012275
mola_mola ENSMMOG00000013009
labrus_bergylta ENSLBEG00000028471
scophthalmus_maximus ENSSMAG00000005284
monopterus_albus ENSMALG00000005506
xiphophorus_maculatus ENSXMAG00000004699
xiphophorus_couchianus ENSXCOG00000020413
gambusia_affinis ENSGAFG00000006011
poecilia_mexicana ENSPMEG00000005146
poecilia_latipinna ENSPLAG00000016123
poecilia_reticulata ENSPREG00000015196
poecilia_formosa ENSPFOG00000017633
fundulus_heteroclitus ENSFHEG00000020087
cyprinodon_variegatus ENSCVAG00000012341
kryptolebias_marmoratus ENSKMAG00000012182
oryzias_latipes_asm223469v1 ENSORLG00015013737
oryzias_latipes_asm223471v1 ENSORLG00020001540
oryzias_latipes_asm223467v1 ENSORLG00000010267
oryzias_melastigma ENSOMEG00000009125
amphiprion_ocellaris ENSAOCG00000006527
amphiprion_percula ENSAPEG00000004360
acanthochromis_polyacanthus ENSAPOG00000024112
astatotilapia_calliptera ENSACLG00000026275
haplochromis_burtoni ENSHBUG00000010273
maylandia_zebra ENSMZEG00005019404
pundamilia_nyererei ENSPNYG00000003605
neolamprologus_brichardi ENSNBRG00000001752
oreochromis_niloticus ENSONIG00000014859
amphilophus_citrinellus ENSACIG00000001044
periophthalmus_magnuspinnatus ENSPMGG00000016311
gadus_morhua ENSGMOG00000012213
esox_lucius ENSELUG00000022284
astyanax_mexicanus ENSAMXG00000012858
pygocentrus_nattereri ENSPNAG00000023186
ictalurus_punctatus ENSIPUG00000007528
danio_rerio ENSDARG00000063186
scleropages_formosus ENSSFOG00015022089
scleropages_formosus ENSSFOG00015000219
lepisosteus_oculatus ENSLOCG00000016737
chrysemys_picta_bellii ENSCPBG00000003133
chelonoidis_abingdonii ENSCABG00000004057
pelodiscus_sinensis ENSPSIG00000016036
anser_brachyrhynchus ENSABRG00000013910
anas_platyrhynchos_platyrhynchos ENSAPLG00000003779
gallus_gallus ENSGALG00000006682
coturnix_japonica ENSCJPG00005004636
meleagris_gallopavo ENSMGAG00000004840
numida_meleagris ENSNMEG00000003296
melopsittacus_undulatus ENSMUNG00000015054
calidris_pygmaea ENSCPGG00000001020
ficedula_albicollis ENSFALG00000001911
parus_major ENSPMJG00000001661
taeniopygia_guttata ENSTGUG00000002282
lonchura_striata_domestica ENSLSDG00000003841
junco_hyemalis ENSJHYG00000001619
zonotrichia_albicollis ENSZALG00000012293
lepidothrix_coronata ENSLCOG00000009726
apteryx_owenii ENSAOWG00000003901
apteryx_haastii ENSAHAG00000014221
dromaius_novaehollandiae ENSDNVG00000011427
pogona_vitticeps ENSPVIG00000013497
anolis_carolinensis ENSACAG00000000900
salvator_merianae ENSSMRG00000011906
sphenodon_punctatus ENSSPUG00000002633
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048186
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024062
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023144
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019204
cricetulus_griseus_crigri-picr ENSCGRG00015020878
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019026
marmota_marmota_marmota ENSMMMG00000023592
spermophilus_dauricus ENSSDAG00000000614
urocitellus_parryii ENSUPAG00010006745
otolemur_garnettii ENSOGAG00000010676
prolemur_simus ENSPSMG00000020929
capra_hircus ENSCHIG00000018500
tursiops_truncatus ENSTTRG00000011116
sus_scrofa ENSSSCG00000032984
vicugna_pacos ENSVPAG00000011485
felis_catus ENSFCAG00000004435
loxodonta_africana ENSLAFG00000013563
monodelphis_domestica ENSMODG00000016875
phascolarctos_cinereus ENSPCIG00000006593
xenopus_tropicalis ENSXETG00000009117
latimeria_chalumnae ENSLACG00000003216
