sus_scrofa ENSSSCG00000007087
tursiops_truncatus ENSTTRG00000007295
bos_mutus ENSBMUG00000004796
bos_taurus ENSBTAG00000004474
bison_bison_bison ENSBBBG00000010182
capra_hircus ENSCHIG00000008802
ovis_aries ENSOARG00000017930
canis_lupus_familiaris ENSCAFG00000005476
canis_lupus_dingo ENSCAFG00020027512
vulpes_vulpes ENSVVUG00000013129
neovison_vison ENSNVIG00000014712
mustela_putorius_furo ENSMPUG00000001304
panthera_tigris_altaica ENSPTIG00000013041
panthera_pardus ENSPPRG00000004962
felis_catus ENSFCAG00000024351
ursus_maritimus ENSUMAG00000024934
ailuropoda_melanoleuca ENSAMEG00000005306
pteropus_vampyrus ENSPVAG00000000424
equus_caballus ENSECAG00000014447
equus_asinus_asinus ENSEASG00005001968
oryctolagus_cuniculus ENSOCUG00000022625
ochotona_princeps ENSOPRG00000001012
erinaceus_europaeus ENSEEUG00000007974
sorex_araneus ENSSARG00000006848
ursus_americanus ENSUAMG00000003063
ursus_americanus ENSUAMG00000025587
ictidomys_tridecemlineatus ENSSTOG00000015409
urocitellus_parryii ENSUPAG00010003819
marmota_marmota_marmota ENSMMMG00000002735
spermophilus_dauricus ENSSDAG00000003697
castor_canadensis ENSCCNG00000011279
dipodomys_ordii ENSDORG00000008561
loxodonta_africana ENSLAFG00000009720
procavia_capensis ENSPCAG00000015937
echinops_telfairi ENSETEG00000009238
prolemur_simus ENSPSMG00000000237
propithecus_coquereli ENSPCOG00000016909
microcebus_murinus ENSMICG00000032062
otolemur_garnettii ENSOGAG00000011643
colobus_angolensis_palliatus ENSCANG00000029218
rhinopithecus_roxellana ENSRROG00000037591
cercocebus_atys ENSCATG00000030403
mandrillus_leucophaeus ENSMLEG00000036277
piliocolobus_tephrosceles ENSPTEG00000036375
pan_troglodytes ENSPTRG00000013277
pan_paniscus ENSPPAG00000028072
homo_sapiens ENSG00000125888
gorilla_gorilla ENSGGOG00000004858
pongo_abelii ENSPPYG00000010729
nomascus_leucogenys ENSNLEG00000009710
cebus_capucinus_imitator ENSCCAG00000020800
macaca_fascicularis ENSMFAG00000034171
macaca_nemestrina ENSMNEG00000039193
macaca_mulatta ENSMMUG00000016037
theropithecus_gelada ENSTGEG00000018044
chlorocebus_sabaeus ENSCSAG00000011624
rhinopithecus_bieti ENSRBIG00000008038
saimiri_boliviensis_boliviensis ENSSBOG00000033147
callithrix_jacchus ENSCJAG00000004945
aotus_nancymaae ENSANAG00000031376
papio_anubis ENSPANG00000024491
cricetulus_griseus_crigri_1.0 ENSCGRG00000004954
cricetulus_griseus_crigri-picr ENSCGRG00015007518
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014050
peromyscus_maniculatus_bairdii ENSPEMG00000015717
microtus_ochrogaster ENSMOCG00000010847
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037307
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025297
mus_spicilegus ENSMSIG00000021443
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024378
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025822
rattus_norvegicus ENSRNOG00000006032
meriones_unguiculatus ENSMUGG00000010004
nannospalax_galili ENSNGAG00000016140
jaculus_jaculus ENSJJAG00000014091
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008432
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015254
fukomys_damarensis ENSFDAG00000001986
octodon_degus ENSODEG00000011931
chinchilla_lanigera ENSCLAG00000010547
cavia_aperea ENSCAPG00000017737
cavia_porcellus ENSCPOG00000000915
carlito_syrichta ENSTSYG00000027032
dasypus_novemcinctus ENSDNOG00000019932
choloepus_hoffmanni ENSCHOG00000006620
phascolarctos_cinereus ENSPCIG00000032617
sarcophilus_harrisii ENSSHAG00000007576
monodelphis_domestica ENSMODG00000005445
gopherus_agassizii ENSGAGG00000020325
chelonoidis_abingdonii ENSCABG00000007908
chrysemys_picta_bellii ENSCPBG00000023445
crocodylus_porosus ENSCPRG00005010100
anolis_carolinensis ENSACAG00000028681
