callithrix_jacchus ENSCJAG00000048426
panthera_tigris_altaica ENSPTIG00000015395
manacus_vitellinus ENSMVIG00005000750
manacus_vitellinus ENSMVIG00005006239
manacus_vitellinus ENSMVIG00005007540
manacus_vitellinus ENSMVIG00005003264
manacus_vitellinus ENSMVIG00005002011
manacus_vitellinus ENSMVIG00005004290
manacus_vitellinus ENSMVIG00005003386
manacus_vitellinus ENSMVIG00005007642
lonchura_striata_domestica ENSLSDG00000006329
seriola_lalandi_dorsalis ENSSLDG00000003806
cynoglossus_semilaevis ENSCSEG00000000150
poecilia_reticulata ENSPREG00000021507
