propithecus_coquereli ENSPCOG00000019487
microcebus_murinus ENSMICG00000001085
prolemur_simus ENSPSMG00000024949
otolemur_garnettii ENSOGAG00000015099
pan_paniscus ENSPPAG00000024317
pan_troglodytes ENSPTRG00000012831
homo_sapiens ENSG00000173166
gorilla_gorilla ENSGGOG00000016399
pongo_abelii ENSPPYG00000013096
nomascus_leucogenys ENSNLEG00000007048
mandrillus_leucophaeus ENSMLEG00000033969
cercocebus_atys ENSCATG00000044686
papio_anubis ENSPANG00000018186
theropithecus_gelada ENSTGEG00000002184
macaca_fascicularis ENSMFAG00000003148
macaca_mulatta ENSMMUG00000000314
macaca_nemestrina ENSMNEG00000030823
chlorocebus_sabaeus ENSCSAG00000010318
piliocolobus_tephrosceles ENSPTEG00000032157
colobus_angolensis_palliatus ENSCANG00000039037
rhinopithecus_roxellana ENSRROG00000010278
rhinopithecus_bieti ENSRBIG00000043732
cebus_capucinus_imitator ENSCCAG00000029188
saimiri_boliviensis_boliviensis ENSSBOG00000036069
callithrix_jacchus ENSCJAG00000005339
aotus_nancymaae ENSANAG00000037926
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014997
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026014
mus_spicilegus ENSMSIG00000010756
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014190
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027428
rattus_norvegicus ENSRNOG00000014722
meriones_unguiculatus ENSMUGG00000024593
cricetulus_griseus_crigri-picr ENSCGRG00015028846
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019075
cricetulus_griseus_crigri_1.0 ENSCGRG00000012064
mesocricetus_auratus ENSMAUG00000008616
microtus_ochrogaster ENSMOCG00000016577
peromyscus_maniculatus_bairdii ENSPEMG00000022086
nannospalax_galili ENSNGAG00000001490
jaculus_jaculus ENSJJAG00000023840
castor_canadensis ENSCCNG00000000044
dipodomys_ordii ENSDORG00000007525
urocitellus_parryii ENSUPAG00010007232
ictidomys_tridecemlineatus ENSSTOG00000028594
spermophilus_dauricus ENSSDAG00000023687
marmota_marmota_marmota ENSMMMG00000013568
bos_taurus ENSBTAG00000027201
bos_mutus ENSBMUG00000018823
bison_bison_bison ENSBBBG00000011830
capra_hircus ENSCHIG00000025930
ovis_aries ENSOARG00000018226
tursiops_truncatus ENSTTRG00000005206
sus_scrofa ENSSSCG00000016119
vicugna_pacos ENSVPAG00000009507
equus_asinus_asinus ENSEASG00005002800
equus_caballus ENSECAG00000022376
myotis_lucifugus ENSMLUG00000008162
ursus_maritimus ENSUMAG00000022157
ailuropoda_melanoleuca ENSAMEG00000012953
canis_lupus_dingo ENSCAFG00020001630
canis_lupus_familiaris ENSCAFG00000012860
vulpes_vulpes ENSVVUG00000017063
ailuropoda_melanoleuca ENSAMEG00000002970
ursus_americanus ENSUAMG00000016837
neovison_vison ENSNVIG00000006475
mustela_putorius_furo ENSMPUG00000000405
panthera_pardus ENSPPRG00000023758
panthera_tigris_altaica ENSPTIG00000012473
felis_catus ENSFCAG00000019050
erinaceus_europaeus ENSEEUG00000012012
pteropus_vampyrus ENSPVAG00000014164
sorex_araneus ENSSARG00000000351
dasypus_novemcinctus ENSDNOG00000042029
choloepus_hoffmanni ENSCHOG00000000241
loxodonta_africana ENSLAFG00000015135
procavia_capensis ENSPCAG00000006236
oryctolagus_cuniculus ENSOCUG00000016722
ochotona_princeps ENSOPRG00000005675
carlito_syrichta ENSTSYG00000014267
tupaia_belangeri ENSTBEG00000001696
ornithorhynchus_anatinus ENSOANG00000006769
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005031
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001311
fukomys_damarensis ENSFDAG00000013675
cavia_aperea ENSCAPG00000016782
cavia_porcellus ENSCPOG00000020239
octodon_degus ENSODEG00000013477
chinchilla_lanigera ENSCLAG00000003175
notamacropus_eugenii ENSMEUG00000002515
phascolarctos_cinereus ENSPCIG00000015308
monodelphis_domestica ENSMODG00000016237
sarcophilus_harrisii ENSSHAG00000007679
ornithorhynchus_anatinus ENSOANG00000022762
lepidothrix_coronata ENSLCOG00000016142
manacus_vitellinus ENSMVIG00005018572
lonchura_striata_domestica ENSLSDG00000007524
taeniopygia_guttata ENSTGUG00000009747
serinus_canaria ENSSCAG00000001749
junco_hyemalis ENSJHYG00000009697
zonotrichia_albicollis ENSZALG00000017821
parus_major ENSPMJG00000018308
cyanistes_caeruleus ENSCCEG00000020441
ficedula_albicollis ENSFALG00000003713
melopsittacus_undulatus ENSMUNG00000011158
calidris_pygmaea ENSCPGG00000001825
calidris_pugnax ENSCPUG00000006123
anser_brachyrhynchus ENSABRG00000018013
anas_platyrhynchos_platyrhynchos ENSAPLG00000000860
gallus_gallus ENSGALG00000054939
meleagris_gallopavo ENSMGAG00000008794
coturnix_japonica ENSCJPG00005015370
numida_meleagris ENSNMEG00000021838
apteryx_haastii ENSAHAG00000014621
apteryx_rowi ENSARWG00000003771
apteryx_owenii ENSAOWG00000018349
dromaius_novaehollandiae ENSDNVG00000016417
nothoprocta_perdicaria ENSNPEG00000008828
crocodylus_porosus ENSCPRG00005001588
gopherus_agassizii ENSGAGG00000014242
chelonoidis_abingdonii ENSCABG00000016929
chrysemys_picta_bellii ENSCPBG00000008797
pelodiscus_sinensis ENSPSIG00000013874
pogona_vitticeps ENSPVIG00000006038
anolis_carolinensis ENSACAG00000004500
notechis_scutatus ENSNSUG00000009331
salvator_merianae ENSSMRG00000020776
sphenodon_punctatus ENSSPUG00000013770
xenopus_tropicalis ENSXETG00000031265
latimeria_chalumnae ENSLACG00000011539
haplochromis_burtoni ENSHBUG00000007232
astatotilapia_calliptera ENSACLG00000027897
pundamilia_nyererei ENSPNYG00000016134
oreochromis_niloticus ENSONIG00000012220
amphilophus_citrinellus ENSACIG00000000865
kryptolebias_marmoratus ENSKMAG00000019447
xiphophorus_maculatus ENSXMAG00000012467
xiphophorus_couchianus ENSXCOG00000020265
gambusia_affinis ENSGAFG00000005557
poecilia_formosa ENSPFOG00000004388
poecilia_latipinna ENSPLAG00000014205
poecilia_mexicana ENSPMEG00000007059
poecilia_reticulata ENSPREG00000010336
cyprinodon_variegatus ENSCVAG00000014733
fundulus_heteroclitus ENSFHEG00000020732
oryzias_latipes_asm223467v1 ENSORLG00000005250
oryzias_latipes_asm223471v1 ENSORLG00020016461
oryzias_latipes_asm223469v1 ENSORLG00015014845
amphiprion_percula ENSAPEG00000004718
amphiprion_ocellaris ENSAOCG00000003581
acanthochromis_polyacanthus ENSAPOG00000004215
stegastes_partitus ENSSPAG00000019756
mastacembelus_armatus ENSMAMG00000022248
anabas_testudineus ENSATEG00000003709
seriola_dumerili ENSSDUG00000021717
cynoglossus_semilaevis ENSCSEG00000010351
takifugu_rubripes ENSTRUG00000008306
tetraodon_nigroviridis ENSTNIG00000014526
labrus_bergylta ENSLBEG00000025383
hippocampus_comes ENSHCOG00000009809
cynoglossus_semilaevis ENSCSEG00000010358
oryzias_melastigma ENSOMEG00000007149
neolamprologus_brichardi ENSNBRG00000007182
scophthalmus_maximus ENSSMAG00000007021
gasterosteus_aculeatus ENSGACG00000015152
seriola_lalandi_dorsalis ENSSLDG00000012713
amphiprion_ocellaris ENSAOCG00000016830
mola_mola ENSMMOG00000006145
monopterus_albus ENSMALG00000010682
maylandia_zebra ENSMZEG00005007411
maylandia_zebra ENSMZEG00005008211
maylandia_zebra ENSMZEG00005005956
periophthalmus_magnuspinnatus ENSPMGG00000013000
gadus_morhua ENSGMOG00000000572
esox_lucius ENSELUG00000021497
pygocentrus_nattereri ENSPNAG00000010883
astyanax_mexicanus ENSAMXG00000034542
ictalurus_punctatus ENSIPUG00000021730
danio_rerio ENSDARG00000061732
scleropages_formosus ENSSFOG00015017453
paramormyrops_kingsleyae ENSPKIG00000008230
scleropages_formosus ENSSFOG00015006320
oryzias_latipes_asm223469v1 ENSORLG00015023188
oryzias_latipes_asm223467v1 ENSORLG00000025311
xiphophorus_couchianus ENSXCOG00000017130
periophthalmus_magnuspinnatus ENSPMGG00000017967
poecilia_latipinna ENSPLAG00000014126
poecilia_reticulata ENSPREG00000016836
poecilia_formosa ENSPFOG00000018383
poecilia_mexicana ENSPMEG00000016664
xiphophorus_maculatus ENSXMAG00000030101
gambusia_affinis ENSGAFG00000006755
cyprinodon_variegatus ENSCVAG00000010068
fundulus_heteroclitus ENSFHEG00000010329
kryptolebias_marmoratus ENSKMAG00000002345
oryzias_latipes_asm223471v1 ENSORLG00020022374
oryzias_latipes_asm223469v1 ENSORLG00015023190
oryzias_melastigma ENSOMEG00000018419
amphiprion_ocellaris ENSAOCG00000011266
amphiprion_percula ENSAPEG00000014132
acanthochromis_polyacanthus ENSAPOG00000020778
stegastes_partitus ENSSPAG00000000579
seriola_lalandi_dorsalis ENSSLDG00000025441
seriola_dumerili ENSSDUG00000015561
cynoglossus_semilaevis ENSCSEG00000004871
monopterus_albus ENSMALG00000016696
astatotilapia_calliptera ENSACLG00000010455
maylandia_zebra ENSMZEG00005021416
haplochromis_burtoni ENSHBUG00000013823
pundamilia_nyererei ENSPNYG00000009904
oreochromis_niloticus ENSONIG00000011029
neolamprologus_brichardi ENSNBRG00000000791
amphilophus_citrinellus ENSACIG00000017703
scophthalmus_maximus ENSSMAG00000011487
mastacembelus_armatus ENSMAMG00000001548
anabas_testudineus ENSATEG00000023063
mola_mola ENSMMOG00000006482
labrus_bergylta ENSLBEG00000023323
gasterosteus_aculeatus ENSGACG00000008565
takifugu_rubripes ENSTRUG00000015785
tetraodon_nigroviridis ENSTNIG00000011537
hippocampus_comes ENSHCOG00000015930
gadus_morhua ENSGMOG00000006687
esox_lucius ENSELUG00000011416
pygocentrus_nattereri ENSPNAG00000011070
astyanax_mexicanus ENSAMXG00000016673
ictalurus_punctatus ENSIPUG00000011891
danio_rerio ENSDARG00000006301
lepisosteus_oculatus ENSLOCG00000010348
petromyzon_marinus ENSPMAG00000005701
eptatretus_burgeri ENSEBUG00000012829
