heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011930
cavia_porcellus ENSCPOG00000024178
peromyscus_maniculatus_bairdii ENSPEMG00000014876
mus_spicilegus ENSMSIG00000026391
castor_canadensis ENSCCNG00000001795
marmota_marmota_marmota ENSMMMG00000012175
spermophilus_dauricus ENSSDAG00000005625
oryctolagus_cuniculus ENSOCUG00000025070
marmota_marmota_marmota ENSMMMG00000012186
capra_hircus ENSCHIG00000007852
ovis_aries ENSOARG00000011682
bos_mutus ENSBMUG00000016919
bos_taurus ENSBTAG00000030667
bison_bison_bison ENSBBBG00000002036
sus_scrofa ENSSSCG00000026689
pteropus_vampyrus ENSPVAG00000001996
equus_caballus ENSECAG00000009302
ursus_maritimus ENSUMAG00000000182
vulpes_vulpes ENSVVUG00000023290
panthera_tigris_altaica ENSPTIG00000014657
dasypus_novemcinctus ENSDNOG00000018933
sphenodon_punctatus ENSSPUG00000008984
lepisosteus_oculatus ENSLOCG00000007373
eptatretus_burgeri ENSEBUG00000005971
drosophila_melanogaster FBgn0039070
