ursus_maritimus ENSUMAG00000010783
ursus_americanus ENSUAMG00000022025
ailuropoda_melanoleuca ENSAMEG00000018642
mustela_putorius_furo ENSMPUG00000018443
neovison_vison ENSNVIG00000019132
canis_lupus_dingo ENSCAFG00020006782
canis_lupus_familiaris ENSCAFG00000031946
vulpes_vulpes ENSVVUG00000009676
panthera_tigris_altaica ENSPTIG00000008384
panthera_pardus ENSPPRG00000010947
felis_catus ENSFCAG00000014644
capra_hircus ENSCHIG00000012031
ovis_aries ENSOARG00000018869
bos_mutus ENSBMUG00000002676
bos_taurus ENSBTAG00000055282
bison_bison_bison ENSBBBG00000005261
equus_asinus_asinus ENSEASG00005019763
equus_caballus ENSECAG00000003417
myotis_lucifugus ENSMLUG00000007978
pteropus_vampyrus ENSPVAG00000004140
erinaceus_europaeus ENSEEUG00000004246
pan_troglodytes ENSPTRG00000022156
pan_paniscus ENSPPAG00000003384
homo_sapiens ENSG00000165376
gorilla_gorilla ENSGGOG00000038544
pongo_abelii ENSPPYG00000020607
nomascus_leucogenys ENSNLEG00000027513
piliocolobus_tephrosceles ENSPTEG00000031292
colobus_angolensis_palliatus ENSCANG00000020906
rhinopithecus_bieti ENSRBIG00000009538
rhinopithecus_roxellana ENSRROG00000006141
mandrillus_leucophaeus ENSMLEG00000006814
cercocebus_atys ENSCATG00000022534
chlorocebus_sabaeus ENSCSAG00000009239
theropithecus_gelada ENSTGEG00000014420
papio_anubis ENSPANG00000026202
macaca_fascicularis ENSMFAG00000030508
macaca_nemestrina ENSMNEG00000001269
macaca_mulatta ENSMMUG00000013146
callithrix_jacchus ENSCJAG00000008030
saimiri_boliviensis_boliviensis ENSSBOG00000019074
cebus_capucinus_imitator ENSCCAG00000009135
aotus_nancymaae ENSANAG00000017463
carlito_syrichta ENSTSYG00000031546
prolemur_simus ENSPSMG00000012768
microcebus_murinus ENSMICG00000015690
otolemur_garnettii ENSOGAG00000012903
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004501
cricetulus_griseus_crigri_1.0 ENSCGRG00000019412
cricetulus_griseus_crigri-picr ENSCGRG00015017175
mesocricetus_auratus ENSMAUG00000003150
peromyscus_maniculatus_bairdii ENSPEMG00000012046
microtus_ochrogaster ENSMOCG00000002260
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034615
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047230
mus_spicilegus ENSMSIG00000014684
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033445
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031984
rattus_norvegicus ENSRNOG00000054495
meriones_unguiculatus ENSMUGG00000024159
nannospalax_galili ENSNGAG00000024381
jaculus_jaculus ENSJJAG00000011051
castor_canadensis ENSCCNG00000026955
urocitellus_parryii ENSUPAG00010013860
spermophilus_dauricus ENSSDAG00000002273
ictidomys_tridecemlineatus ENSSTOG00000019786
marmota_marmota_marmota ENSMMMG00000011454
chinchilla_lanigera ENSCLAG00000003436
cavia_porcellus ENSCPOG00000037435
octodon_degus ENSODEG00000019704
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003290
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016852
fukomys_damarensis ENSFDAG00000012052
tupaia_belangeri ENSTBEG00000007149
oryctolagus_cuniculus ENSOCUG00000012629
ochotona_princeps ENSOPRG00000004280
loxodonta_africana ENSLAFG00000017282
echinops_telfairi ENSETEG00000000538
dasypus_novemcinctus ENSDNOG00000042673
sus_scrofa ENSSSCG00000037234
notamacropus_eugenii ENSMEUG00000002643
phascolarctos_cinereus ENSPCIG00000007077
sarcophilus_harrisii ENSSHAG00000004659
monodelphis_domestica ENSMODG00000002246
ornithorhynchus_anatinus ENSOANG00000007386
apteryx_haastii ENSAHAG00000019196
apteryx_owenii ENSAOWG00000016341
apteryx_rowi ENSARWG00000002477
dromaius_novaehollandiae ENSDNVG00000003468
nothoprocta_perdicaria ENSNPEG00000006174
anser_brachyrhynchus ENSABRG00000001305
anas_platyrhynchos_platyrhynchos ENSAPLG00000001849
meleagris_gallopavo ENSMGAG00000005246
coturnix_japonica ENSCJPG00005016886
gallus_gallus ENSGALG00000007311
numida_meleagris ENSNMEG00000020748
lepidothrix_coronata ENSLCOG00000014741
manacus_vitellinus ENSMVIG00005002852
lonchura_striata_domestica ENSLSDG00000007015
taeniopygia_guttata ENSTGUG00000006446
junco_hyemalis ENSJHYG00000002503
serinus_canaria ENSSCAG00000017039
zonotrichia_albicollis ENSZALG00000002616
parus_major ENSPMJG00000012170
cyanistes_caeruleus ENSCCEG00000009408
ficedula_albicollis ENSFALG00000011217
melopsittacus_undulatus ENSMUNG00000012327
calidris_pygmaea ENSCPGG00000011263
calidris_pugnax ENSCPUG00000001131
crocodylus_porosus ENSCPRG00005007070
gopherus_agassizii ENSGAGG00000011043
chelonoidis_abingdonii ENSCABG00000009230
chrysemys_picta_bellii ENSCPBG00000001780
pogona_vitticeps ENSPVIG00000015965
anolis_carolinensis ENSACAG00000014144
notechis_scutatus ENSNSUG00000018292
salvator_merianae ENSSMRG00000003466
xenopus_tropicalis ENSXETG00000018124
latimeria_chalumnae ENSLACG00000013154
scleropages_formosus ENSSFOG00015009964
paramormyrops_kingsleyae ENSPKIG00000008818
oryzias_latipes_asm223469v1 ENSORLG00015014362
oryzias_latipes_asm223467v1 ENSORLG00000015354
oryzias_latipes_asm223471v1 ENSORLG00020008072
oryzias_melastigma ENSOMEG00000023822
fundulus_heteroclitus ENSFHEG00000006037
amphiprion_ocellaris ENSAOCG00000000298
amphiprion_percula ENSAPEG00000009989
acanthochromis_polyacanthus ENSAPOG00000017694
stegastes_partitus ENSSPAG00000010759
pundamilia_nyererei ENSPNYG00000012668
haplochromis_burtoni ENSHBUG00000014300
astatotilapia_calliptera ENSACLG00000024120
maylandia_zebra ENSMZEG00005011668
oreochromis_niloticus ENSONIG00000020891
amphilophus_citrinellus ENSACIG00000014016
seriola_lalandi_dorsalis ENSSLDG00000002249
mastacembelus_armatus ENSMAMG00000000588
monopterus_albus ENSMALG00000010767
anabas_testudineus ENSATEG00000022978
tetraodon_nigroviridis ENSTNIG00000004693
takifugu_rubripes ENSTRUG00000009854
xiphophorus_maculatus ENSXMAG00000024391
xiphophorus_couchianus ENSXCOG00000018743
gambusia_affinis ENSGAFG00000011064
poecilia_latipinna ENSPLAG00000022754
poecilia_reticulata ENSPREG00000013785
poecilia_mexicana ENSPMEG00000002385
poecilia_formosa ENSPFOG00000020532
cyprinodon_variegatus ENSCVAG00000002609
kryptolebias_marmoratus ENSKMAG00000013422
neolamprologus_brichardi ENSNBRG00000014454
neolamprologus_brichardi ENSNBRG00000000218
gasterosteus_aculeatus ENSGACG00000020834
mola_mola ENSMMOG00000014576
labrus_bergylta ENSLBEG00000023590
labrus_bergylta ENSLBEG00000017082
scophthalmus_maximus ENSSMAG00000014506
seriola_dumerili ENSSDUG00000008792
