eptatretus_burgeri ENSEBUG00000007165
petromyzon_marinus ENSPMAG00000004550
scleropages_formosus ENSSFOG00015010321
paramormyrops_kingsleyae ENSPKIG00000025352
astyanax_mexicanus ENSAMXG00000039102
pygocentrus_nattereri ENSPNAG00000009979
ictalurus_punctatus ENSIPUG00000022290
danio_rerio ENSDARG00000028715
takifugu_rubripes ENSTRUG00000012972
tetraodon_nigroviridis ENSTNIG00000018396
mola_mola ENSMMOG00000002903
gasterosteus_aculeatus ENSGACG00000008767
labrus_bergylta ENSLBEG00000024051
seriola_dumerili ENSSDUG00000007055
seriola_lalandi_dorsalis ENSSLDG00000016434
scophthalmus_maximus ENSSMAG00000019499
monopterus_albus ENSMALG00000012194
mastacembelus_armatus ENSMAMG00000011650
anabas_testudineus ENSATEG00000002949
xiphophorus_maculatus ENSXMAG00000014375
xiphophorus_couchianus ENSXCOG00000019709
gambusia_affinis ENSGAFG00000007363
poecilia_formosa ENSPFOG00000003708
poecilia_latipinna ENSPLAG00000018576
poecilia_mexicana ENSPMEG00000023687
poecilia_reticulata ENSPREG00000019880
fundulus_heteroclitus ENSFHEG00000017306
cyprinodon_variegatus ENSCVAG00000010690
kryptolebias_marmoratus ENSKMAG00000013404
oryzias_latipes_asm223467v1 ENSORLG00000008352
oryzias_latipes_asm223471v1 ENSORLG00020013433
oryzias_latipes_asm223469v1 ENSORLG00015019769
oryzias_melastigma ENSOMEG00000001020
maylandia_zebra ENSMZEG00005015089
pundamilia_nyererei ENSPNYG00000017223
astatotilapia_calliptera ENSACLG00000006399
haplochromis_burtoni ENSHBUG00000016052
neolamprologus_brichardi ENSNBRG00000014659
oreochromis_niloticus ENSONIG00000003121
amphilophus_citrinellus ENSACIG00000014511
amphiprion_ocellaris ENSAOCG00000024035
amphiprion_percula ENSAPEG00000022645
acanthochromis_polyacanthus ENSAPOG00000004804
stegastes_partitus ENSSPAG00000003284
hippocampus_comes ENSHCOG00000014681
cynoglossus_semilaevis ENSCSEG00000004684
periophthalmus_magnuspinnatus ENSPMGG00000012207
gadus_morhua ENSGMOG00000013568
esox_lucius ENSELUG00000007436
lepisosteus_oculatus ENSLOCG00000010478
sarcophilus_harrisii ENSSHAG00000000367
monodelphis_domestica ENSMODG00000022672
phascolarctos_cinereus ENSPCIG00000013324
sarcophilus_harrisii ENSSHAG00000012259
monodelphis_domestica ENSMODG00000010034
notamacropus_eugenii ENSMEUG00000011058
phascolarctos_cinereus ENSPCIG00000009628
capra_hircus ENSCHIG00000011745
ovis_aries ENSOARG00000008810
bos_mutus ENSBMUG00000012091
bos_taurus ENSBTAG00000010387
bison_bison_bison ENSBBBG00000013617
tursiops_truncatus ENSTTRG00000003896
sus_scrofa ENSSSCG00000011045
vicugna_pacos ENSVPAG00000002352
erinaceus_europaeus ENSEEUG00000004300
sorex_araneus ENSSARG00000005732
myotis_lucifugus ENSMLUG00000013856
pteropus_vampyrus ENSPVAG00000004988
ursus_maritimus ENSUMAG00000012547
ursus_maritimus ENSUMAG00000012551
ursus_americanus ENSUAMG00000003618
ailuropoda_melanoleuca ENSAMEG00000002689
neovison_vison ENSNVIG00000001573
mustela_putorius_furo ENSMPUG00000011496
canis_lupus_familiaris ENSCAFG00000023575
canis_lupus_dingo ENSCAFG00020008196
vulpes_vulpes ENSVVUG00000005044
panthera_pardus ENSPPRG00000009362
panthera_tigris_altaica ENSPTIG00000009038
felis_catus ENSFCAG00000031294
equus_caballus ENSECAG00000000469
equus_asinus_asinus ENSEASG00005019806
prolemur_simus ENSPSMG00000021584
microcebus_murinus ENSMICG00000004501
otolemur_garnettii ENSOGAG00000008064
colobus_angolensis_palliatus ENSCANG00000041208
piliocolobus_tephrosceles ENSPTEG00000028851
rhinopithecus_bieti ENSRBIG00000036764
rhinopithecus_roxellana ENSRROG00000009328
macaca_mulatta ENSMMUG00000023766
macaca_nemestrina ENSMNEG00000041792
macaca_fascicularis ENSMFAG00000039849
cercocebus_atys ENSCATG00000038269
mandrillus_leucophaeus ENSMLEG00000028128
chlorocebus_sabaeus ENSCSAG00000012834
