vulpes_vulpes ENSVVUG00000028725
canis_lupus_dingo ENSCAFG00020016883
neovison_vison ENSNVIG00000017533
ursus_americanus ENSUAMG00000021733
erinaceus_europaeus ENSEEUG00000005731
sus_scrofa ENSSSCG00000036224
equus_caballus ENSECAG00000001923
equus_asinus_asinus ENSEASG00005001833
cricetulus_griseus_crigri-picr ENSCGRG00015018254
peromyscus_maniculatus_bairdii ENSPEMG00000030073
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076609
mus_spicilegus ENSMSIG00000018565
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000012
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000012
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0000005
rattus_norvegicus ENSRNOG00000049829
meriones_unguiculatus ENSMUGG00000015716
meriones_unguiculatus ENSMUGG00000015719
prolemur_simus ENSPSMG00000022700
otolemur_garnettii ENSOGAG00000024766
nomascus_leucogenys ENSNLEG00000030584
pongo_abelii ENSPPYG00000012198
rhinopithecus_bieti ENSRBIG00000030948
rhinopithecus_roxellana ENSRROG00000036801
piliocolobus_tephrosceles ENSPTEG00000028145
colobus_angolensis_palliatus ENSCANG00000033224
macaca_mulatta ENSMMUG00000046927
macaca_fascicularis ENSMFAG00000030705
macaca_nemestrina ENSMNEG00000037667
chlorocebus_sabaeus ENSCSAG00000016459
theropithecus_gelada ENSTGEG00000027979
cercocebus_atys ENSCATG00000042749
mandrillus_leucophaeus ENSMLEG00000022333
papio_anubis ENSPANG00000014414
cebus_capucinus_imitator ENSCCAG00000003458
callithrix_jacchus ENSCJAG00000008534
aotus_nancymaae ENSANAG00000019679
pan_troglodytes ENSPTRG00000047067
pan_paniscus ENSPPAG00000008361
gorilla_gorilla ENSGGOG00000023976
homo_sapiens ENSG00000211592
panthera_pardus ENSPPRG00000005681
urocitellus_parryii ENSUPAG00010018047
echinops_telfairi ENSETEG00000004221
oryctolagus_cuniculus ENSOCUG00000027394
oryctolagus_cuniculus ENSOCUG00000025374
dasypus_novemcinctus ENSDNOG00000043741
phascolarctos_cinereus ENSPCIG00000015006
sarcophilus_harrisii ENSSHAG00000004890
ornithorhynchus_anatinus ENSOANG00000031266
sphenodon_punctatus ENSSPUG00000005219
pogona_vitticeps ENSPVIG00000004640
xenopus_tropicalis ENSXETG00000024932
astyanax_mexicanus ENSAMXG00000036191
astyanax_mexicanus ENSAMXG00000033936
astyanax_mexicanus ENSAMXG00000043133
astyanax_mexicanus ENSAMXG00000035282
ictalurus_punctatus ENSIPUG00000008321
xiphophorus_maculatus ENSXMAG00000027076
xiphophorus_maculatus ENSXMAG00000023941
xiphophorus_couchianus ENSXCOG00000010553
poecilia_reticulata ENSPREG00000010931
poecilia_mexicana ENSPMEG00000002850
fundulus_heteroclitus ENSFHEG00000015984
cyprinodon_variegatus ENSCVAG00000017261
cyprinodon_variegatus ENSCVAG00000009942
kryptolebias_marmoratus ENSKMAG00000014146
amphiprion_ocellaris ENSAOCG00000019272
lepisosteus_oculatus ENSLOCG00000000462
lepisosteus_oculatus ENSLOCG00000000190
