neolamprologus_brichardi ENSNBRG00000023008
eptatretus_burgeri ENSEBUG00000004281
petromyzon_marinus ENSPMAG00000003568
paramormyrops_kingsleyae ENSPKIG00000025116
scleropages_formosus ENSSFOG00015000412
tetraodon_nigroviridis ENSTNIG00000001424
tetraodon_nigroviridis ENSTNIG00000005627
takifugu_rubripes ENSTRUG00000012564
tetraodon_nigroviridis ENSTNIG00000019550
mola_mola ENSMMOG00000008110
labrus_bergylta ENSLBEG00000028606
cynoglossus_semilaevis ENSCSEG00000016468
poecilia_formosa ENSPFOG00000000915
poecilia_mexicana ENSPMEG00000013688
poecilia_latipinna ENSPLAG00000010313
poecilia_reticulata ENSPREG00000017775
xiphophorus_maculatus ENSXMAG00000005002
xiphophorus_couchianus ENSXCOG00000002019
gambusia_affinis ENSGAFG00000020041
fundulus_heteroclitus ENSFHEG00000010526
cyprinodon_variegatus ENSCVAG00000005105
kryptolebias_marmoratus ENSKMAG00000021007
oryzias_latipes_asm223469v1 ENSORLG00015019289
oryzias_latipes_asm223471v1 ENSORLG00020020799
oryzias_latipes_asm223467v1 ENSORLG00000012603
oryzias_melastigma ENSOMEG00000021339
maylandia_zebra ENSMZEG00005019189
astatotilapia_calliptera ENSACLG00000014433
haplochromis_burtoni ENSHBUG00000017629
pundamilia_nyererei ENSPNYG00000015187
oreochromis_niloticus ENSONIG00000014177
amphilophus_citrinellus ENSACIG00000007628
seriola_dumerili ENSSDUG00000018148
seriola_lalandi_dorsalis ENSSLDG00000012801
scophthalmus_maximus ENSSMAG00000001990
gasterosteus_aculeatus ENSGACG00000019293
mastacembelus_armatus ENSMAMG00000023381
monopterus_albus ENSMALG00000013440
anabas_testudineus ENSATEG00000000265
amphiprion_ocellaris ENSAOCG00000004069
amphiprion_percula ENSAPEG00000016756
acanthochromis_polyacanthus ENSAPOG00000016454
stegastes_partitus ENSSPAG00000004483
hippocampus_comes ENSHCOG00000009378
periophthalmus_magnuspinnatus ENSPMGG00000015227
gadus_morhua ENSGMOG00000006150
esox_lucius ENSELUG00000010873
pygocentrus_nattereri ENSPNAG00000010084
astyanax_mexicanus ENSAMXG00000009721
ictalurus_punctatus ENSIPUG00000019686
danio_rerio ENSDARG00000058030
lepisosteus_oculatus ENSLOCG00000016720
parus_major ENSPMJG00000001887
cyanistes_caeruleus ENSCCEG00000020316
ficedula_albicollis ENSFALG00000001925
lonchura_striata_domestica ENSLSDG00000003909
taeniopygia_guttata ENSTGUG00000002324
serinus_canaria ENSSCAG00000009459
zonotrichia_albicollis ENSZALG00000012298
junco_hyemalis ENSJHYG00000002152
lepidothrix_coronata ENSLCOG00000009712
manacus_vitellinus ENSMVIG00005008162
calidris_pugnax ENSCPUG00000002259
calidris_pugnax ENSCPUG00000002808
calidris_pygmaea ENSCPGG00000000816
melopsittacus_undulatus ENSMUNG00000015058
meleagris_gallopavo ENSMGAG00000005123
gallus_gallus ENSGALG00000035201
coturnix_japonica ENSCJPG00005004679
numida_meleagris ENSNMEG00000003413
anser_brachyrhynchus ENSABRG00000013965
anas_platyrhynchos_platyrhynchos ENSAPLG00000006261
apteryx_owenii ENSAOWG00000004089
apteryx_haastii ENSAHAG00000014249
dromaius_novaehollandiae ENSDNVG00000011498
nothoprocta_perdicaria ENSNPEG00000001800
crocodylus_porosus ENSCPRG00005000247
gopherus_agassizii ENSGAGG00000009415
chelonoidis_abingdonii ENSCABG00000001160
chrysemys_picta_bellii ENSCPBG00000024375
pelodiscus_sinensis ENSPSIG00000016234
pogona_vitticeps ENSPVIG00000003051
anolis_carolinensis ENSACAG00000001012
notechis_scutatus ENSNSUG00000004291
salvator_merianae ENSSMRG00000011877
sphenodon_punctatus ENSSPUG00000012185
phascolarctos_cinereus ENSPCIG00000024396
notamacropus_eugenii ENSMEUG00000015004
sarcophilus_harrisii ENSSHAG00000018420
monodelphis_domestica ENSMODG00000016926
castor_canadensis ENSCCNG00000021729
dipodomys_ordii ENSDORG00000004465
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024057
mus_spicilegus ENSMSIG00000010832
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109865
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023139
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019199
rattus_norvegicus ENSRNOG00000015212
meriones_unguiculatus ENSMUGG00000024893
peromyscus_maniculatus_bairdii ENSPEMG00000010294
microtus_ochrogaster ENSMOCG00000020460
cricetulus_griseus_crigri_1.0 ENSCGRG00000017333
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009113
cricetulus_griseus_crigri-picr ENSCGRG00015021310
nannospalax_galili ENSNGAG00000008769
jaculus_jaculus ENSJJAG00000017953
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012318
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017522
fukomys_damarensis ENSFDAG00000016984
octodon_degus ENSODEG00000003184
chinchilla_lanigera ENSCLAG00000008946
cavia_porcellus ENSCPOG00000008489
cavia_aperea ENSCAPG00000017069
urocitellus_parryii ENSUPAG00010006511
spermophilus_dauricus ENSSDAG00000004299
ictidomys_tridecemlineatus ENSSTOG00000022527
marmota_marmota_marmota ENSMMMG00000023545
oryctolagus_cuniculus ENSOCUG00000012875
ochotona_princeps ENSOPRG00000009443
tupaia_belangeri ENSTBEG00000005668
pan_troglodytes ENSPTRG00000002311
pan_paniscus ENSPPAG00000013447
gorilla_gorilla ENSGGOG00000004669
homo_sapiens ENSG00000187522
pongo_abelii ENSPPYG00000002105
nomascus_leucogenys ENSNLEG00000012142
piliocolobus_tephrosceles ENSPTEG00000028212
colobus_angolensis_palliatus ENSCANG00000035169
rhinopithecus_bieti ENSRBIG00000019354
rhinopithecus_roxellana ENSRROG00000042394
macaca_nemestrina ENSMNEG00000033128
macaca_mulatta ENSMMUG00000017173
macaca_fascicularis ENSMFAG00000044126
mandrillus_leucophaeus ENSMLEG00000039837
papio_anubis ENSPANG00000023296
theropithecus_gelada ENSTGEG00000008217
cercocebus_atys ENSCATG00000042891
chlorocebus_sabaeus ENSCSAG00000013062
cebus_capucinus_imitator ENSCCAG00000033935
callithrix_jacchus ENSCJAG00000009318
saimiri_boliviensis_boliviensis ENSSBOG00000022748
aotus_nancymaae ENSANAG00000025949
carlito_syrichta ENSTSYG00000014478
propithecus_coquereli ENSPCOG00000018820
microcebus_murinus ENSMICG00000002793
otolemur_garnettii ENSOGAG00000004728
choloepus_hoffmanni ENSCHOG00000012485
loxodonta_africana ENSLAFG00000006408
procavia_capensis ENSPCAG00000000618
ailuropoda_melanoleuca ENSAMEG00000011471
ursus_americanus ENSUAMG00000002856
neovison_vison ENSNVIG00000024834
mustela_putorius_furo ENSMPUG00000000926
canis_lupus_familiaris ENSCAFG00000004702
canis_lupus_dingo ENSCAFG00020007951
vulpes_vulpes ENSVVUG00000005322
panthera_pardus ENSPPRG00000005512
panthera_tigris_altaica ENSPTIG00000012198
felis_catus ENSFCAG00000009154
pteropus_vampyrus ENSPVAG00000013928
equus_asinus_asinus ENSEASG00005019388
capra_hircus ENSCHIG00000022952
ovis_aries ENSOARG00000007085
bison_bison_bison ENSBBBG00000002971
bos_mutus ENSBMUG00000022767
tursiops_truncatus ENSTTRG00000004396
sus_scrofa ENSSSCG00000011051
vicugna_pacos ENSVPAG00000008597
erinaceus_europaeus ENSEEUG00000015712
equus_caballus ENSECAG00000018882
ursus_maritimus ENSUMAG00000012366
bos_taurus ENSBTAG00000016451
myotis_lucifugus ENSMLUG00000016367
echinops_telfairi ENSETEG00000017994
dasypus_novemcinctus ENSDNOG00000043841
sorex_araneus ENSSARG00000007334
ornithorhynchus_anatinus ENSOANG00000019752
ornithorhynchus_anatinus ENSOANG00000028486
bos_mutus ENSBMUG00000022963
bison_bison_bison ENSBBBG00000010496
capra_hircus ENSCHIG00000015656
homo_sapiens ENSG00000284024
prolemur_simus ENSPSMG00000020806
chelonoidis_abingdonii ENSCABG00000001157
xenopus_tropicalis ENSXETG00000009112
latimeria_chalumnae ENSLACG00000010343
drosophila_melanogaster FBgn0035878
saccharomyces_cerevisiae_strain_s288c YHR064C
