oryzias_melastigma ENSOMEG00000010738
poecilia_formosa ENSPFOG00000021935
haplochromis_burtoni ENSHBUG00000007095
esox_lucius ENSELUG00000015655
pygocentrus_nattereri ENSPNAG00000002808
astyanax_mexicanus ENSAMXG00000032287
ictalurus_punctatus ENSIPUG00000023345
danio_rerio ENSDARG00000092483
scleropages_formosus ENSSFOG00015023576
paramormyrops_kingsleyae ENSPKIG00000011690
numida_meleagris ENSNMEG00000007382
gallus_gallus ENSGALG00000030701
calidris_pugnax ENSCPUG00000018243
pogona_vitticeps ENSPVIG00000013796
anolis_carolinensis ENSACAG00000004585
notechis_scutatus ENSNSUG00000012062
sphenodon_punctatus ENSSPUG00000017997
gopherus_agassizii ENSGAGG00000023754
chrysemys_picta_bellii ENSCPBG00000011060
crocodylus_porosus ENSCPRG00005002226
oryctolagus_cuniculus ENSOCUG00000007610
oryctolagus_cuniculus ENSOCUG00000006844
ochotona_princeps ENSOPRG00000000808
meriones_unguiculatus ENSMUGG00000003376
microtus_ochrogaster ENSMOCG00000009860
peromyscus_maniculatus_bairdii ENSPEMG00000022559
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015818
cricetulus_griseus_crigri_1.0 ENSCGRG00000016958
cricetulus_griseus_crigri-picr ENSCGRG00015009620
mesocricetus_auratus ENSMAUG00000019755
mus_spicilegus ENSMSIG00000001343
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027509
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040795
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026529
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028861
rattus_norvegicus ENSRNOG00000048553
nannospalax_galili ENSNGAG00000016738
jaculus_jaculus ENSJJAG00000013086
urocitellus_parryii ENSUPAG00010005213
dipodomys_ordii ENSDORG00000028953
chinchilla_lanigera ENSCLAG00000008687
cavia_porcellus ENSCPOG00000034197
octodon_degus ENSODEG00000003568
fukomys_damarensis ENSFDAG00000010915
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012694
propithecus_coquereli ENSPCOG00000018338
prolemur_simus ENSPSMG00000020206
otolemur_garnettii ENSOGAG00000034718
pan_troglodytes ENSPTRG00000000474
homo_sapiens ENSG00000160051
gorilla_gorilla ENSGGOG00000001576
pongo_abelii ENSPPYG00000029533
nomascus_leucogenys ENSNLEG00000002395
macaca_fascicularis ENSMFAG00000041971
macaca_mulatta ENSMMUG00000017718
macaca_nemestrina ENSMNEG00000025378
papio_anubis ENSPANG00000016017
theropithecus_gelada ENSTGEG00000015362
cercocebus_atys ENSCATG00000033168
mandrillus_leucophaeus ENSMLEG00000032448
chlorocebus_sabaeus ENSCSAG00000001048
colobus_angolensis_palliatus ENSCANG00000007919
piliocolobus_tephrosceles ENSPTEG00000024115
rhinopithecus_bieti ENSRBIG00000027307
rhinopithecus_roxellana ENSRROG00000029490
cebus_capucinus_imitator ENSCCAG00000034745
saimiri_boliviensis_boliviensis ENSSBOG00000028040
callithrix_jacchus ENSCJAG00000006762
aotus_nancymaae ENSANAG00000037802
ursus_americanus ENSUAMG00000014287
ursus_maritimus ENSUMAG00000008447
ailuropoda_melanoleuca ENSAMEG00000007823
mustela_putorius_furo ENSMPUG00000015298
neovison_vison ENSNVIG00000024263
canis_lupus_dingo ENSCAFG00020025342
canis_lupus_familiaris ENSCAFG00000010701
vulpes_vulpes ENSVVUG00000015085
panthera_tigris_altaica ENSPTIG00000015691
panthera_pardus ENSPPRG00000010633
felis_catus ENSFCAG00000012479
equus_asinus_asinus ENSEASG00005010949
equus_caballus ENSECAG00000015656
myotis_lucifugus ENSMLUG00000017484
pteropus_vampyrus ENSPVAG00000013310
sus_scrofa ENSSSCG00000003610
vicugna_pacos ENSVPAG00000006971
bos_mutus ENSBMUG00000008743
bos_taurus ENSBTAG00000015103
bison_bison_bison ENSBBBG00000012520
ovis_aries ENSOARG00000000400
capra_hircus ENSCHIG00000020479
tursiops_truncatus ENSTTRG00000009739
erinaceus_europaeus ENSEEUG00000002304
sorex_araneus ENSSARG00000013544
loxodonta_africana ENSLAFG00000017012
procavia_capensis ENSPCAG00000004692
echinops_telfairi ENSETEG00000000345
dasypus_novemcinctus ENSDNOG00000039365
ciona_intestinalis ENSCING00000009831
