canis_lupus_familiaris ENSCAFG00000017846
canis_lupus_dingo ENSCAFG00020022897
vulpes_vulpes ENSVVUG00000010519
vulpes_vulpes ENSVVUG00000005568
canis_lupus_dingo ENSCAFG00020023761
vulpes_vulpes ENSVVUG00000015670
canis_lupus_dingo ENSCAFG00020007566
canis_lupus_dingo ENSCAFG00020018987
vulpes_vulpes ENSVVUG00000011289
panthera_pardus ENSPPRG00000005317
felis_catus ENSFCAG00000039055
ailuropoda_melanoleuca ENSAMEG00000007904
ursus_americanus ENSUAMG00000002956
neovison_vison ENSNVIG00000020412
mustela_putorius_furo ENSMPUG00000013666
panthera_pardus ENSPPRG00000003301
panthera_tigris_altaica ENSPTIG00000012701
felis_catus ENSFCAG00000006018
castor_canadensis ENSCCNG00000009124
dipodomys_ordii ENSDORG00000002944
mus_spicilegus ENSMSIG00000008896
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000018585
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017215
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016373
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017508
rattus_norvegicus ENSRNOG00000013118
meriones_unguiculatus ENSMUGG00000021470
microtus_ochrogaster ENSMOCG00000012051
peromyscus_maniculatus_bairdii ENSPEMG00000015125
cricetulus_griseus_crigri_1.0 ENSCGRG00000014940
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013451
cricetulus_griseus_crigri-picr ENSCGRG00015020182
mesocricetus_auratus ENSMAUG00000011916
nannospalax_galili ENSNGAG00000019105
spermophilus_dauricus ENSSDAG00000005613
ictidomys_tridecemlineatus ENSSTOG00000029382
urocitellus_parryii ENSUPAG00010017925
marmota_marmota_marmota ENSMMMG00000014027
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015116
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012185
fukomys_damarensis ENSFDAG00000015953
octodon_degus ENSODEG00000009104
octodon_degus ENSODEG00000017989
chinchilla_lanigera ENSCLAG00000011704
cavia_aperea ENSCAPG00000016598
cavia_porcellus ENSCPOG00000034767
ochotona_princeps ENSOPRG00000006249
oryctolagus_cuniculus ENSOCUG00000012123
pan_paniscus ENSPPAG00000042315
pan_troglodytes ENSPTRG00000017437
gorilla_gorilla ENSGGOG00000008760
homo_sapiens ENSG00000177556
pongo_abelii ENSPPYG00000029565
saimiri_boliviensis_boliviensis ENSSBOG00000017626
cebus_capucinus_imitator ENSCCAG00000028503
callithrix_jacchus ENSCJAG00000015505
callithrix_jacchus ENSCJAG00000023313
aotus_nancymaae ENSANAG00000035371
rhinopithecus_bieti ENSRBIG00000033555
rhinopithecus_roxellana ENSRROG00000035368
mandrillus_leucophaeus ENSMLEG00000029418
piliocolobus_tephrosceles ENSPTEG00000016822
rhinopithecus_roxellana ENSRROG00000028479
theropithecus_gelada ENSTGEG00000005892
chlorocebus_sabaeus ENSCSAG00000019319
macaca_mulatta ENSMMUG00000009560
papio_anubis ENSPANG00000006203
theropithecus_gelada ENSTGEG00000014933
mandrillus_leucophaeus ENSMLEG00000002295
macaca_nemestrina ENSMNEG00000039738
macaca_fascicularis ENSMFAG00000033150
papio_anubis ENSPANG00000003198
chlorocebus_sabaeus ENSCSAG00000010885
colobus_angolensis_palliatus ENSCANG00000032772
nomascus_leucogenys ENSNLEG00000016467
carlito_syrichta ENSTSYG00000006968
carlito_syrichta ENSTSYG00000031367
propithecus_coquereli ENSPCOG00000017476
prolemur_simus ENSPSMG00000022687
microcebus_murinus ENSMICG00000009954
otolemur_garnettii ENSOGAG00000013217
tupaia_belangeri ENSTBEG00000004926
echinops_telfairi ENSETEG00000007858
gopherus_agassizii ENSGAGG00000012167
