heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020004
cavia_porcellus ENSCPOG00000033366
spermophilus_dauricus ENSSDAG00000012453
spermophilus_dauricus ENSSDAG00000012461
spermophilus_dauricus ENSSDAG00000012467
marmota_marmota_marmota ENSMMMG00000000529
marmota_marmota_marmota ENSMMMG00000000536
marmota_marmota_marmota ENSMMMG00000000526
marmota_marmota_marmota ENSMMMG00000000448
ictidomys_tridecemlineatus ENSSTOG00000028021
spermophilus_dauricus ENSSDAG00000010203
urocitellus_parryii ENSUPAG00010021059
spermophilus_dauricus ENSSDAG00000012470
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109403
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024995
mus_spicilegus ENSMSIG00000020465
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024080
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025521
rattus_norvegicus ENSRNOG00000046058
rattus_norvegicus ENSRNOG00000050402
meriones_unguiculatus ENSMUGG00000026436
meriones_unguiculatus ENSMUGG00000026437
cricetulus_griseus_crigri-picr ENSCGRG00015007535
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002204
cricetulus_griseus_crigri-picr ENSCGRG00015007525
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002622
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010815
cricetulus_griseus_crigri_1.0 ENSCGRG00000018990
cricetulus_griseus_crigri-picr ENSCGRG00015007517
peromyscus_maniculatus_bairdii ENSPEMG00000027219
castor_canadensis ENSCCNG00000012504
oryctolagus_cuniculus ENSOCUG00000027677
nomascus_leucogenys ENSNLEG00000032564
nomascus_leucogenys ENSNLEG00000034623
gorilla_gorilla ENSGGOG00000038956
pongo_abelii ENSPPYG00000004128
mandrillus_leucophaeus ENSMLEG00000029431
papio_anubis ENSPANG00000022761
macaca_fascicularis ENSMFAG00000033852
macaca_mulatta ENSMMUG00000047838
macaca_nemestrina ENSMNEG00000028238
piliocolobus_tephrosceles ENSPTEG00000018969
carlito_syrichta ENSTSYG00000030006
prolemur_simus ENSPSMG00000000251
otolemur_garnettii ENSOGAG00000006147
tupaia_belangeri ENSTBEG00000005322
tupaia_belangeri ENSTBEG00000012055
equus_asinus_asinus ENSEASG00005017313
erinaceus_europaeus ENSEEUG00000000771
sus_scrofa ENSSSCG00000031499
sus_scrofa ENSSSCG00000033454
sus_scrofa ENSSSCG00000033471
bos_taurus ENSBTAG00000051475
bos_mutus ENSBMUG00000000322
bison_bison_bison ENSBBBG00000002722
ovis_aries ENSOARG00000000702
ovis_aries ENSOARG00000000723
capra_hircus ENSCHIG00000007257
bos_taurus ENSBTAG00000053279
bos_mutus ENSBMUG00000024361
bison_bison_bison ENSBBBG00000021394
ailuropoda_melanoleuca ENSAMEG00000020045
ursus_maritimus ENSUMAG00000016956
mustela_putorius_furo ENSMPUG00000019834
neovison_vison ENSNVIG00000004321
canis_lupus_dingo ENSCAFG00020009715
panthera_pardus ENSPPRG00000011164
panthera_tigris_altaica ENSPTIG00000002679
felis_catus ENSFCAG00000028341
loxodonta_africana ENSLAFG00000027798
loxodonta_africana ENSLAFG00000029846
loxodonta_africana ENSLAFG00000031765
procavia_capensis ENSPCAG00000006838
procavia_capensis ENSPCAG00000006848
choloepus_hoffmanni ENSCHOG00000008089
