hippocampus_comes ENSHCOG00000019727
periophthalmus_magnuspinnatus ENSPMGG00000012480
scophthalmus_maximus ENSSMAG00000008170
cynoglossus_semilaevis ENSCSEG00000004420
cyprinodon_variegatus ENSCVAG00000011420
fundulus_heteroclitus ENSFHEG00000021832
poecilia_formosa ENSPFOG00000002729
poecilia_latipinna ENSPLAG00000013752
poecilia_mexicana ENSPMEG00000018906
poecilia_reticulata ENSPREG00000004996
xiphophorus_maculatus ENSXMAG00000005668
xiphophorus_couchianus ENSXCOG00000005542
gambusia_affinis ENSGAFG00000005408
kryptolebias_marmoratus ENSKMAG00000000354
oryzias_latipes_asm223471v1 ENSORLG00020019971
oryzias_latipes_asm223469v1 ENSORLG00015020082
oryzias_latipes_asm223467v1 ENSORLG00000019522
oryzias_melastigma ENSOMEG00000009617
mastacembelus_armatus ENSMAMG00000017961
amphiprion_ocellaris ENSAOCG00000009978
amphiprion_percula ENSAPEG00000016513
acanthochromis_polyacanthus ENSAPOG00000008887
stegastes_partitus ENSSPAG00000021151
maylandia_zebra ENSMZEG00005022551
astatotilapia_calliptera ENSACLG00000019984
haplochromis_burtoni ENSHBUG00000009225
pundamilia_nyererei ENSPNYG00000008643
neolamprologus_brichardi ENSNBRG00000013648
oreochromis_niloticus ENSONIG00000017604
amphilophus_citrinellus ENSACIG00000021554
seriola_dumerili ENSSDUG00000002920
seriola_lalandi_dorsalis ENSSLDG00000005603
anabas_testudineus ENSATEG00000016751
monopterus_albus ENSMALG00000002326
labrus_bergylta ENSLBEG00000022559
gasterosteus_aculeatus ENSGACG00000017771
takifugu_rubripes ENSTRUG00000014287
tetraodon_nigroviridis ENSTNIG00000000147
mola_mola ENSMMOG00000006866
gadus_morhua ENSGMOG00000012472
esox_lucius ENSELUG00000004589
pygocentrus_nattereri ENSPNAG00000008322
astyanax_mexicanus ENSAMXG00000006836
ictalurus_punctatus ENSIPUG00000018070
danio_rerio ENSDARG00000086790
scleropages_formosus ENSSFOG00015015091
paramormyrops_kingsleyae ENSPKIG00000018265
bison_bison_bison ENSBBBG00000007178
bos_mutus ENSBMUG00000015771
bos_taurus ENSBTAG00000003840
capra_hircus ENSCHIG00000019259
capra_hircus ENSCHIG00000019664
ovis_aries ENSOARG00000007989
tursiops_truncatus ENSTTRG00000000652
vicugna_pacos ENSVPAG00000004966
mus_spicilegus ENSMSIG00000009757
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026039
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028005
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025097
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026540
rattus_norvegicus ENSRNOG00000012060
meriones_unguiculatus ENSMUGG00000025024
peromyscus_maniculatus_bairdii ENSPEMG00000006854
