heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016230
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000652
fukomys_damarensis ENSFDAG00000005260
cavia_porcellus ENSCPOG00000002678
cavia_aperea ENSCAPG00000015377
octodon_degus ENSODEG00000004797
chinchilla_lanigera ENSCLAG00000005427
sorex_araneus ENSSARG00000005669
erinaceus_europaeus ENSEEUG00000012922
equus_asinus_asinus ENSEASG00005012984
equus_caballus ENSECAG00000019247
pan_troglodytes ENSPTRG00000002101
pan_paniscus ENSPPAG00000027317
homo_sapiens ENSG00000143643
gorilla_gorilla ENSGGOG00000000163
pongo_abelii ENSPPYG00000000117
nomascus_leucogenys ENSNLEG00000010521
piliocolobus_tephrosceles ENSPTEG00000034438
colobus_angolensis_palliatus ENSCANG00000030507
rhinopithecus_roxellana ENSRROG00000027549
rhinopithecus_bieti ENSRBIG00000020485
cercocebus_atys ENSCATG00000011910
papio_anubis ENSPANG00000021030
macaca_fascicularis ENSMFAG00000038133
macaca_nemestrina ENSMNEG00000032648
macaca_mulatta ENSMMUG00000005888
theropithecus_gelada ENSTGEG00000011093
mandrillus_leucophaeus ENSMLEG00000039215
chlorocebus_sabaeus ENSCSAG00000010406
cebus_capucinus_imitator ENSCCAG00000030880
saimiri_boliviensis_boliviensis ENSSBOG00000021664
callithrix_jacchus ENSCJAG00000018450
aotus_nancymaae ENSANAG00000023881
carlito_syrichta ENSTSYG00000009188
propithecus_coquereli ENSPCOG00000026229
microcebus_murinus ENSMICG00000004208
prolemur_simus ENSPSMG00000004617
otolemur_garnettii ENSOGAG00000004955
oryctolagus_cuniculus ENSOCUG00000000489
ochotona_princeps ENSOPRG00000000852
choloepus_hoffmanni ENSCHOG00000012957
dasypus_novemcinctus ENSDNOG00000033256
loxodonta_africana ENSLAFG00000011799
procavia_capensis ENSPCAG00000011081
echinops_telfairi ENSETEG00000006261
bos_taurus ENSBTAG00000010367
bos_mutus ENSBMUG00000020406
bison_bison_bison ENSBBBG00000020792
capra_hircus ENSCHIG00000010875
ovis_aries ENSOARG00000003191
tursiops_truncatus ENSTTRG00000003972
sus_scrofa ENSSSCG00000010180
vicugna_pacos ENSVPAG00000010561
canis_lupus_familiaris ENSCAFG00000011931
canis_lupus_dingo ENSCAFG00020027200
vulpes_vulpes ENSVVUG00000006968
ursus_maritimus ENSUMAG00000005323
ursus_americanus ENSUAMG00000011777
ailuropoda_melanoleuca ENSAMEG00000002472
neovison_vison ENSNVIG00000021413
mustela_putorius_furo ENSMPUG00000005392
panthera_tigris_altaica ENSPTIG00000015157
panthera_pardus ENSPPRG00000012993
felis_catus ENSFCAG00000023459
notamacropus_eugenii ENSMEUG00000012752
phascolarctos_cinereus ENSPCIG00000011589
sarcophilus_harrisii ENSSHAG00000018045
monodelphis_domestica ENSMODG00000009317
castor_canadensis ENSCCNG00000031113
castor_canadensis ENSCCNG00000031120
dipodomys_ordii ENSDORG00000005506
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008501
cricetulus_griseus_crigri-picr ENSCGRG00015008834
cricetulus_griseus_crigri_1.0 ENSCGRG00000013818
mesocricetus_auratus ENSMAUG00000019020
peromyscus_maniculatus_bairdii ENSPEMG00000009919
microtus_ochrogaster ENSMOCG00000020089
mus_spicilegus ENSMSIG00000009617
