bison_bison_bison ENSBBBG00000013512
bos_mutus ENSBMUG00000024689
bos_taurus ENSBTAG00000038138
ovis_aries ENSOARG00000013090
capra_hircus ENSCHIG00000024353
sus_scrofa ENSSSCG00000023612
equus_asinus_asinus ENSEASG00005012796
equus_caballus ENSECAG00000024326
mustela_putorius_furo ENSMPUG00000014949
neovison_vison ENSNVIG00000023322
canis_lupus_familiaris ENSCAFG00000029360
canis_lupus_dingo ENSCAFG00020026643
vulpes_vulpes ENSVVUG00000005759
panthera_pardus ENSPPRG00000012081
piliocolobus_tephrosceles ENSPTEG00000009754
theropithecus_gelada ENSTGEG00000021754
otolemur_garnettii ENSOGAG00000030329
chinchilla_lanigera ENSCLAG00000005184
octodon_degus ENSODEG00000008006
cavia_porcellus ENSCPOG00000023227
cavia_porcellus ENSCPOG00000031268
cavia_porcellus ENSCPOG00000032549
cavia_porcellus ENSCPOG00000019315
cavia_porcellus ENSCPOG00000024860
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018149
mus_spicilegus ENSMSIG00000025398
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000101605
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017306
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018435
rattus_norvegicus ENSRNOG00000007467
meriones_unguiculatus ENSMUGG00000018058
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018915
cricetulus_griseus_crigri_1.0 ENSCGRG00000007517
cricetulus_griseus_crigri-picr ENSCGRG00015022654
mesocricetus_auratus ENSMAUG00000019068
microtus_ochrogaster ENSMOCG00000004838
peromyscus_maniculatus_bairdii ENSPEMG00000014555
castor_canadensis ENSCCNG00000010560
dipodomys_ordii ENSDORG00000024308
ictidomys_tridecemlineatus ENSSTOG00000024439
urocitellus_parryii ENSUPAG00010000701
spermophilus_dauricus ENSSDAG00000009695
marmota_marmota_marmota ENSMMMG00000009720
sarcophilus_harrisii ENSSHAG00000010903
